,date,value,name_B076VKQWFF
0,2018-07-13,22468.0,Bath Pillows
1,2018-07-14,23562.0,Bath Pillows
2,2018-07-15,21966.0,Bath Pillows
3,2018-07-16,22688.0,Bath Pillows
4,2018-07-17,30882.0,Bath Pillows
5,2018-07-18,30882.0,Bath Pillows
6,2018-07-19,30882.0,Bath Pillows
7,2018-07-20,35998.0,Bath Pillows
8,2018-07-21,16612.0,Bath Pillows
9,2018-07-22,16975.0,Bath Pillows
10,2018-07-23,26896.0,Bath Pillows
11,2018-07-24,12360.0,Bath Pillows
12,2018-07-25,12360.0,Bath Pillows
13,2018-07-26,12360.0,Bath Pillows
14,2018-07-27,12360.0,Bath Pillows
15,2018-07-28,12360.0,Bath Pillows
16,2018-07-29,12360.0,Bath Pillows
17,2018-07-30,16584.0,Bath Pillows
18,2018-07-31,21674.0,Bath Pillows
19,2018-08-01,23304.0,Bath Pillows
20,2018-08-02,23304.0,Bath Pillows
21,2018-08-03,21898.0,Bath Pillows
22,2018-08-04,20468.0,Bath Pillows
23,2018-08-05,23348.0,Bath Pillows
24,2018-08-06,23348.0,Bath Pillows
25,2018-08-07,23348.0,Bath Pillows
26,2018-08-08,22943.0,Bath Pillows
27,2018-08-09,21855.0,Bath Pillows
28,2018-08-10,31045.0,Bath Pillows
29,2018-08-11,28293.0,Bath Pillows
30,2018-08-12,28293.0,Bath Pillows
31,2018-08-13,19556.0,Bath Pillows
32,2018-08-14,19556.0,Bath Pillows
33,2018-08-15,19556.0,Bath Pillows
34,2018-08-16,20676.0,Bath Pillows
35,2018-08-17,20676.0,Bath Pillows
36,2018-08-18,20676.0,Bath Pillows
37,2018-08-19,20676.0,Bath Pillows
38,2018-08-20,20676.0,Bath Pillows
39,2018-08-21,20676.0,Bath Pillows
40,2018-08-22,14815.0,Bath Pillows
41,2018-08-23,14815.0,Bath Pillows
42,2018-08-24,17038.0,Bath Pillows
43,2018-08-25,17038.0,Bath Pillows
44,2018-08-26,17038.0,Bath Pillows
45,2018-08-27,17038.0,Bath Pillows
