,date,value,name_B08P4J7X8T
0,2021-03-19,13474.0,Markers
1,2021-03-20,7809.0,Markers
2,2021-03-21,8480.0,Markers
3,2021-03-22,8577.0,Markers
4,2021-03-23,7600.0,Markers
5,2021-03-24,8289.0,Markers
6,2021-03-25,5687.0,Markers
7,2021-03-26,6573.0,Markers
8,2021-03-27,7845.0,Markers
9,2021-03-28,6142.0,Markers
10,2021-03-29,5961.0,Markers
11,2021-03-30,3853.0,Markers
12,2021-03-31,5065.0,Markers
13,2021-04-01,5867.0,Markers
14,2021-04-02,6778.0,Markers
15,2021-04-03,4746.0,Markers
16,2021-04-04,5137.0,Markers
17,2021-04-05,5279.0,Markers
18,2021-04-06,4968.0,Markers
19,2021-04-07,5457.0,Markers
20,2021-04-08,7606.0,Markers
21,2021-04-09,8444.0,Markers
22,2021-04-10,10931.0,Markers
23,2021-04-11,12510.0,Markers
24,2021-04-12,9906.0,Markers
25,2021-04-13,7824.0,Markers
26,2021-04-14,11805.0,Markers
27,2021-04-15,8206.0,Markers
28,2021-04-16,5080.0,Markers
29,2021-04-17,6298.0,Markers
30,2021-04-18,6658.0,Markers
31,2021-04-19,4945.0,Markers
32,2021-04-20,3376.0,Markers
33,2021-04-21,3428.0,Markers
34,2021-04-22,5482.0,Markers
35,2021-04-23,6330.0,Markers
36,2021-04-24,3132.0,Markers
37,2021-04-25,3528.0,Markers
38,2021-04-26,4562.0,Markers
39,2021-04-27,3818.0,Markers
40,2021-04-28,2984.0,Markers
41,2021-04-29,6226.0,Markers
42,2021-04-30,10640.0,Markers
43,2021-05-01,10640.0,Markers
44,2021-05-02,16955.0,Markers
45,2021-05-03,16955.0,Markers
46,2021-05-04,12610.0,Markers
47,2021-05-05,9144.0,Markers
48,2021-05-06,9144.0,Markers
49,2021-05-07,9144.0,Markers
50,2021-05-08,9455.0,Markers
51,2021-05-09,9455.0,Markers
52,2021-05-10,10609.0,Markers
53,2021-05-11,10609.0,Markers
54,2021-05-12,10609.0,Markers
55,2021-05-13,10609.0,Markers
56,2021-05-14,7545.0,Markers
57,2021-05-15,7545.0,Markers
58,2021-05-16,7545.0,Markers
59,2021-05-17,7545.0,Markers
60,2021-05-18,7545.0,Markers
61,2021-05-19,7545.0,Markers
62,2021-05-20,7545.0,Markers
63,2021-05-21,7545.0,Markers
64,2021-05-22,7545.0,Markers
65,2021-05-23,7545.0,Markers
66,2021-05-24,7545.0,Markers
67,2021-05-25,7545.0,Markers
68,2021-05-26,7545.0,Markers
69,2021-05-27,7545.0,Markers
70,2021-05-28,7545.0,Markers
71,2021-05-29,8040.0,Markers
72,2021-05-30,8040.0,Markers
73,2021-05-31,7856.0,Markers
74,2021-06-01,6052.0,Markers
75,2021-06-02,7200.0,Markers
76,2021-06-03,7200.0,Markers
77,2021-06-04,7200.0,Markers
78,2021-06-05,5198.0,Markers
79,2021-06-06,5447.0,Markers
80,2021-06-07,4463.0,Markers
81,2021-06-08,4530.0,Markers
82,2021-06-09,4548.0,Markers
83,2021-06-10,4246.0,Markers
84,2021-06-11,24134.0,Markers
85,2021-06-12,3746.0,Markers
86,2021-06-13,4869.0,Markers
87,2021-06-14,5461.0,Markers
88,2021-06-15,15024.0,Markers
89,2021-06-16,5376.0,Markers
90,2021-06-17,7139.0,Markers
91,2021-06-18,11013.0,Markers
92,2021-06-19,6894.0,Markers
93,2021-06-20,8237.0,Markers
94,2021-06-21,8376.0,Markers
95,2021-06-22,9721.0,Markers
96,2021-06-23,9277.0,Markers
97,2021-06-24,10103.0,Markers
98,2021-06-25,7841.0,Markers
99,2021-06-26,4661.0,Markers
100,2021-06-27,3470.0,Markers
101,2021-06-28,4476.0,Markers
102,2021-06-29,4613.0,Markers
103,2021-06-30,7328.0,Markers
104,2021-07-01,10907.0,Markers
105,2021-07-02,11666.0,Markers
106,2021-07-03,9522.0,Markers
107,2021-07-04,11624.0,Markers
108,2021-07-05,11527.0,Markers
109,2021-07-06,19486.0,Markers
110,2021-07-07,32560.0,Markers
111,2021-07-08,25418.0,Markers
112,2021-07-09,31459.0,Markers
