,date,value,name_B07X8Z5CXX
0,2020-05-25,6615.0,Multivitamins
1,2020-05-26,6615.0,Multivitamins
2,2020-05-27,6615.0,Multivitamins
3,2020-05-28,4033.0,Multivitamins
4,2020-05-29,4033.0,Multivitamins
5,2020-05-30,4033.0,Multivitamins
6,2020-05-31,4033.0,Multivitamins
7,2020-06-01,4193.0,Multivitamins
8,2020-06-02,4193.0,Multivitamins
9,2020-06-03,4193.0,Multivitamins
10,2020-06-04,4448.0,Multivitamins
11,2020-06-05,4448.0,Multivitamins
12,2020-06-06,4448.0,Multivitamins
13,2020-06-07,4794.0,Multivitamins
14,2020-06-08,3971.0,Multivitamins
15,2020-06-09,4911.0,Multivitamins
16,2020-06-10,4911.0,Multivitamins
17,2020-06-11,4911.0,Multivitamins
18,2020-06-12,4911.0,Multivitamins
19,2020-06-13,4900.0,Multivitamins
20,2020-06-14,4900.0,Multivitamins
21,2020-06-15,4926.0,Multivitamins
22,2020-06-16,4025.0,Multivitamins
23,2020-06-17,3816.0,Multivitamins
24,2020-06-18,3816.0,Multivitamins
25,2020-06-19,4255.0,Multivitamins
26,2020-06-20,4255.0,Multivitamins
27,2020-06-21,4255.0,Multivitamins
28,2020-06-22,4972.0,Multivitamins
29,2020-06-23,4972.0,Multivitamins
30,2020-06-24,4972.0,Multivitamins
31,2020-06-25,4972.0,Multivitamins
32,2020-06-26,4957.0,Multivitamins
33,2020-06-27,4957.0,Multivitamins
34,2020-06-28,4774.0,Multivitamins
35,2020-06-29,4774.0,Multivitamins
36,2020-06-30,5082.0,Multivitamins
37,2020-07-01,5082.0,Multivitamins
38,2020-07-02,5082.0,Multivitamins
39,2020-07-03,4192.0,Multivitamins
40,2020-07-04,4192.0,Multivitamins
41,2020-07-05,4192.0,Multivitamins
42,2020-07-06,4300.0,Multivitamins
43,2020-07-07,4300.0,Multivitamins
44,2020-07-08,4300.0,Multivitamins
45,2020-07-09,4656.0,Multivitamins
46,2020-07-10,4656.0,Multivitamins
47,2020-07-11,4656.0,Multivitamins
48,2020-07-12,4905.0,Multivitamins
49,2020-07-13,4905.0,Multivitamins
50,2020-07-14,4905.0,Multivitamins
51,2020-07-15,4430.0,Multivitamins
52,2020-07-16,4430.0,Multivitamins
53,2020-07-17,4430.0,Multivitamins
54,2020-07-18,4314.0,Multivitamins
55,2020-07-19,4314.0,Multivitamins
56,2020-07-20,4543.0,Multivitamins
57,2020-07-21,4543.0,Multivitamins
58,2020-07-22,4543.0,Multivitamins
59,2020-07-23,4095.0,Multivitamins
60,2020-07-24,4073.0,Multivitamins
61,2020-07-25,4073.0,Multivitamins
62,2020-07-26,4073.0,Multivitamins
63,2020-07-27,5077.0,Multivitamins
64,2020-07-28,5077.0,Multivitamins
65,2020-07-29,4459.0,Multivitamins
66,2020-07-30,4459.0,Multivitamins
67,2020-07-31,4459.0,Multivitamins
68,2020-08-01,4459.0,Multivitamins
69,2020-08-02,4068.0,Multivitamins
70,2020-08-03,4068.0,Multivitamins
71,2020-08-04,4371.0,Multivitamins
72,2020-08-05,4371.0,Multivitamins
73,2020-08-06,4371.0,Multivitamins
74,2020-08-07,4718.0,Multivitamins
75,2020-08-08,4718.0,Multivitamins
76,2020-08-09,4718.0,Multivitamins
77,2020-08-10,4375.0,Multivitamins
78,2020-08-11,4375.0,Multivitamins
79,2020-08-12,4758.0,Multivitamins
80,2020-08-13,4971.0,Multivitamins
81,2020-08-14,4971.0,Multivitamins
82,2020-08-15,4971.0,Multivitamins
83,2020-08-16,4354.0,Multivitamins
84,2020-08-17,4960.0,Multivitamins
85,2020-08-18,4960.0,Multivitamins
86,2020-08-19,5326.0,Multivitamins
87,2020-08-20,5326.0,Multivitamins
88,2020-08-21,5326.0,Multivitamins
89,2020-08-22,4081.0,Multivitamins
90,2020-08-23,4081.0,Multivitamins
91,2020-08-24,4714.0,Multivitamins
92,2020-08-25,4714.0,Multivitamins
93,2020-08-26,4714.0,Multivitamins
94,2020-08-27,4704.0,Multivitamins
95,2020-08-28,4704.0,Multivitamins
96,2020-08-29,4704.0,Multivitamins
97,2020-08-30,4704.0,Multivitamins
98,2020-08-31,3945.0,Multivitamins
99,2020-09-01,3945.0,Multivitamins
100,2020-09-02,4467.0,Multivitamins
101,2020-09-03,4467.0,Multivitamins
102,2020-09-04,4467.0,Multivitamins
103,2020-09-05,3955.0,Multivitamins
104,2020-09-06,3955.0,Multivitamins
105,2020-09-07,4737.0,Multivitamins
106,2020-09-08,4737.0,Multivitamins
107,2020-09-09,4737.0,Multivitamins
108,2020-09-10,4235.0,Multivitamins
109,2020-09-11,4235.0,Multivitamins
110,2020-09-12,4235.0,Multivitamins
111,2020-09-13,4863.0,Multivitamins
112,2020-09-14,4863.0,Multivitamins
113,2020-09-15,3867.0,Multivitamins
114,2020-09-16,3867.0,Multivitamins
115,2020-09-17,3867.0,Multivitamins
116,2020-09-18,4100.0,Multivitamins
117,2020-09-19,4100.0,Multivitamins
118,2020-09-20,4100.0,Multivitamins
119,2020-09-21,4140.0,Multivitamins
120,2020-09-22,4140.0,Multivitamins
121,2020-09-23,4140.0,Multivitamins
122,2020-09-24,5454.0,Multivitamins
123,2020-09-25,5454.0,Multivitamins
124,2020-09-26,5454.0,Multivitamins
125,2020-09-27,4264.0,Multivitamins
126,2020-09-28,4264.0,Multivitamins
127,2020-09-29,4264.0,Multivitamins
128,2020-09-30,5122.0,Multivitamins
129,2020-10-01,5122.0,Multivitamins
130,2020-10-02,5122.0,Multivitamins
131,2020-10-03,4866.0,Multivitamins
132,2020-10-04,4561.0,Multivitamins
133,2020-10-05,4561.0,Multivitamins
134,2020-10-06,4571.0,Multivitamins
135,2020-10-07,4571.0,Multivitamins
136,2020-10-08,4571.0,Multivitamins
137,2020-10-09,5238.0,Multivitamins
138,2020-10-10,4655.0,Multivitamins
139,2020-10-11,4655.0,Multivitamins
140,2020-10-12,4655.0,Multivitamins
141,2020-10-13,5496.0,Multivitamins
142,2020-10-14,5496.0,Multivitamins
143,2020-10-15,5496.0,Multivitamins
144,2020-10-16,5800.0,Multivitamins
145,2020-10-17,5800.0,Multivitamins
146,2020-10-18,5800.0,Multivitamins
147,2020-10-19,4696.0,Multivitamins
148,2020-10-20,4696.0,Multivitamins
149,2020-10-21,4238.0,Multivitamins
150,2020-10-22,4238.0,Multivitamins
151,2020-10-23,4238.0,Multivitamins
152,2020-10-24,4127.0,Multivitamins
153,2020-10-25,4255.0,Multivitamins
154,2020-10-26,4255.0,Multivitamins
155,2020-10-27,4255.0,Multivitamins
