,date,value,name_B08CHDLMGS
0,2020-07-18,122813.0,Bed Blankets
1,2020-07-19,122813.0,Bed Blankets
2,2020-07-20,122813.0,Bed Blankets
3,2020-07-21,122813.0,Bed Blankets
4,2020-07-22,122813.0,Bed Blankets
5,2020-07-23,122813.0,Bed Blankets
6,2020-07-24,122813.0,Bed Blankets
7,2020-07-25,122813.0,Bed Blankets
8,2020-07-26,122813.0,Bed Blankets
9,2020-07-27,122813.0,Bed Blankets
10,2020-07-28,122813.0,Bed Blankets
11,2020-07-29,92079.0,Bed Blankets
12,2020-07-30,92079.0,Bed Blankets
13,2020-07-31,92079.0,Bed Blankets
14,2020-08-01,92079.0,Bed Blankets
15,2020-08-02,92079.0,Bed Blankets
16,2020-08-03,92079.0,Bed Blankets
17,2020-08-04,92079.0,Bed Blankets
18,2020-08-05,92079.0,Bed Blankets
19,2020-08-06,54795.0,Bed Blankets
20,2020-08-07,54795.0,Bed Blankets
21,2020-08-08,43665.0,Bed Blankets
22,2020-08-09,43665.0,Bed Blankets
23,2020-08-10,30496.0,Bed Blankets
24,2020-08-11,30496.0,Bed Blankets
25,2020-08-12,42161.0,Bed Blankets
26,2020-08-13,42161.0,Bed Blankets
27,2020-08-14,42161.0,Bed Blankets
28,2020-08-15,42161.0,Bed Blankets
29,2020-08-16,42161.0,Bed Blankets
30,2020-08-17,20180.0,Bed Blankets
31,2020-08-18,26943.0,Bed Blankets
32,2020-08-19,26943.0,Bed Blankets
33,2020-08-20,26943.0,Bed Blankets
34,2020-08-21,26943.0,Bed Blankets
35,2020-08-22,26943.0,Bed Blankets
36,2020-08-23,26943.0,Bed Blankets
37,2020-08-24,24083.0,Bed Blankets
38,2020-08-25,24083.0,Bed Blankets
39,2020-08-26,24083.0,Bed Blankets
40,2020-08-27,24083.0,Bed Blankets
41,2020-08-28,24083.0,Bed Blankets
42,2020-08-29,42122.0,Bed Blankets
43,2020-08-30,42122.0,Bed Blankets
