,date,value,name_B08FFNF2XZ
0,2020-08-08,1751.0,Protein Bars
1,2020-08-09,1784.0,Protein Bars
2,2020-08-10,1671.0,Protein Bars
3,2020-08-11,1543.0,Protein Bars
4,2020-08-12,1522.0,Protein Bars
5,2020-08-13,1522.0,Protein Bars
6,2020-08-14,1609.0,Protein Bars
7,2020-08-15,1609.0,Protein Bars
8,2020-08-16,1520.0,Protein Bars
9,2020-08-17,1520.0,Protein Bars
10,2020-08-18,1599.0,Protein Bars
11,2020-08-19,1568.0,Protein Bars
12,2020-08-20,1557.0,Protein Bars
13,2020-08-21,1557.0,Protein Bars
14,2020-08-22,1452.0,Protein Bars
15,2020-08-23,1452.0,Protein Bars
16,2020-08-24,1422.0,Protein Bars
17,2020-08-25,1422.0,Protein Bars
18,2020-08-26,1422.0,Protein Bars
19,2020-08-27,1350.0,Protein Bars
20,2020-08-28,1511.0,Protein Bars
21,2020-08-29,1511.0,Protein Bars
22,2020-08-30,1479.0,Protein Bars
23,2020-08-31,1414.0,Protein Bars
24,2020-09-01,1280.0,Protein Bars
25,2020-09-02,1252.0,Protein Bars
26,2020-09-03,1313.0,Protein Bars
27,2020-09-04,1363.0,Protein Bars
28,2020-09-05,1435.0,Protein Bars
29,2020-09-06,1424.0,Protein Bars
30,2020-09-07,1397.0,Protein Bars
31,2020-09-08,1240.0,Protein Bars
32,2020-09-09,1257.0,Protein Bars
33,2020-09-10,1278.0,Protein Bars
34,2020-09-11,1278.0,Protein Bars
35,2020-09-12,1373.0,Protein Bars
36,2020-09-13,1373.0,Protein Bars
37,2020-09-14,1331.0,Protein Bars
38,2020-09-15,1220.0,Protein Bars
39,2020-09-16,1748.0,Protein Bars
40,2020-09-17,1233.0,Protein Bars
41,2020-09-18,1299.0,Protein Bars
42,2020-09-19,1299.0,Protein Bars
43,2020-09-20,1503.0,Protein Bars
44,2020-09-21,1180.0,Protein Bars
45,2020-09-22,1225.0,Protein Bars
46,2020-09-23,1254.0,Protein Bars
47,2020-09-24,1423.0,Protein Bars
48,2020-09-25,1565.0,Protein Bars
49,2020-09-26,1700.0,Protein Bars
50,2020-09-27,1700.0,Protein Bars
51,2020-09-28,1474.0,Protein Bars
52,2020-09-29,1474.0,Protein Bars
53,2020-09-30,1490.0,Protein Bars
54,2020-10-01,1429.0,Protein Bars
55,2020-10-02,1652.0,Protein Bars
56,2020-10-03,1718.0,Protein Bars
57,2020-10-04,1695.0,Protein Bars
58,2020-10-05,1695.0,Protein Bars
59,2020-10-06,1712.0,Protein Bars
60,2020-10-07,1610.0,Protein Bars
61,2020-10-08,1610.0,Protein Bars
62,2020-10-09,1539.0,Protein Bars
63,2020-10-10,1580.0,Protein Bars
64,2020-10-11,1725.0,Protein Bars
65,2020-10-12,1843.0,Protein Bars
66,2020-10-13,1910.0,Protein Bars
67,2020-10-14,1702.0,Protein Bars
68,2020-10-15,1702.0,Protein Bars
69,2020-10-16,1752.0,Protein Bars
70,2020-10-17,1752.0,Protein Bars
71,2020-10-18,1534.0,Protein Bars
72,2020-10-19,1594.0,Protein Bars
73,2020-10-20,1594.0,Protein Bars
74,2020-10-21,1594.0,Protein Bars
75,2020-10-22,1416.0,Protein Bars
76,2020-10-23,1614.0,Protein Bars
77,2020-10-24,1614.0,Protein Bars
78,2020-10-25,1614.0,Protein Bars
79,2020-10-26,1641.0,Protein Bars
80,2020-10-27,1678.0,Protein Bars
81,2020-10-28,1610.0,Protein Bars
82,2020-10-29,1695.0,Protein Bars
83,2020-10-30,1613.0,Protein Bars
84,2020-10-31,1674.0,Protein Bars
85,2020-11-01,1635.0,Protein Bars
86,2020-11-02,1745.0,Protein Bars
87,2020-11-03,1745.0,Protein Bars
88,2020-11-04,1745.0,Protein Bars
89,2020-11-05,1627.0,Protein Bars
90,2020-11-06,1576.0,Protein Bars
91,2020-11-07,1671.0,Protein Bars
92,2020-11-08,1474.0,Protein Bars
93,2020-11-09,1462.0,Protein Bars
94,2020-11-10,1315.0,Protein Bars
95,2020-11-11,1319.0,Protein Bars
96,2020-11-12,1521.0,Protein Bars
97,2020-11-13,1672.0,Protein Bars
98,2020-11-14,1672.0,Protein Bars
99,2020-11-15,1726.0,Protein Bars
100,2020-11-16,1646.0,Protein Bars
101,2020-11-17,1646.0,Protein Bars
102,2020-11-18,1608.0,Protein Bars
103,2020-11-19,1625.0,Protein Bars
104,2020-11-20,1625.0,Protein Bars
105,2020-11-21,1889.0,Protein Bars
106,2020-11-22,1889.0,Protein Bars
107,2020-11-23,2113.0,Protein Bars
108,2020-11-24,2053.0,Protein Bars
109,2020-11-25,2107.0,Protein Bars
110,2020-11-26,1787.0,Protein Bars
111,2020-11-27,2099.0,Protein Bars
112,2020-11-28,2366.0,Protein Bars
113,2020-11-29,2236.0,Protein Bars
114,2020-11-30,2256.0,Protein Bars
115,2020-12-01,2254.0,Protein Bars
116,2020-12-02,2088.0,Protein Bars
117,2020-12-03,1904.0,Protein Bars
118,2020-12-04,1846.0,Protein Bars
119,2020-12-05,1597.0,Protein Bars
120,2020-12-06,1662.0,Protein Bars
121,2020-12-07,1637.0,Protein Bars
122,2020-12-08,1542.0,Protein Bars
123,2020-12-09,1559.0,Protein Bars
124,2020-12-10,1413.0,Protein Bars
125,2020-12-11,1514.0,Protein Bars
126,2020-12-12,1625.0,Protein Bars
127,2020-12-13,1561.0,Protein Bars
128,2020-12-14,1219.0,Protein Bars
129,2020-12-15,1277.0,Protein Bars
130,2020-12-16,1349.0,Protein Bars
131,2020-12-17,1436.0,Protein Bars
132,2020-12-18,1413.0,Protein Bars
133,2020-12-19,1634.0,Protein Bars
134,2020-12-20,1812.0,Protein Bars
135,2020-12-21,1760.0,Protein Bars
136,2020-12-22,1624.0,Protein Bars
137,2020-12-23,1699.0,Protein Bars
138,2020-12-24,1543.0,Protein Bars
139,2020-12-25,1600.0,Protein Bars
140,2020-12-26,1733.0,Protein Bars
141,2020-12-27,1463.0,Protein Bars
142,2020-12-28,1423.0,Protein Bars
143,2020-12-29,1551.0,Protein Bars
144,2020-12-30,1607.0,Protein Bars
145,2020-12-31,1461.0,Protein Bars
146,2021-01-01,1484.0,Protein Bars
147,2021-01-02,1526.0,Protein Bars
148,2021-01-03,1285.0,Protein Bars
149,2021-01-04,1220.0,Protein Bars
150,2021-01-05,1148.0,Protein Bars
151,2021-01-06,1109.0,Protein Bars
152,2021-01-07,1149.0,Protein Bars
153,2021-01-08,1189.0,Protein Bars
154,2021-01-09,1264.0,Protein Bars
155,2021-01-10,1288.0,Protein Bars
156,2021-01-11,1181.0,Protein Bars
157,2021-01-12,1124.0,Protein Bars
158,2021-01-13,1022.0,Protein Bars
159,2021-01-14,814.0,Protein Bars
160,2021-01-15,802.0,Protein Bars
161,2021-01-16,818.0,Protein Bars
162,2021-01-17,981.0,Protein Bars
163,2021-01-18,936.0,Protein Bars
164,2021-01-19,992.0,Protein Bars
165,2021-01-20,1036.0,Protein Bars
166,2021-01-21,1056.0,Protein Bars
167,2021-01-22,1011.0,Protein Bars
168,2021-01-23,1161.0,Protein Bars
169,2021-01-24,1143.0,Protein Bars
170,2021-01-25,1179.0,Protein Bars
171,2021-01-26,1220.0,Protein Bars
172,2021-01-27,1118.0,Protein Bars
173,2021-01-28,1277.0,Protein Bars
174,2021-01-29,1192.0,Protein Bars
175,2021-01-30,1153.0,Protein Bars
176,2021-01-31,1055.0,Protein Bars
177,2021-02-01,1050.0,Protein Bars
178,2021-02-02,1113.0,Protein Bars
179,2021-02-03,1067.0,Protein Bars
180,2021-02-04,1079.0,Protein Bars
181,2021-02-05,1132.0,Protein Bars
182,2021-02-06,1162.0,Protein Bars
183,2021-02-07,1179.0,Protein Bars
184,2021-02-08,1089.0,Protein Bars
185,2021-02-09,1096.0,Protein Bars
186,2021-02-10,1048.0,Protein Bars
187,2021-02-11,1236.0,Protein Bars
188,2021-02-12,1217.0,Protein Bars
189,2021-02-13,1119.0,Protein Bars
190,2021-02-14,1177.0,Protein Bars
191,2021-02-15,1106.0,Protein Bars
192,2021-02-16,1051.0,Protein Bars
193,2021-02-17,903.0,Protein Bars
194,2021-02-18,982.0,Protein Bars
195,2021-02-19,945.0,Protein Bars
196,2021-02-20,1029.0,Protein Bars
197,2021-02-21,1188.0,Protein Bars
198,2021-02-22,1148.0,Protein Bars
199,2021-02-23,1057.0,Protein Bars
200,2021-02-24,1035.0,Protein Bars
201,2021-02-25,1167.0,Protein Bars
202,2021-02-26,1035.0,Protein Bars
203,2021-02-27,1307.0,Protein Bars
204,2021-02-28,1168.0,Protein Bars
205,2021-03-01,1188.0,Protein Bars
206,2021-03-02,1190.0,Protein Bars
207,2021-03-03,1163.0,Protein Bars
208,2021-03-04,1182.0,Protein Bars
209,2021-03-05,1121.0,Protein Bars
210,2021-03-06,1251.0,Protein Bars
211,2021-03-07,1078.0,Protein Bars
212,2021-03-08,1164.0,Protein Bars
213,2021-03-09,1134.0,Protein Bars
214,2021-03-10,996.0,Protein Bars
215,2021-03-11,1128.0,Protein Bars
216,2021-03-12,1039.0,Protein Bars
217,2021-03-13,1040.0,Protein Bars
218,2021-03-14,1022.0,Protein Bars
219,2021-03-15,1096.0,Protein Bars
220,2021-03-16,1042.0,Protein Bars
221,2021-03-17,1035.0,Protein Bars
222,2021-03-18,1023.0,Protein Bars
223,2021-03-19,1033.0,Protein Bars
224,2021-03-20,1075.0,Protein Bars
225,2021-03-21,1046.0,Protein Bars
226,2021-03-22,1000.0,Protein Bars
227,2021-03-23,1066.0,Protein Bars
228,2021-03-24,936.0,Protein Bars
229,2021-03-25,1005.0,Protein Bars
230,2021-03-26,989.0,Protein Bars
231,2021-03-27,955.0,Protein Bars
232,2021-03-28,958.0,Protein Bars
233,2021-03-29,870.0,Protein Bars
234,2021-03-30,965.0,Protein Bars
235,2021-03-31,926.0,Protein Bars
236,2021-04-01,942.0,Protein Bars
237,2021-04-02,988.0,Protein Bars
238,2021-04-03,1028.0,Protein Bars
239,2021-04-04,1010.0,Protein Bars
240,2021-04-05,1000.0,Protein Bars
241,2021-04-06,1000.0,Protein Bars
242,2021-04-07,996.0,Protein Bars
243,2021-04-08,1062.0,Protein Bars
244,2021-04-09,1110.0,Protein Bars
245,2021-04-10,1092.0,Protein Bars
246,2021-04-11,1026.0,Protein Bars
247,2021-04-12,978.0,Protein Bars
248,2021-04-13,953.0,Protein Bars
249,2021-04-14,935.0,Protein Bars
250,2021-04-15,811.0,Protein Bars
251,2021-04-16,807.0,Protein Bars
252,2021-04-17,721.0,Protein Bars
253,2021-04-18,721.0,Protein Bars
254,2021-04-19,810.0,Protein Bars
255,2021-04-20,902.0,Protein Bars
256,2021-04-21,796.0,Protein Bars
257,2021-04-22,868.0,Protein Bars
258,2021-04-23,788.0,Protein Bars
259,2021-04-24,950.0,Protein Bars
260,2021-04-25,891.0,Protein Bars
261,2021-04-26,925.0,Protein Bars
262,2021-04-27,887.0,Protein Bars
263,2021-04-28,885.0,Protein Bars
264,2021-04-29,864.0,Protein Bars
265,2021-04-30,855.0,Protein Bars
266,2021-05-01,908.0,Protein Bars
267,2021-05-02,972.0,Protein Bars
268,2021-05-03,829.0,Protein Bars
269,2021-05-04,846.0,Protein Bars
270,2021-05-05,880.0,Protein Bars
271,2021-05-06,790.0,Protein Bars
272,2021-05-07,772.0,Protein Bars
273,2021-05-08,946.0,Protein Bars
274,2021-05-09,948.0,Protein Bars
275,2021-05-10,558.0,Protein Bars
276,2021-05-11,754.0,Protein Bars
277,2021-05-12,752.0,Protein Bars
278,2021-05-13,810.0,Protein Bars
279,2021-05-14,780.0,Protein Bars
280,2021-05-15,828.0,Protein Bars
281,2021-05-16,834.0,Protein Bars
282,2021-05-17,866.0,Protein Bars
283,2021-05-18,777.0,Protein Bars
284,2021-05-19,691.0,Protein Bars
