,date,value,name_B06XG3BVY3
0,2020-05-24,2551.0,Supplements & Vitamins
1,2020-05-25,2551.0,Supplements & Vitamins
2,2020-05-26,2551.0,Supplements & Vitamins
3,2020-05-27,2905.0,Supplements & Vitamins
4,2020-05-28,2962.0,Supplements & Vitamins
5,2020-05-29,2962.0,Supplements & Vitamins
6,2020-05-30,2962.0,Supplements & Vitamins
7,2020-05-31,2979.0,Supplements & Vitamins
8,2020-06-01,2979.0,Supplements & Vitamins
9,2020-06-02,2979.0,Supplements & Vitamins
10,2020-06-03,2064.0,Supplements & Vitamins
11,2020-06-04,2064.0,Supplements & Vitamins
12,2020-06-05,2064.0,Supplements & Vitamins
13,2020-06-06,2687.0,Supplements & Vitamins
14,2020-06-07,2687.0,Supplements & Vitamins
15,2020-06-08,2491.0,Supplements & Vitamins
16,2020-06-09,2491.0,Supplements & Vitamins
17,2020-06-10,2491.0,Supplements & Vitamins
18,2020-06-11,2491.0,Supplements & Vitamins
19,2020-06-12,2254.0,Supplements & Vitamins
20,2020-06-13,2126.0,Supplements & Vitamins
21,2020-06-14,2126.0,Supplements & Vitamins
22,2020-06-15,2126.0,Supplements & Vitamins
23,2020-06-16,2126.0,Supplements & Vitamins
24,2020-06-17,2203.0,Supplements & Vitamins
25,2020-06-18,2203.0,Supplements & Vitamins
26,2020-06-19,2277.0,Supplements & Vitamins
27,2020-06-20,2277.0,Supplements & Vitamins
28,2020-06-21,2337.0,Supplements & Vitamins
29,2020-06-22,2337.0,Supplements & Vitamins
30,2020-06-23,2511.0,Supplements & Vitamins
31,2020-06-24,2511.0,Supplements & Vitamins
32,2020-06-25,2511.0,Supplements & Vitamins
33,2020-06-26,2293.0,Supplements & Vitamins
34,2020-06-27,2412.0,Supplements & Vitamins
35,2020-06-28,2412.0,Supplements & Vitamins
36,2020-06-29,2412.0,Supplements & Vitamins
37,2020-06-30,2412.0,Supplements & Vitamins
38,2020-07-01,2402.0,Supplements & Vitamins
39,2020-07-02,2338.0,Supplements & Vitamins
40,2020-07-03,1876.0,Supplements & Vitamins
41,2020-07-04,2099.0,Supplements & Vitamins
42,2020-07-05,2099.0,Supplements & Vitamins
43,2020-07-06,2099.0,Supplements & Vitamins
44,2020-07-07,2707.0,Supplements & Vitamins
45,2020-07-08,2707.0,Supplements & Vitamins
46,2020-07-09,2353.0,Supplements & Vitamins
47,2020-07-10,2353.0,Supplements & Vitamins
48,2020-07-11,2353.0,Supplements & Vitamins
49,2020-07-12,2353.0,Supplements & Vitamins
50,2020-07-13,1716.0,Supplements & Vitamins
51,2020-07-14,1716.0,Supplements & Vitamins
52,2020-07-15,2336.0,Supplements & Vitamins
53,2020-07-16,2336.0,Supplements & Vitamins
54,2020-07-17,2336.0,Supplements & Vitamins
55,2020-07-18,2336.0,Supplements & Vitamins
56,2020-07-19,2158.0,Supplements & Vitamins
57,2020-07-20,2158.0,Supplements & Vitamins
58,2020-07-21,2158.0,Supplements & Vitamins
59,2020-07-22,2227.0,Supplements & Vitamins
60,2020-07-23,2227.0,Supplements & Vitamins
61,2020-07-24,2227.0,Supplements & Vitamins
62,2020-07-25,2576.0,Supplements & Vitamins
63,2020-07-26,2576.0,Supplements & Vitamins
64,2020-07-27,2184.0,Supplements & Vitamins
65,2020-07-28,2215.0,Supplements & Vitamins
66,2020-07-29,2215.0,Supplements & Vitamins
67,2020-07-30,2215.0,Supplements & Vitamins
68,2020-07-31,2590.0,Supplements & Vitamins
69,2020-08-01,2506.0,Supplements & Vitamins
70,2020-08-02,2506.0,Supplements & Vitamins
71,2020-08-03,2557.0,Supplements & Vitamins
72,2020-08-04,2557.0,Supplements & Vitamins
73,2020-08-05,2557.0,Supplements & Vitamins
74,2020-08-06,2465.0,Supplements & Vitamins
75,2020-08-07,2465.0,Supplements & Vitamins
76,2020-08-08,2228.0,Supplements & Vitamins
77,2020-08-09,2228.0,Supplements & Vitamins
78,2020-08-10,2228.0,Supplements & Vitamins
79,2020-08-11,2640.0,Supplements & Vitamins
80,2020-08-12,2640.0,Supplements & Vitamins
81,2020-08-13,2640.0,Supplements & Vitamins
82,2020-08-14,2202.0,Supplements & Vitamins
83,2020-08-15,2202.0,Supplements & Vitamins
84,2020-08-16,2711.0,Supplements & Vitamins
85,2020-08-17,2711.0,Supplements & Vitamins
86,2020-08-18,2711.0,Supplements & Vitamins
87,2020-08-19,2711.0,Supplements & Vitamins
88,2020-08-20,2260.0,Supplements & Vitamins
89,2020-08-21,2260.0,Supplements & Vitamins
90,2020-08-22,2065.0,Supplements & Vitamins
91,2020-08-23,2065.0,Supplements & Vitamins
92,2020-08-24,2065.0,Supplements & Vitamins
93,2020-08-25,2192.0,Supplements & Vitamins
94,2020-08-26,2192.0,Supplements & Vitamins
95,2020-08-27,2192.0,Supplements & Vitamins
96,2020-08-28,2262.0,Supplements & Vitamins
97,2020-08-29,2262.0,Supplements & Vitamins
98,2020-08-30,2262.0,Supplements & Vitamins
99,2020-08-31,2074.0,Supplements & Vitamins
100,2020-09-01,2074.0,Supplements & Vitamins
101,2020-09-02,2074.0,Supplements & Vitamins
102,2020-09-03,2111.0,Supplements & Vitamins
103,2020-09-04,2111.0,Supplements & Vitamins
104,2020-09-05,1982.0,Supplements & Vitamins
105,2020-09-06,1982.0,Supplements & Vitamins
106,2020-09-07,1982.0,Supplements & Vitamins
107,2020-09-08,2244.0,Supplements & Vitamins
108,2020-09-09,2244.0,Supplements & Vitamins
109,2020-09-10,2244.0,Supplements & Vitamins
110,2020-09-11,2189.0,Supplements & Vitamins
111,2020-09-12,2189.0,Supplements & Vitamins
112,2020-09-13,2189.0,Supplements & Vitamins
113,2020-09-14,1922.0,Supplements & Vitamins
114,2020-09-15,1922.0,Supplements & Vitamins
115,2020-09-16,1922.0,Supplements & Vitamins
116,2020-09-17,1764.0,Supplements & Vitamins
117,2020-09-18,1764.0,Supplements & Vitamins
118,2020-09-19,1979.0,Supplements & Vitamins
119,2020-09-20,1995.0,Supplements & Vitamins
120,2020-09-21,1995.0,Supplements & Vitamins
121,2020-09-22,1995.0,Supplements & Vitamins
122,2020-09-23,2191.0,Supplements & Vitamins
123,2020-09-24,1831.0,Supplements & Vitamins
124,2020-09-25,1831.0,Supplements & Vitamins
125,2020-09-26,1831.0,Supplements & Vitamins
126,2020-09-27,2090.0,Supplements & Vitamins
