,date,value,name_B08H8DXNZR
167,2021-02-19,4354.0,Fabric
168,2021-02-20,3721.0,Fabric
169,2021-02-21,3721.0,Fabric
170,2021-02-22,3877.0,Fabric
171,2021-02-23,3857.0,Fabric
172,2021-02-24,1926.0,Fabric
173,2021-02-25,1926.0,Fabric
174,2021-02-26,1926.0,Fabric
175,2021-02-27,1926.0,Fabric
176,2021-02-28,1926.0,Fabric
177,2021-03-01,4073.0,Fabric
178,2021-03-02,3672.0,Fabric
179,2021-03-03,3672.0,Fabric
180,2021-03-04,2057.0,Fabric
181,2021-03-05,2936.0,Fabric
182,2021-03-06,3141.0,Fabric
183,2021-03-07,3141.0,Fabric
184,2021-03-08,4353.0,Fabric
185,2021-03-09,4353.0,Fabric
186,2021-03-10,4353.0,Fabric
187,2021-03-11,4014.0,Fabric
188,2021-03-12,3582.0,Fabric
189,2021-03-13,4252.0,Fabric
190,2021-03-14,5069.0,Fabric
191,2021-03-15,4609.0,Fabric
192,2021-03-16,5824.0,Fabric
193,2021-03-17,5824.0,Fabric
194,2021-03-18,3069.0,Fabric
195,2021-03-19,2946.0,Fabric
196,2021-03-20,2946.0,Fabric
197,2021-03-21,3250.0,Fabric
198,2021-03-22,4488.0,Fabric
199,2021-03-23,6325.0,Fabric
200,2021-03-24,5026.0,Fabric
201,2021-03-25,5026.0,Fabric
202,2021-03-26,2981.0,Fabric
203,2021-03-27,3847.0,Fabric
204,2021-03-28,3847.0,Fabric
205,2021-03-29,3755.0,Fabric
206,2021-03-30,3755.0,Fabric
207,2021-03-31,3610.0,Fabric
208,2021-04-01,2355.0,Fabric
209,2021-04-02,4683.0,Fabric
210,2021-04-03,4709.0,Fabric
211,2021-04-04,4709.0,Fabric
212,2021-04-05,3103.0,Fabric
213,2021-04-06,3103.0,Fabric
214,2021-04-07,3103.0,Fabric
215,2021-04-08,3103.0,Fabric
216,2021-04-09,4729.0,Fabric
217,2021-04-10,4729.0,Fabric
218,2021-04-11,2299.0,Fabric
219,2021-04-12,2299.0,Fabric
220,2021-04-13,2299.0,Fabric
221,2021-04-14,3172.0,Fabric
222,2021-04-15,3172.0,Fabric
223,2021-04-16,4245.0,Fabric
224,2021-04-17,4245.0,Fabric
225,2021-04-18,4245.0,Fabric
226,2021-04-19,4401.0,Fabric
227,2021-04-20,4121.0,Fabric
228,2021-04-21,3572.0,Fabric
229,2021-04-22,2332.0,Fabric
230,2021-04-23,3428.0,Fabric
231,2021-04-24,3545.0,Fabric
232,2021-04-25,5337.0,Fabric
233,2021-04-26,6898.0,Fabric
234,2021-04-27,4156.0,Fabric
235,2021-04-28,4156.0,Fabric
236,2021-04-29,4475.0,Fabric
237,2021-04-30,4475.0,Fabric
238,2021-05-01,4475.0,Fabric
239,2021-05-02,6283.0,Fabric
240,2021-05-03,7148.0,Fabric
241,2021-05-04,6190.0,Fabric
242,2021-05-05,6190.0,Fabric
243,2021-05-06,6907.0,Fabric
244,2021-05-07,5467.0,Fabric
245,2021-05-08,5467.0,Fabric
246,2021-05-09,5467.0,Fabric
247,2021-05-10,5497.0,Fabric
248,2021-05-11,3428.0,Fabric
249,2021-05-12,2479.0,Fabric
250,2021-05-13,2479.0,Fabric
251,2021-05-14,3658.0,Fabric
252,2021-05-15,3658.0,Fabric
253,2021-05-16,3658.0,Fabric
254,2021-05-17,3684.0,Fabric
255,2021-05-18,3684.0,Fabric
256,2021-05-19,3875.0,Fabric
257,2021-05-20,4103.0,Fabric
258,2021-05-21,4700.0,Fabric
259,2021-05-22,3554.0,Fabric
260,2021-05-23,3554.0,Fabric
261,2021-05-24,3554.0,Fabric
262,2021-05-25,3003.0,Fabric
263,2021-05-26,3003.0,Fabric
264,2021-05-27,4949.0,Fabric
265,2021-05-28,4949.0,Fabric
266,2021-05-29,3292.0,Fabric
267,2021-05-30,2497.0,Fabric
268,2021-05-31,3489.0,Fabric
269,2021-06-01,3489.0,Fabric
270,2021-06-02,6306.0,Fabric
271,2021-06-03,5993.0,Fabric
272,2021-06-04,6833.0,Fabric
273,2021-06-05,6833.0,Fabric
274,2021-06-06,4447.0,Fabric
275,2021-06-07,4121.0,Fabric
276,2021-06-08,5138.0,Fabric
277,2021-06-09,4408.0,Fabric
278,2021-06-10,4634.0,Fabric
279,2021-06-11,6052.0,Fabric
