,date,value,name_B07NQLFJMT
0,2019-03-04,58352.0,Champagne Glasses
1,2019-03-05,58352.0,Champagne Glasses
2,2019-03-06,58352.0,Champagne Glasses
3,2019-03-07,43974.0,Champagne Glasses
4,2019-03-08,38256.0,Champagne Glasses
5,2019-03-09,36761.0,Champagne Glasses
6,2019-03-10,36761.0,Champagne Glasses
7,2019-03-11,55878.0,Champagne Glasses
8,2019-03-12,33678.0,Champagne Glasses
9,2019-03-13,33678.0,Champagne Glasses
10,2019-03-14,38065.0,Champagne Glasses
11,2019-03-15,38065.0,Champagne Glasses
12,2019-03-16,42220.0,Champagne Glasses
13,2019-03-17,58348.0,Champagne Glasses
14,2019-03-18,48019.0,Champagne Glasses
15,2019-03-19,48019.0,Champagne Glasses
16,2019-03-20,28046.0,Champagne Glasses
17,2019-03-21,32120.0,Champagne Glasses
18,2019-03-22,36849.0,Champagne Glasses
19,2019-03-23,36849.0,Champagne Glasses
20,2019-03-24,29489.0,Champagne Glasses
21,2019-03-25,31160.0,Champagne Glasses
22,2019-03-26,31160.0,Champagne Glasses
23,2019-03-27,32587.0,Champagne Glasses
24,2019-03-28,32587.0,Champagne Glasses
25,2019-03-29,32587.0,Champagne Glasses
26,2019-03-30,40651.0,Champagne Glasses
27,2019-03-31,26387.0,Champagne Glasses
28,2019-04-01,26387.0,Champagne Glasses
29,2019-04-02,20550.0,Champagne Glasses
30,2019-04-03,37441.0,Champagne Glasses
31,2019-04-04,26514.0,Champagne Glasses
32,2019-04-05,26514.0,Champagne Glasses
33,2019-04-06,49921.0,Champagne Glasses
34,2019-04-07,49921.0,Champagne Glasses
35,2019-04-08,49921.0,Champagne Glasses
36,2019-04-09,49921.0,Champagne Glasses
37,2019-04-10,28424.0,Champagne Glasses
38,2019-04-11,28424.0,Champagne Glasses
39,2019-04-12,28424.0,Champagne Glasses
40,2019-04-13,28424.0,Champagne Glasses
41,2019-04-14,28424.0,Champagne Glasses
42,2019-04-15,28424.0,Champagne Glasses
43,2019-04-16,36795.0,Champagne Glasses
44,2019-04-17,36795.0,Champagne Glasses
45,2019-04-18,36795.0,Champagne Glasses
46,2019-04-19,36795.0,Champagne Glasses
47,2019-04-20,36795.0,Champagne Glasses
48,2019-04-21,34687.0,Champagne Glasses
49,2019-04-22,34687.0,Champagne Glasses
50,2019-04-23,33015.0,Champagne Glasses
51,2019-04-24,33015.0,Champagne Glasses
52,2019-04-25,33015.0,Champagne Glasses
53,2019-04-26,33015.0,Champagne Glasses
54,2019-04-27,33015.0,Champagne Glasses
55,2019-04-28,55995.0,Champagne Glasses
56,2019-04-29,44008.0,Champagne Glasses
57,2019-04-30,44008.0,Champagne Glasses
58,2019-05-01,44008.0,Champagne Glasses
59,2019-05-02,44008.0,Champagne Glasses
60,2019-05-03,44008.0,Champagne Glasses
61,2019-05-04,44008.0,Champagne Glasses
62,2019-05-05,35197.0,Champagne Glasses
63,2019-05-06,35197.0,Champagne Glasses
64,2019-05-07,29049.0,Champagne Glasses
65,2019-05-08,25172.0,Champagne Glasses
66,2019-05-09,25172.0,Champagne Glasses
67,2019-05-10,25932.0,Champagne Glasses
68,2019-05-11,26040.0,Champagne Glasses
69,2019-05-12,25050.0,Champagne Glasses
70,2019-05-13,29333.0,Champagne Glasses
71,2019-05-14,25326.0,Champagne Glasses
72,2019-05-15,17930.0,Champagne Glasses
73,2019-05-16,17930.0,Champagne Glasses
74,2019-05-17,-1.0,Champagne Glasses
75,2019-05-18,-1.0,Champagne Glasses
76,2019-05-19,-1.0,Champagne Glasses
77,2019-05-20,-1.0,Champagne Glasses
78,2019-05-21,-1.0,Champagne Glasses
79,2019-05-22,-1.0,Champagne Glasses
80,2019-05-23,-1.0,Champagne Glasses
81,2019-05-24,-1.0,Champagne Glasses
82,2019-05-25,-1.0,Champagne Glasses
83,2019-05-26,-1.0,Champagne Glasses
84,2019-05-27,-1.0,Champagne Glasses
85,2019-05-28,-1.0,Champagne Glasses
86,2019-05-29,-1.0,Champagne Glasses
87,2019-05-30,-1.0,Champagne Glasses
88,2019-05-31,-1.0,Champagne Glasses
89,2019-06-01,-1.0,Champagne Glasses
90,2019-06-02,-1.0,Champagne Glasses
91,2019-06-03,-1.0,Champagne Glasses
92,2019-06-04,-1.0,Champagne Glasses
93,2019-06-05,-1.0,Champagne Glasses
94,2019-06-06,-1.0,Champagne Glasses
95,2019-06-07,-1.0,Champagne Glasses
96,2019-06-08,-1.0,Champagne Glasses
97,2019-06-09,-1.0,Champagne Glasses
98,2019-06-10,-1.0,Champagne Glasses
99,2019-06-11,-1.0,Champagne Glasses
100,2019-06-12,-1.0,Champagne Glasses
101,2019-06-13,-1.0,Champagne Glasses
102,2019-06-14,-1.0,Champagne Glasses
103,2019-06-15,36431.0,Champagne Glasses
104,2019-06-16,36431.0,Champagne Glasses
105,2019-06-17,36431.0,Champagne Glasses
106,2019-06-18,36431.0,Champagne Glasses
107,2019-06-19,25820.0,Champagne Glasses
108,2019-06-20,25820.0,Champagne Glasses
109,2019-06-21,17687.0,Champagne Glasses
110,2019-06-22,20195.0,Champagne Glasses
111,2019-06-23,20195.0,Champagne Glasses
112,2019-06-24,20195.0,Champagne Glasses
113,2019-06-25,26334.0,Champagne Glasses
114,2019-06-26,26334.0,Champagne Glasses
115,2019-06-27,27661.0,Champagne Glasses
116,2019-06-28,27661.0,Champagne Glasses
117,2019-06-29,27661.0,Champagne Glasses
118,2019-06-30,43631.0,Champagne Glasses
119,2019-07-01,43631.0,Champagne Glasses
120,2019-07-02,43631.0,Champagne Glasses
121,2019-07-03,43631.0,Champagne Glasses
122,2019-07-04,36138.0,Champagne Glasses
123,2019-07-05,36138.0,Champagne Glasses
124,2019-07-06,36138.0,Champagne Glasses
125,2019-07-07,41386.0,Champagne Glasses
126,2019-07-08,41386.0,Champagne Glasses
127,2019-07-09,41386.0,Champagne Glasses
128,2019-07-10,30013.0,Champagne Glasses
129,2019-07-11,30013.0,Champagne Glasses
130,2019-07-12,30013.0,Champagne Glasses
131,2019-07-13,28455.0,Champagne Glasses
132,2019-07-14,28455.0,Champagne Glasses
133,2019-07-15,28455.0,Champagne Glasses
134,2019-07-16,33727.0,Champagne Glasses
135,2019-07-17,55411.0,Champagne Glasses
136,2019-07-18,69950.0,Champagne Glasses
137,2019-07-19,69950.0,Champagne Glasses
