,date,value,name_B08QZP9KCW
0,2021-02-26,70594.0,Personal Size Blenders
1,2021-02-27,82841.0,Personal Size Blenders
2,2021-02-28,83689.0,Personal Size Blenders
3,2021-03-01,87998.0,Personal Size Blenders
4,2021-03-02,45982.0,Personal Size Blenders
5,2021-03-03,55046.0,Personal Size Blenders
6,2021-03-04,72796.0,Personal Size Blenders
7,2021-03-05,60714.0,Personal Size Blenders
8,2021-03-06,56593.0,Personal Size Blenders
9,2021-03-07,56593.0,Personal Size Blenders
10,2021-03-08,51476.0,Personal Size Blenders
11,2021-03-09,45693.0,Personal Size Blenders
12,2021-03-10,64004.0,Personal Size Blenders
13,2021-03-11,54682.0,Personal Size Blenders
14,2021-03-12,51137.0,Personal Size Blenders
15,2021-03-13,52758.0,Personal Size Blenders
16,2021-03-14,63809.0,Personal Size Blenders
17,2021-03-15,55584.0,Personal Size Blenders
18,2021-03-16,86740.0,Personal Size Blenders
19,2021-03-17,78483.0,Personal Size Blenders
20,2021-03-18,106138.0,Personal Size Blenders
21,2021-03-19,129681.0,Personal Size Blenders
22,2021-03-20,138086.0,Personal Size Blenders
23,2021-03-21,156359.0,Personal Size Blenders
24,2021-03-22,181819.0,Personal Size Blenders
25,2021-03-23,193040.0,Personal Size Blenders
26,2021-03-24,206952.0,Personal Size Blenders
27,2021-03-25,218473.0,Personal Size Blenders
28,2021-03-26,218473.0,Personal Size Blenders
29,2021-03-27,232084.0,Personal Size Blenders
30,2021-03-28,236548.0,Personal Size Blenders
31,2021-03-29,246909.0,Personal Size Blenders
32,2021-03-30,131191.0,Personal Size Blenders
33,2021-03-31,147548.0,Personal Size Blenders
34,2021-04-01,137907.0,Personal Size Blenders
35,2021-04-02,167827.0,Personal Size Blenders
36,2021-04-03,71012.0,Personal Size Blenders
37,2021-04-04,115660.0,Personal Size Blenders
38,2021-04-05,133231.0,Personal Size Blenders
39,2021-04-06,97360.0,Personal Size Blenders
40,2021-04-07,120554.0,Personal Size Blenders
41,2021-04-08,59345.0,Personal Size Blenders
42,2021-04-09,54343.0,Personal Size Blenders
43,2021-04-10,58518.0,Personal Size Blenders
44,2021-04-11,50383.0,Personal Size Blenders
45,2021-04-12,41924.0,Personal Size Blenders
46,2021-04-13,39647.0,Personal Size Blenders
47,2021-04-14,61177.0,Personal Size Blenders
48,2021-04-15,74022.0,Personal Size Blenders
49,2021-04-16,106868.0,Personal Size Blenders
50,2021-04-17,128153.0,Personal Size Blenders
51,2021-04-18,124965.0,Personal Size Blenders
52,2021-04-19,108213.0,Personal Size Blenders
53,2021-04-20,134755.0,Personal Size Blenders
54,2021-04-21,154565.0,Personal Size Blenders
55,2021-04-22,141190.0,Personal Size Blenders
56,2021-04-23,172840.0,Personal Size Blenders
57,2021-04-24,179194.0,Personal Size Blenders
58,2021-04-25,171621.0,Personal Size Blenders
59,2021-04-26,140771.0,Personal Size Blenders
60,2021-04-27,134548.0,Personal Size Blenders
61,2021-04-28,181438.0,Personal Size Blenders
62,2021-04-29,195468.0,Personal Size Blenders
63,2021-04-30,165293.0,Personal Size Blenders
64,2021-05-01,190568.0,Personal Size Blenders
65,2021-05-02,201208.0,Personal Size Blenders
66,2021-05-03,234210.0,Personal Size Blenders
67,2021-05-04,254491.0,Personal Size Blenders
68,2021-05-05,263173.0,Personal Size Blenders
69,2021-05-06,271327.0,Personal Size Blenders
70,2021-05-07,272784.0,Personal Size Blenders
71,2021-05-08,276654.0,Personal Size Blenders
72,2021-05-09,277430.0,Personal Size Blenders
73,2021-05-10,280579.0,Personal Size Blenders
74,2021-05-11,285344.0,Personal Size Blenders
75,2021-05-12,292355.0,Personal Size Blenders
76,2021-05-13,293880.0,Personal Size Blenders
77,2021-05-14,300403.0,Personal Size Blenders
