,date,value,name_B08GSRZ4XB
0,2020-08-29,23516.0,Sheet & Pillowcase Sets
1,2020-08-30,16563.0,Sheet & Pillowcase Sets
2,2020-08-31,16563.0,Sheet & Pillowcase Sets
3,2020-09-01,16563.0,Sheet & Pillowcase Sets
4,2020-09-02,19436.0,Sheet & Pillowcase Sets
5,2020-09-03,19436.0,Sheet & Pillowcase Sets
6,2020-09-04,19436.0,Sheet & Pillowcase Sets
7,2020-09-05,25910.0,Sheet & Pillowcase Sets
8,2020-09-06,25910.0,Sheet & Pillowcase Sets
9,2020-09-07,29203.0,Sheet & Pillowcase Sets
10,2020-09-08,29203.0,Sheet & Pillowcase Sets
11,2020-09-09,29203.0,Sheet & Pillowcase Sets
12,2020-09-10,21999.0,Sheet & Pillowcase Sets
13,2020-09-11,21999.0,Sheet & Pillowcase Sets
14,2020-09-12,21999.0,Sheet & Pillowcase Sets
15,2020-09-13,26107.0,Sheet & Pillowcase Sets
16,2020-09-14,23221.0,Sheet & Pillowcase Sets
17,2020-09-15,23221.0,Sheet & Pillowcase Sets
18,2020-09-16,23221.0,Sheet & Pillowcase Sets
19,2020-09-17,9744.0,Sheet & Pillowcase Sets
20,2020-09-18,7228.0,Sheet & Pillowcase Sets
21,2020-09-19,7273.0,Sheet & Pillowcase Sets
22,2020-09-20,7273.0,Sheet & Pillowcase Sets
23,2020-09-21,7893.0,Sheet & Pillowcase Sets
24,2020-09-22,10541.0,Sheet & Pillowcase Sets
25,2020-09-23,10541.0,Sheet & Pillowcase Sets
26,2020-09-24,10541.0,Sheet & Pillowcase Sets
27,2020-09-25,24311.0,Sheet & Pillowcase Sets
28,2020-09-26,24311.0,Sheet & Pillowcase Sets
29,2020-09-27,11070.0,Sheet & Pillowcase Sets
30,2020-09-28,9448.0,Sheet & Pillowcase Sets
31,2020-09-29,11426.0,Sheet & Pillowcase Sets
32,2020-09-30,11426.0,Sheet & Pillowcase Sets
33,2020-10-01,11426.0,Sheet & Pillowcase Sets
34,2020-10-02,13187.0,Sheet & Pillowcase Sets
35,2020-10-03,13187.0,Sheet & Pillowcase Sets
36,2020-10-04,13187.0,Sheet & Pillowcase Sets
37,2020-10-05,11454.0,Sheet & Pillowcase Sets
