,date,value,name_B0925N1YBD
0,2021-04-29,159344.0,Countertop Soap Dispensers
1,2021-04-30,159344.0,Countertop Soap Dispensers
2,2021-05-01,159344.0,Countertop Soap Dispensers
3,2021-05-02,159344.0,Countertop Soap Dispensers
4,2021-05-03,130125.0,Countertop Soap Dispensers
5,2021-05-04,130125.0,Countertop Soap Dispensers
6,2021-05-05,130125.0,Countertop Soap Dispensers
7,2021-05-06,130125.0,Countertop Soap Dispensers
8,2021-05-07,139792.0,Countertop Soap Dispensers
9,2021-05-08,139792.0,Countertop Soap Dispensers
10,2021-05-09,139792.0,Countertop Soap Dispensers
11,2021-05-10,139792.0,Countertop Soap Dispensers
12,2021-05-11,139792.0,Countertop Soap Dispensers
13,2021-05-12,89112.0,Countertop Soap Dispensers
14,2021-05-13,89112.0,Countertop Soap Dispensers
15,2021-05-14,89112.0,Countertop Soap Dispensers
16,2021-05-15,89112.0,Countertop Soap Dispensers
17,2021-05-16,89112.0,Countertop Soap Dispensers
18,2021-05-17,100398.0,Countertop Soap Dispensers
19,2021-05-18,100398.0,Countertop Soap Dispensers
20,2021-05-19,100398.0,Countertop Soap Dispensers
21,2021-05-20,100398.0,Countertop Soap Dispensers
22,2021-05-21,100398.0,Countertop Soap Dispensers
23,2021-05-22,100398.0,Countertop Soap Dispensers
24,2021-05-23,510243.0,Countertop Soap Dispensers
25,2021-05-24,510243.0,Countertop Soap Dispensers
26,2021-05-25,510243.0,Countertop Soap Dispensers
27,2021-05-26,141861.0,Countertop Soap Dispensers
28,2021-05-27,141861.0,Countertop Soap Dispensers
29,2021-05-28,141861.0,Countertop Soap Dispensers
30,2021-05-29,129424.0,Countertop Soap Dispensers
31,2021-05-30,129424.0,Countertop Soap Dispensers
32,2021-05-31,129424.0,Countertop Soap Dispensers
33,2021-06-01,238265.0,Countertop Soap Dispensers
34,2021-06-02,238265.0,Countertop Soap Dispensers
35,2021-06-03,482177.0,Countertop Soap Dispensers
36,2021-06-04,482177.0,Countertop Soap Dispensers
37,2021-06-05,482177.0,Countertop Soap Dispensers
38,2021-06-06,482177.0,Countertop Soap Dispensers
39,2021-06-07,482177.0,Countertop Soap Dispensers
40,2021-06-08,482177.0,Countertop Soap Dispensers
41,2021-06-09,746504.0,Countertop Soap Dispensers
42,2021-06-10,136014.0,Countertop Soap Dispensers
43,2021-06-11,136014.0,Countertop Soap Dispensers
44,2021-06-12,136014.0,Countertop Soap Dispensers
45,2021-06-13,136014.0,Countertop Soap Dispensers
46,2021-06-14,136014.0,Countertop Soap Dispensers
47,2021-06-15,136014.0,Countertop Soap Dispensers
48,2021-06-16,166227.0,Countertop Soap Dispensers
49,2021-06-17,166227.0,Countertop Soap Dispensers
50,2021-06-18,166227.0,Countertop Soap Dispensers
51,2021-06-19,166227.0,Countertop Soap Dispensers
52,2021-06-20,166227.0,Countertop Soap Dispensers
53,2021-06-21,55587.0,Countertop Soap Dispensers
54,2021-06-22,30347.0,Countertop Soap Dispensers
55,2021-06-23,30957.0,Countertop Soap Dispensers
56,2021-06-24,30957.0,Countertop Soap Dispensers
57,2021-06-25,30957.0,Countertop Soap Dispensers
58,2021-06-26,30957.0,Countertop Soap Dispensers
59,2021-06-27,46819.0,Countertop Soap Dispensers
60,2021-06-28,46819.0,Countertop Soap Dispensers
61,2021-06-29,46819.0,Countertop Soap Dispensers
62,2021-06-30,47621.0,Countertop Soap Dispensers
63,2021-07-01,47621.0,Countertop Soap Dispensers
64,2021-07-02,47621.0,Countertop Soap Dispensers
65,2021-07-03,36549.0,Countertop Soap Dispensers
66,2021-07-04,35612.0,Countertop Soap Dispensers
67,2021-07-05,38491.0,Countertop Soap Dispensers
68,2021-07-06,32108.0,Countertop Soap Dispensers
69,2021-07-07,46190.0,Countertop Soap Dispensers
70,2021-07-08,40308.0,Countertop Soap Dispensers
71,2021-07-09,37709.0,Countertop Soap Dispensers
