,date,value,name_B01L9U99DI
0,2018-07-13,3391.0,Cups
1,2018-07-14,3494.0,Cups
2,2018-07-15,4020.0,Cups
3,2018-07-16,3713.0,Cups
4,2018-07-17,4311.0,Cups
5,2018-07-18,4311.0,Cups
6,2018-07-19,3792.0,Cups
7,2018-07-20,3479.0,Cups
8,2018-07-21,3646.0,Cups
9,2018-07-22,4873.0,Cups
10,2018-07-23,4873.0,Cups
11,2018-07-24,4873.0,Cups
12,2018-07-25,4873.0,Cups
13,2018-07-26,4873.0,Cups
14,2018-07-27,2715.0,Cups
15,2018-07-28,3229.0,Cups
16,2018-07-29,4012.0,Cups
17,2018-07-30,4012.0,Cups
18,2018-07-31,2755.0,Cups
19,2018-08-01,2761.0,Cups
20,2018-08-02,2761.0,Cups
21,2018-08-03,2761.0,Cups
22,2018-08-04,2838.0,Cups
23,2018-08-05,3593.0,Cups
24,2018-08-06,4431.0,Cups
25,2018-08-07,4431.0,Cups
26,2018-08-08,2501.0,Cups
27,2018-08-09,1978.0,Cups
28,2018-08-10,1978.0,Cups
29,2018-08-11,2155.0,Cups
30,2018-08-12,2155.0,Cups
31,2018-08-13,2155.0,Cups
32,2018-08-14,2155.0,Cups
33,2018-08-15,1890.0,Cups
34,2018-08-16,1812.0,Cups
35,2018-08-17,1812.0,Cups
36,2018-08-18,1581.0,Cups
37,2018-08-19,1581.0,Cups
38,2018-08-20,1952.0,Cups
39,2018-08-21,2350.0,Cups
40,2018-08-22,2394.0,Cups
41,2018-08-23,2394.0,Cups
42,2018-08-24,2394.0,Cups
43,2018-08-25,2394.0,Cups
44,2018-08-26,3455.0,Cups
45,2018-08-27,4207.0,Cups
46,2018-08-28,3015.0,Cups
47,2018-08-29,3551.0,Cups
48,2018-08-30,3201.0,Cups
49,2018-08-31,3201.0,Cups
50,2018-09-01,3175.0,Cups
51,2018-09-02,3175.0,Cups
52,2018-09-03,3175.0,Cups
53,2018-09-04,5914.0,Cups
54,2018-09-05,2336.0,Cups
55,2018-09-06,3108.0,Cups
56,2018-09-07,3065.0,Cups
57,2018-09-08,3065.0,Cups
58,2018-09-09,3065.0,Cups
59,2018-09-10,3966.0,Cups
60,2018-09-11,2574.0,Cups
61,2018-09-12,1868.0,Cups
62,2018-09-13,1868.0,Cups
63,2018-09-14,2072.0,Cups
64,2018-09-15,2072.0,Cups
65,2018-09-16,2072.0,Cups
66,2018-09-17,2072.0,Cups
67,2018-09-18,3138.0,Cups
68,2018-09-19,3138.0,Cups
69,2018-09-20,1755.0,Cups
70,2018-09-21,1755.0,Cups
71,2018-09-22,1755.0,Cups
72,2018-09-23,1755.0,Cups
73,2018-09-24,1755.0,Cups
74,2018-09-25,1755.0,Cups
75,2018-09-26,1755.0,Cups
76,2018-09-27,1755.0,Cups
77,2018-09-28,1755.0,Cups
78,2018-09-29,1755.0,Cups
79,2018-09-30,1755.0,Cups
80,2018-10-01,1755.0,Cups
81,2018-10-02,1755.0,Cups
82,2018-10-03,1755.0,Cups
83,2018-10-04,1755.0,Cups
84,2018-10-05,1755.0,Cups
85,2018-10-06,1755.0,Cups
86,2018-10-07,1755.0,Cups
87,2018-10-08,1755.0,Cups
88,2018-10-09,1596.0,Cups
89,2018-10-10,1596.0,Cups
90,2018-10-11,1596.0,Cups
91,2018-10-12,1596.0,Cups
92,2018-10-13,1942.0,Cups
93,2018-10-14,1942.0,Cups
94,2018-10-15,1942.0,Cups
95,2018-10-16,1942.0,Cups
96,2018-10-17,1434.0,Cups
97,2018-10-18,1434.0,Cups
98,2018-10-19,1434.0,Cups
99,2018-10-20,1434.0,Cups
100,2018-10-21,1434.0,Cups
101,2018-10-22,1434.0,Cups
102,2018-10-23,1434.0,Cups
103,2018-10-24,1434.0,Cups
