,date,value,name_B0855H277D
0,2020-03-01,84279.0,Moth Protection
1,2020-03-02,84279.0,Moth Protection
2,2020-03-03,84279.0,Moth Protection
3,2020-03-04,84279.0,Moth Protection
4,2020-03-05,70450.0,Moth Protection
5,2020-03-06,70450.0,Moth Protection
6,2020-03-07,70450.0,Moth Protection
7,2020-03-08,70450.0,Moth Protection
8,2020-03-09,70450.0,Moth Protection
9,2020-03-10,83561.0,Moth Protection
10,2020-03-11,60435.0,Moth Protection
11,2020-03-12,60435.0,Moth Protection
12,2020-03-13,60435.0,Moth Protection
13,2020-03-14,60435.0,Moth Protection
14,2020-03-15,60435.0,Moth Protection
15,2020-03-16,27951.0,Moth Protection
16,2020-03-17,27951.0,Moth Protection
17,2020-03-18,27951.0,Moth Protection
18,2020-03-19,27951.0,Moth Protection
19,2020-03-20,36045.0,Moth Protection
20,2020-03-21,36045.0,Moth Protection
21,2020-03-22,36045.0,Moth Protection
22,2020-03-23,25365.0,Moth Protection
23,2020-03-24,25365.0,Moth Protection
24,2020-03-25,30074.0,Moth Protection
25,2020-03-26,22921.0,Moth Protection
26,2020-03-27,14862.0,Moth Protection
27,2020-03-28,14862.0,Moth Protection
28,2020-03-29,27080.0,Moth Protection
29,2020-03-30,31531.0,Moth Protection
30,2020-03-31,26858.0,Moth Protection
31,2020-04-01,26858.0,Moth Protection
32,2020-04-02,42141.0,Moth Protection
33,2020-04-03,52581.0,Moth Protection
34,2020-04-04,52581.0,Moth Protection
35,2020-04-05,49722.0,Moth Protection
36,2020-04-06,49722.0,Moth Protection
37,2020-04-07,49722.0,Moth Protection
38,2020-04-08,42471.0,Moth Protection
39,2020-04-09,42471.0,Moth Protection
40,2020-04-10,42471.0,Moth Protection
41,2020-04-11,42471.0,Moth Protection
42,2020-04-12,42471.0,Moth Protection
43,2020-04-13,85516.0,Moth Protection
44,2020-04-14,72507.0,Moth Protection
45,2020-04-15,69088.0,Moth Protection
46,2020-04-16,69088.0,Moth Protection
47,2020-04-17,69088.0,Moth Protection
48,2020-04-18,69088.0,Moth Protection
49,2020-04-19,69088.0,Moth Protection
50,2020-04-20,79542.0,Moth Protection
51,2020-04-21,61432.0,Moth Protection
52,2020-04-22,61432.0,Moth Protection
53,2020-04-23,61432.0,Moth Protection
54,2020-04-24,61432.0,Moth Protection
55,2020-04-25,61432.0,Moth Protection
56,2020-04-26,61432.0,Moth Protection
57,2020-04-27,61432.0,Moth Protection
58,2020-04-28,67511.0,Moth Protection
59,2020-04-29,67511.0,Moth Protection
60,2020-04-30,69047.0,Moth Protection
