,date,value,name_B086TVZG5G
0,2020-05-24,6885.0,Gag Toys & Practical Jokes
1,2020-05-25,6885.0,Gag Toys & Practical Jokes
2,2020-05-26,8589.0,Gag Toys & Practical Jokes
3,2020-05-27,6742.0,Gag Toys & Practical Jokes
4,2020-05-28,5478.0,Gag Toys & Practical Jokes
5,2020-05-29,5478.0,Gag Toys & Practical Jokes
6,2020-05-30,5740.0,Gag Toys & Practical Jokes
7,2020-05-31,9338.0,Gag Toys & Practical Jokes
8,2020-06-01,9338.0,Gag Toys & Practical Jokes
9,2020-06-02,6199.0,Gag Toys & Practical Jokes
10,2020-06-03,6199.0,Gag Toys & Practical Jokes
11,2020-06-04,6199.0,Gag Toys & Practical Jokes
12,2020-06-05,5532.0,Gag Toys & Practical Jokes
13,2020-06-06,3914.0,Gag Toys & Practical Jokes
14,2020-06-07,3914.0,Gag Toys & Practical Jokes
15,2020-06-08,5826.0,Gag Toys & Practical Jokes
16,2020-06-09,5744.0,Gag Toys & Practical Jokes
17,2020-06-10,5212.0,Gag Toys & Practical Jokes
18,2020-06-11,5212.0,Gag Toys & Practical Jokes
19,2020-06-12,5212.0,Gag Toys & Practical Jokes
20,2020-06-13,4176.0,Gag Toys & Practical Jokes
21,2020-06-14,3001.0,Gag Toys & Practical Jokes
22,2020-06-15,3536.0,Gag Toys & Practical Jokes
23,2020-06-16,3373.0,Gag Toys & Practical Jokes
24,2020-06-17,3373.0,Gag Toys & Practical Jokes
25,2020-06-18,3373.0,Gag Toys & Practical Jokes
26,2020-06-19,2116.0,Gag Toys & Practical Jokes
27,2020-06-20,2116.0,Gag Toys & Practical Jokes
28,2020-06-21,2140.0,Gag Toys & Practical Jokes
29,2020-06-22,2140.0,Gag Toys & Practical Jokes
30,2020-06-23,3164.0,Gag Toys & Practical Jokes
31,2020-06-24,3583.0,Gag Toys & Practical Jokes
32,2020-06-25,4385.0,Gag Toys & Practical Jokes
33,2020-06-26,4385.0,Gag Toys & Practical Jokes
