,date,value,name_B07FNX89SP
0,2018-08-08,143129.0,Trash Bags
1,2018-08-09,178851.0,Trash Bags
2,2018-08-10,208979.0,Trash Bags
3,2018-08-11,241238.0,Trash Bags
4,2018-08-12,114578.0,Trash Bags
5,2018-08-13,156172.0,Trash Bags
6,2018-08-14,189026.0,Trash Bags
7,2018-08-15,97865.0,Trash Bags
8,2018-08-16,143819.0,Trash Bags
9,2018-08-17,173528.0,Trash Bags
10,2018-08-18,198540.0,Trash Bags
11,2018-08-19,223993.0,Trash Bags
12,2018-08-20,87188.0,Trash Bags
13,2018-08-21,142955.0,Trash Bags
14,2018-08-22,55487.0,Trash Bags
15,2018-08-23,86012.0,Trash Bags
16,2018-08-24,113912.0,Trash Bags
17,2018-08-25,140820.0,Trash Bags
18,2018-08-26,163300.0,Trash Bags
19,2018-08-27,180142.0,Trash Bags
20,2018-08-28,201400.0,Trash Bags
21,2018-08-29,106557.0,Trash Bags
22,2018-08-30,144351.0,Trash Bags
23,2018-08-31,180080.0,Trash Bags
24,2018-09-01,47029.0,Trash Bags
25,2018-09-02,115060.0,Trash Bags
26,2018-09-03,141124.0,Trash Bags
27,2018-09-04,6869.0,Trash Bags
28,2018-09-05,17892.0,Trash Bags
29,2018-09-06,33523.0,Trash Bags
30,2018-09-07,33523.0,Trash Bags
31,2018-09-08,53559.0,Trash Bags
32,2018-09-09,46273.0,Trash Bags
33,2018-09-10,46273.0,Trash Bags
34,2018-09-11,52912.0,Trash Bags
35,2018-09-12,36255.0,Trash Bags
36,2018-09-13,43030.0,Trash Bags
37,2018-09-14,34368.0,Trash Bags
38,2018-09-15,62648.0,Trash Bags
39,2018-09-16,50750.0,Trash Bags
40,2018-09-17,50750.0,Trash Bags
41,2018-09-18,51893.0,Trash Bags
42,2018-09-19,55306.0,Trash Bags
43,2018-09-20,-1.0,Trash Bags
