,date,value,name_B08CMJ8X2X
0,2020-07-14,26827.0,Floor Fans
1,2020-07-15,26827.0,Floor Fans
2,2020-07-16,32396.0,Floor Fans
3,2020-07-17,32396.0,Floor Fans
4,2020-07-18,32396.0,Floor Fans
5,2020-07-19,36587.0,Floor Fans
6,2020-07-20,43196.0,Floor Fans
7,2020-07-21,43196.0,Floor Fans
8,2020-07-22,42072.0,Floor Fans
9,2020-07-23,42072.0,Floor Fans
10,2020-07-24,42072.0,Floor Fans
11,2020-07-25,42072.0,Floor Fans
12,2020-07-26,42582.0,Floor Fans
13,2020-07-27,46457.0,Floor Fans
14,2020-07-28,38925.0,Floor Fans
15,2020-07-29,38925.0,Floor Fans
16,2020-07-30,38925.0,Floor Fans
17,2020-07-31,38925.0,Floor Fans
18,2020-08-01,45809.0,Floor Fans
19,2020-08-02,45809.0,Floor Fans
20,2020-08-03,37159.0,Floor Fans
21,2020-08-04,37980.0,Floor Fans
22,2020-08-05,37980.0,Floor Fans
23,2020-08-06,53011.0,Floor Fans
24,2020-08-07,53011.0,Floor Fans
25,2020-08-08,53011.0,Floor Fans
26,2020-08-09,53011.0,Floor Fans
27,2020-08-10,53011.0,Floor Fans
28,2020-08-11,41241.0,Floor Fans
29,2020-08-12,41241.0,Floor Fans
30,2020-08-13,41241.0,Floor Fans
31,2020-08-14,41241.0,Floor Fans
32,2020-08-15,41241.0,Floor Fans
33,2020-08-16,23916.0,Floor Fans
34,2020-08-17,23043.0,Floor Fans
35,2020-08-18,23043.0,Floor Fans
36,2020-08-19,23043.0,Floor Fans
37,2020-08-20,23043.0,Floor Fans
38,2020-08-21,26185.0,Floor Fans
39,2020-08-22,26185.0,Floor Fans
40,2020-08-23,26185.0,Floor Fans
41,2020-08-24,26185.0,Floor Fans
42,2020-08-25,26185.0,Floor Fans
43,2020-08-26,44997.0,Floor Fans
44,2020-08-27,30169.0,Floor Fans
45,2020-08-28,30169.0,Floor Fans
46,2020-08-29,59644.0,Floor Fans
47,2020-08-30,59644.0,Floor Fans
48,2020-08-31,52027.0,Floor Fans
49,2020-09-01,55997.0,Floor Fans
50,2020-09-02,55997.0,Floor Fans
51,2020-09-03,35139.0,Floor Fans
52,2020-09-04,35854.0,Floor Fans
53,2020-09-05,39088.0,Floor Fans
54,2020-09-06,39088.0,Floor Fans
55,2020-09-07,39088.0,Floor Fans
56,2020-09-08,39088.0,Floor Fans
57,2020-09-09,39088.0,Floor Fans
58,2020-09-10,44287.0,Floor Fans
59,2020-09-11,43045.0,Floor Fans
60,2020-09-12,56432.0,Floor Fans
61,2020-09-13,56432.0,Floor Fans
62,2020-09-14,56432.0,Floor Fans
63,2020-09-15,56432.0,Floor Fans
64,2020-09-16,56432.0,Floor Fans
65,2020-09-17,59264.0,Floor Fans
66,2020-09-18,79097.0,Floor Fans
67,2020-09-19,79097.0,Floor Fans
68,2020-09-20,79097.0,Floor Fans
69,2020-09-21,79097.0,Floor Fans
70,2020-09-22,79097.0,Floor Fans
71,2020-09-23,77060.0,Floor Fans
72,2020-09-24,77060.0,Floor Fans
73,2020-09-25,77060.0,Floor Fans
74,2020-09-26,77060.0,Floor Fans
75,2020-09-27,100250.0,Floor Fans
76,2020-09-28,100250.0,Floor Fans
77,2020-09-29,100250.0,Floor Fans
78,2020-09-30,100250.0,Floor Fans
79,2020-10-01,100250.0,Floor Fans
80,2020-10-02,100250.0,Floor Fans
81,2020-10-03,100250.0,Floor Fans
82,2020-10-04,100250.0,Floor Fans
83,2020-10-05,122713.0,Floor Fans
84,2020-10-06,122713.0,Floor Fans
85,2020-10-07,122713.0,Floor Fans
86,2020-10-08,122713.0,Floor Fans
87,2020-10-09,122713.0,Floor Fans
88,2020-10-10,122713.0,Floor Fans
89,2020-10-11,66116.0,Floor Fans
90,2020-10-12,66116.0,Floor Fans
91,2020-10-13,81947.0,Floor Fans
92,2020-10-14,70121.0,Floor Fans
93,2020-10-15,79657.0,Floor Fans
94,2020-10-16,79657.0,Floor Fans
95,2020-10-17,79657.0,Floor Fans
96,2020-10-18,79657.0,Floor Fans
97,2020-10-19,79006.0,Floor Fans
98,2020-10-20,63443.0,Floor Fans
99,2020-10-21,64357.0,Floor Fans
100,2020-10-22,95203.0,Floor Fans
101,2020-10-23,95203.0,Floor Fans
102,2020-10-24,95203.0,Floor Fans
103,2020-10-25,95203.0,Floor Fans
104,2020-10-26,95203.0,Floor Fans
105,2020-10-27,68459.0,Floor Fans
106,2020-10-28,68459.0,Floor Fans
107,2020-10-29,74276.0,Floor Fans
108,2020-10-30,53410.0,Floor Fans
109,2020-10-31,53410.0,Floor Fans
110,2020-11-01,53410.0,Floor Fans
111,2020-11-02,84397.0,Floor Fans
112,2020-11-03,84397.0,Floor Fans
113,2020-11-04,78025.0,Floor Fans
114,2020-11-05,78987.0,Floor Fans
115,2020-11-06,78987.0,Floor Fans
116,2020-11-07,78987.0,Floor Fans
117,2020-11-08,78987.0,Floor Fans
118,2020-11-09,74244.0,Floor Fans
119,2020-11-10,74244.0,Floor Fans
120,2020-11-11,75634.0,Floor Fans
121,2020-11-12,75634.0,Floor Fans
122,2020-11-13,75634.0,Floor Fans
123,2020-11-14,75634.0,Floor Fans
124,2020-11-15,75634.0,Floor Fans
125,2020-11-16,111402.0,Floor Fans
126,2020-11-17,111402.0,Floor Fans
127,2020-11-18,111402.0,Floor Fans
128,2020-11-19,111402.0,Floor Fans
129,2020-11-20,111402.0,Floor Fans
130,2020-11-21,96381.0,Floor Fans
131,2020-11-22,96381.0,Floor Fans
132,2020-11-23,96381.0,Floor Fans
133,2020-11-24,96381.0,Floor Fans
134,2020-11-25,96381.0,Floor Fans
135,2020-11-26,96381.0,Floor Fans
136,2020-11-27,87282.0,Floor Fans
137,2020-11-28,87282.0,Floor Fans
138,2020-11-29,87282.0,Floor Fans
139,2020-11-30,87282.0,Floor Fans
