,date,value,name_B0844LJQ3N
0,2020-05-25,2664.0,Liquid Ink Rollerball Pens
1,2020-05-26,2664.0,Liquid Ink Rollerball Pens
2,2020-05-27,2664.0,Liquid Ink Rollerball Pens
3,2020-05-28,2664.0,Liquid Ink Rollerball Pens
4,2020-05-29,2790.0,Liquid Ink Rollerball Pens
5,2020-05-30,2790.0,Liquid Ink Rollerball Pens
6,2020-05-31,2790.0,Liquid Ink Rollerball Pens
7,2020-06-01,2798.0,Liquid Ink Rollerball Pens
8,2020-06-02,2798.0,Liquid Ink Rollerball Pens
9,2020-06-03,2798.0,Liquid Ink Rollerball Pens
10,2020-06-04,2798.0,Liquid Ink Rollerball Pens
11,2020-06-05,2696.0,Liquid Ink Rollerball Pens
12,2020-06-06,2751.0,Liquid Ink Rollerball Pens
13,2020-06-07,3359.0,Liquid Ink Rollerball Pens
14,2020-06-08,3085.0,Liquid Ink Rollerball Pens
15,2020-06-09,3085.0,Liquid Ink Rollerball Pens
16,2020-06-10,3211.0,Liquid Ink Rollerball Pens
17,2020-06-11,3211.0,Liquid Ink Rollerball Pens
18,2020-06-12,3460.0,Liquid Ink Rollerball Pens
19,2020-06-13,3665.0,Liquid Ink Rollerball Pens
20,2020-06-14,3665.0,Liquid Ink Rollerball Pens
21,2020-06-15,3278.0,Liquid Ink Rollerball Pens
22,2020-06-16,3278.0,Liquid Ink Rollerball Pens
23,2020-06-17,3506.0,Liquid Ink Rollerball Pens
24,2020-06-18,3141.0,Liquid Ink Rollerball Pens
25,2020-06-19,3141.0,Liquid Ink Rollerball Pens
26,2020-06-20,3141.0,Liquid Ink Rollerball Pens
27,2020-06-21,3141.0,Liquid Ink Rollerball Pens
28,2020-06-22,3141.0,Liquid Ink Rollerball Pens
29,2020-06-23,2865.0,Liquid Ink Rollerball Pens
30,2020-06-24,2865.0,Liquid Ink Rollerball Pens
31,2020-06-25,2865.0,Liquid Ink Rollerball Pens
32,2020-06-26,2262.0,Liquid Ink Rollerball Pens
33,2020-06-27,2304.0,Liquid Ink Rollerball Pens
34,2020-06-28,2304.0,Liquid Ink Rollerball Pens
35,2020-06-29,2304.0,Liquid Ink Rollerball Pens
36,2020-06-30,2370.0,Liquid Ink Rollerball Pens
37,2020-07-01,2370.0,Liquid Ink Rollerball Pens
38,2020-07-02,3186.0,Liquid Ink Rollerball Pens
39,2020-07-03,3186.0,Liquid Ink Rollerball Pens
40,2020-07-04,3186.0,Liquid Ink Rollerball Pens
41,2020-07-05,3122.0,Liquid Ink Rollerball Pens
42,2020-07-06,3356.0,Liquid Ink Rollerball Pens
43,2020-07-07,3356.0,Liquid Ink Rollerball Pens
44,2020-07-08,2646.0,Liquid Ink Rollerball Pens
45,2020-07-09,2646.0,Liquid Ink Rollerball Pens
46,2020-07-10,2646.0,Liquid Ink Rollerball Pens
47,2020-07-11,3436.0,Liquid Ink Rollerball Pens
48,2020-07-12,2321.0,Liquid Ink Rollerball Pens
49,2020-07-13,2321.0,Liquid Ink Rollerball Pens
50,2020-07-14,2321.0,Liquid Ink Rollerball Pens
51,2020-07-15,2569.0,Liquid Ink Rollerball Pens
52,2020-07-16,1764.0,Liquid Ink Rollerball Pens
53,2020-07-17,1764.0,Liquid Ink Rollerball Pens
54,2020-07-18,1764.0,Liquid Ink Rollerball Pens
55,2020-07-19,2136.0,Liquid Ink Rollerball Pens
56,2020-07-20,1779.0,Liquid Ink Rollerball Pens
57,2020-07-21,1779.0,Liquid Ink Rollerball Pens
58,2020-07-22,2267.0,Liquid Ink Rollerball Pens
59,2020-07-23,2267.0,Liquid Ink Rollerball Pens
60,2020-07-24,2267.0,Liquid Ink Rollerball Pens
61,2020-07-25,2267.0,Liquid Ink Rollerball Pens
62,2020-07-26,2322.0,Liquid Ink Rollerball Pens
63,2020-07-27,2322.0,Liquid Ink Rollerball Pens
64,2020-07-28,2353.0,Liquid Ink Rollerball Pens
65,2020-07-29,2353.0,Liquid Ink Rollerball Pens
66,2020-07-30,2353.0,Liquid Ink Rollerball Pens
67,2020-07-31,2277.0,Liquid Ink Rollerball Pens
68,2020-08-01,2277.0,Liquid Ink Rollerball Pens
69,2020-08-02,2277.0,Liquid Ink Rollerball Pens
70,2020-08-03,2728.0,Liquid Ink Rollerball Pens
71,2020-08-04,2728.0,Liquid Ink Rollerball Pens
72,2020-08-05,2728.0,Liquid Ink Rollerball Pens
73,2020-08-06,3060.0,Liquid Ink Rollerball Pens
74,2020-08-07,3024.0,Liquid Ink Rollerball Pens
75,2020-08-08,3024.0,Liquid Ink Rollerball Pens
76,2020-08-09,3024.0,Liquid Ink Rollerball Pens
77,2020-08-10,2526.0,Liquid Ink Rollerball Pens
78,2020-08-11,2526.0,Liquid Ink Rollerball Pens
79,2020-08-12,2526.0,Liquid Ink Rollerball Pens
80,2020-08-13,3028.0,Liquid Ink Rollerball Pens
81,2020-08-14,3256.0,Liquid Ink Rollerball Pens
82,2020-08-15,2876.0,Liquid Ink Rollerball Pens
83,2020-08-16,2876.0,Liquid Ink Rollerball Pens
