,date,value,name_B088YB5XMQ
0,2020-06-15,132373.0,Washcloths
1,2020-06-16,76514.0,Washcloths
2,2020-06-17,76514.0,Washcloths
3,2020-06-18,76514.0,Washcloths
4,2020-06-19,76514.0,Washcloths
5,2020-06-20,76514.0,Washcloths
6,2020-06-21,76514.0,Washcloths
7,2020-06-22,87023.0,Washcloths
8,2020-06-23,87023.0,Washcloths
9,2020-06-24,57171.0,Washcloths
10,2020-06-25,33719.0,Washcloths
11,2020-06-26,33719.0,Washcloths
12,2020-06-27,33719.0,Washcloths
13,2020-06-28,33719.0,Washcloths
14,2020-06-29,33719.0,Washcloths
15,2020-06-30,66697.0,Washcloths
16,2020-07-01,66697.0,Washcloths
17,2020-07-02,51536.0,Washcloths
18,2020-07-03,51536.0,Washcloths
19,2020-07-04,51536.0,Washcloths
20,2020-07-05,51536.0,Washcloths
21,2020-07-06,62341.0,Washcloths
22,2020-07-07,62341.0,Washcloths
23,2020-07-08,53121.0,Washcloths
24,2020-07-09,53121.0,Washcloths
25,2020-07-10,42132.0,Washcloths
26,2020-07-11,42132.0,Washcloths
27,2020-07-12,42132.0,Washcloths
28,2020-07-13,42132.0,Washcloths
29,2020-07-14,42132.0,Washcloths
30,2020-07-15,30183.0,Washcloths
31,2020-07-16,30183.0,Washcloths
32,2020-07-17,30183.0,Washcloths
33,2020-07-18,30183.0,Washcloths
34,2020-07-19,30183.0,Washcloths
35,2020-07-20,50704.0,Washcloths
36,2020-07-21,43846.0,Washcloths
37,2020-07-22,43846.0,Washcloths
38,2020-07-23,50693.0,Washcloths
39,2020-07-24,37457.0,Washcloths
40,2020-07-25,37457.0,Washcloths
41,2020-07-26,37457.0,Washcloths
42,2020-07-27,37457.0,Washcloths
43,2020-07-28,37457.0,Washcloths
44,2020-07-29,38792.0,Washcloths
45,2020-07-30,38792.0,Washcloths
46,2020-07-31,38792.0,Washcloths
47,2020-08-01,38792.0,Washcloths
48,2020-08-02,38792.0,Washcloths
49,2020-08-03,38792.0,Washcloths
50,2020-08-04,38792.0,Washcloths
51,2020-08-05,38792.0,Washcloths
52,2020-08-06,35675.0,Washcloths
53,2020-08-07,31090.0,Washcloths
54,2020-08-08,31090.0,Washcloths
55,2020-08-09,31090.0,Washcloths
56,2020-08-10,33574.0,Washcloths
57,2020-08-11,30983.0,Washcloths
