,date,value,name_B07X5KS4GX
0,2019-09-05,50512.0,Panels
1,2019-09-06,84719.0,Panels
2,2019-09-07,71552.0,Panels
3,2019-09-08,79343.0,Panels
4,2019-09-09,79343.0,Panels
5,2019-09-10,79343.0,Panels
6,2019-09-11,38357.0,Panels
7,2019-09-12,35498.0,Panels
8,2019-09-13,48959.0,Panels
9,2019-09-14,51967.0,Panels
10,2019-09-15,50035.0,Panels
11,2019-09-16,49342.0,Panels
12,2019-09-17,40660.0,Panels
13,2019-09-18,35318.0,Panels
14,2019-09-19,42391.0,Panels
15,2019-09-20,44676.0,Panels
16,2019-09-21,41267.0,Panels
17,2019-09-22,27703.0,Panels
18,2019-09-23,22700.0,Panels
19,2019-09-24,26094.0,Panels
20,2019-09-25,20773.0,Panels
21,2019-09-26,33352.0,Panels
22,2019-09-27,23993.0,Panels
23,2019-09-28,24898.0,Panels
24,2019-09-29,20115.0,Panels
25,2019-09-30,20529.0,Panels
26,2019-10-01,22005.0,Panels
27,2019-10-02,23097.0,Panels
28,2019-10-03,23395.0,Panels
29,2019-10-04,19255.0,Panels
30,2019-10-05,14384.0,Panels
31,2019-10-06,14384.0,Panels
32,2019-10-07,14384.0,Panels
33,2019-10-08,15011.0,Panels
34,2019-10-09,15027.0,Panels
35,2019-10-10,22031.0,Panels
36,2019-10-11,22031.0,Panels
37,2019-10-12,9835.0,Panels
38,2019-10-13,9835.0,Panels
39,2019-10-14,11840.0,Panels
40,2019-10-15,10386.0,Panels
41,2019-10-16,11117.0,Panels
42,2019-10-17,12443.0,Panels
43,2019-10-18,16649.0,Panels
44,2019-10-19,13172.0,Panels
45,2019-10-20,13172.0,Panels
46,2019-10-21,15183.0,Panels
47,2019-10-22,14398.0,Panels
48,2019-10-23,13310.0,Panels
49,2019-10-24,13456.0,Panels
50,2019-10-25,9605.0,Panels
51,2019-10-26,10936.0,Panels
52,2019-10-27,9733.0,Panels
53,2019-10-28,12330.0,Panels
54,2019-10-29,17195.0,Panels
55,2019-10-30,17195.0,Panels
56,2019-10-31,17195.0,Panels
57,2019-11-01,17195.0,Panels
58,2019-11-02,17195.0,Panels
59,2019-11-03,17195.0,Panels
60,2019-11-04,11757.0,Panels
61,2019-11-05,13514.0,Panels
62,2019-11-06,11758.0,Panels
63,2019-11-07,11040.0,Panels
64,2019-11-08,11040.0,Panels
65,2019-11-09,11040.0,Panels
66,2019-11-10,11040.0,Panels
67,2019-11-11,14373.0,Panels
68,2019-11-12,14373.0,Panels
69,2019-11-13,14373.0,Panels
70,2019-11-14,13772.0,Panels
71,2019-11-15,13772.0,Panels
72,2019-11-16,-1.0,Panels
73,2019-11-17,-1.0,Panels
74,2019-11-18,-1.0,Panels
75,2019-11-19,11773.0,Panels
76,2019-11-20,11773.0,Panels
77,2019-11-21,14477.0,Panels
78,2019-11-22,14477.0,Panels
79,2019-11-23,14477.0,Panels
80,2019-11-24,14767.0,Panels
81,2019-11-25,16333.0,Panels
82,2019-11-26,14544.0,Panels
83,2019-11-27,14544.0,Panels
84,2019-11-28,15753.0,Panels
85,2019-11-29,15753.0,Panels
86,2019-11-30,15753.0,Panels
87,2019-12-01,15753.0,Panels
88,2019-12-02,15753.0,Panels
89,2019-12-03,20609.0,Panels
90,2019-12-04,20609.0,Panels
91,2019-12-05,20609.0,Panels
92,2019-12-06,19198.0,Panels
93,2019-12-07,19303.0,Panels
94,2019-12-08,19303.0,Panels
95,2019-12-09,19303.0,Panels
96,2019-12-10,19303.0,Panels
97,2019-12-11,19303.0,Panels
98,2019-12-12,19303.0,Panels
99,2019-12-13,27273.0,Panels
100,2019-12-14,31450.0,Panels
101,2019-12-15,31450.0,Panels
102,2019-12-16,26085.0,Panels
103,2019-12-17,26085.0,Panels
