,date,value,name_B07MGD726R
0,2019-01-21,29538.0,Feeders
1,2019-01-22,39221.0,Feeders
2,2019-01-23,39221.0,Feeders
3,2019-01-24,51479.0,Feeders
4,2019-01-25,35885.0,Feeders
5,2019-01-26,35885.0,Feeders
6,2019-01-27,48668.0,Feeders
7,2019-01-28,48668.0,Feeders
8,2019-01-29,48668.0,Feeders
9,2019-01-30,48668.0,Feeders
10,2019-01-31,44368.0,Feeders
11,2019-02-01,44368.0,Feeders
12,2019-02-02,44368.0,Feeders
13,2019-02-03,57111.0,Feeders
14,2019-02-04,30646.0,Feeders
15,2019-02-05,30646.0,Feeders
16,2019-02-06,29021.0,Feeders
17,2019-02-07,28496.0,Feeders
18,2019-02-08,28496.0,Feeders
19,2019-02-09,19859.0,Feeders
20,2019-02-10,19859.0,Feeders
21,2019-02-11,31270.0,Feeders
22,2019-02-12,53128.0,Feeders
23,2019-02-13,40528.0,Feeders
24,2019-02-14,37830.0,Feeders
25,2019-02-15,27045.0,Feeders
26,2019-02-16,20714.0,Feeders
27,2019-02-17,20714.0,Feeders
28,2019-02-18,25608.0,Feeders
29,2019-02-19,25608.0,Feeders
30,2019-02-20,25608.0,Feeders
31,2019-02-21,25608.0,Feeders
32,2019-02-22,39125.0,Feeders
33,2019-02-23,39125.0,Feeders
34,2019-02-24,39125.0,Feeders
35,2019-02-25,31395.0,Feeders
36,2019-02-26,34666.0,Feeders
37,2019-02-27,34666.0,Feeders
38,2019-02-28,34666.0,Feeders
39,2019-03-01,34944.0,Feeders
40,2019-03-02,34944.0,Feeders
41,2019-03-03,19517.0,Feeders
42,2019-03-04,19517.0,Feeders
43,2019-03-05,19517.0,Feeders
44,2019-03-06,28809.0,Feeders
45,2019-03-07,28809.0,Feeders
46,2019-03-08,26038.0,Feeders
47,2019-03-09,26038.0,Feeders
48,2019-03-10,12546.0,Feeders
49,2019-03-11,14187.0,Feeders
50,2019-03-12,14187.0,Feeders
51,2019-03-13,14187.0,Feeders
52,2019-03-14,24754.0,Feeders
53,2019-03-15,24754.0,Feeders
54,2019-03-16,24754.0,Feeders
55,2019-03-17,24754.0,Feeders
56,2019-03-18,15362.0,Feeders
57,2019-03-19,15362.0,Feeders
58,2019-03-20,13066.0,Feeders
59,2019-03-21,19273.0,Feeders
60,2019-03-22,19273.0,Feeders
61,2019-03-23,29072.0,Feeders
62,2019-03-24,29072.0,Feeders
63,2019-03-25,29072.0,Feeders
64,2019-03-26,13704.0,Feeders
65,2019-03-27,12493.0,Feeders
66,2019-03-28,9865.0,Feeders
67,2019-03-29,9865.0,Feeders
68,2019-03-30,9865.0,Feeders
69,2019-03-31,8300.0,Feeders
70,2019-04-01,9128.0,Feeders
71,2019-04-02,6775.0,Feeders
72,2019-04-03,6775.0,Feeders
73,2019-04-04,8342.0,Feeders
74,2019-04-05,5487.0,Feeders
75,2019-04-06,5487.0,Feeders
76,2019-04-07,10003.0,Feeders
77,2019-04-08,6640.0,Feeders
78,2019-04-09,6836.0,Feeders
79,2019-04-10,5202.0,Feeders
80,2019-04-11,5202.0,Feeders
81,2019-04-12,5485.0,Feeders
82,2019-04-13,6671.0,Feeders
83,2019-04-14,5835.0,Feeders
84,2019-04-15,5835.0,Feeders
85,2019-04-16,7326.0,Feeders
86,2019-04-17,7326.0,Feeders
87,2019-04-18,5193.0,Feeders
88,2019-04-19,5193.0,Feeders
89,2019-04-20,5566.0,Feeders
90,2019-04-21,5566.0,Feeders
91,2019-04-22,6368.0,Feeders
92,2019-04-23,5282.0,Feeders
93,2019-04-24,6977.0,Feeders
94,2019-04-25,5559.0,Feeders
95,2019-04-26,6826.0,Feeders
96,2019-04-27,5347.0,Feeders
97,2019-04-28,4474.0,Feeders
98,2019-04-29,4474.0,Feeders
99,2019-04-30,4474.0,Feeders
100,2019-05-01,6691.0,Feeders
101,2019-05-02,9284.0,Feeders
102,2019-05-03,5146.0,Feeders
103,2019-05-04,6340.0,Feeders
104,2019-05-05,3823.0,Feeders
105,2019-05-06,3184.0,Feeders
106,2019-05-07,3355.0,Feeders
107,2019-05-08,4342.0,Feeders
108,2019-05-09,4030.0,Feeders
109,2019-05-10,5248.0,Feeders
110,2019-05-11,5267.0,Feeders
111,2019-05-12,5872.0,Feeders
112,2019-05-13,5130.0,Feeders
113,2019-05-14,5130.0,Feeders
114,2019-05-15,5130.0,Feeders
115,2019-05-16,5130.0,Feeders
116,2019-05-17,5130.0,Feeders
117,2019-05-18,5130.0,Feeders
118,2019-05-19,5130.0,Feeders
119,2019-05-20,5130.0,Feeders
120,2019-05-21,5130.0,Feeders
121,2019-05-22,5130.0,Feeders
122,2019-05-23,5130.0,Feeders
123,2019-05-24,5130.0,Feeders
124,2019-05-25,5130.0,Feeders
125,2019-05-26,5130.0,Feeders
126,2019-05-27,5130.0,Feeders
127,2019-05-28,5130.0,Feeders
128,2019-05-29,5130.0,Feeders
