,date,value,name_B0919M6M6G
0,2021-06-03,103486.0,Decorative Stones
1,2021-06-04,102778.0,Decorative Stones
2,2021-06-05,69094.0,Decorative Stones
3,2021-06-06,79090.0,Decorative Stones
4,2021-06-07,81212.0,Decorative Stones
5,2021-06-08,54832.0,Decorative Stones
6,2021-06-09,52186.0,Decorative Stones
7,2021-06-10,64775.0,Decorative Stones
8,2021-06-11,68154.0,Decorative Stones
9,2021-06-12,65365.0,Decorative Stones
10,2021-06-13,47673.0,Decorative Stones
11,2021-06-14,42392.0,Decorative Stones
12,2021-06-15,50330.0,Decorative Stones
13,2021-06-16,37638.0,Decorative Stones
14,2021-06-17,32083.0,Decorative Stones
15,2021-06-18,38408.0,Decorative Stones
16,2021-06-19,47182.0,Decorative Stones
17,2021-06-20,43580.0,Decorative Stones
18,2021-06-21,38646.0,Decorative Stones
19,2021-06-22,33200.0,Decorative Stones
20,2021-06-23,36838.0,Decorative Stones
21,2021-06-24,28171.0,Decorative Stones
22,2021-06-25,17868.0,Decorative Stones
23,2021-06-26,30765.0,Decorative Stones
24,2021-06-27,36256.0,Decorative Stones
25,2021-06-28,43116.0,Decorative Stones
26,2021-06-29,24516.0,Decorative Stones
27,2021-06-30,42421.0,Decorative Stones
28,2021-07-01,67516.0,Decorative Stones
29,2021-07-02,98248.0,Decorative Stones
30,2021-07-03,112637.0,Decorative Stones
31,2021-07-04,97888.0,Decorative Stones
32,2021-07-05,97888.0,Decorative Stones
33,2021-07-06,573263.0,Decorative Stones
34,2021-07-07,440618.0,Decorative Stones
35,2021-07-08,569984.0,Decorative Stones
36,2021-07-09,596710.0,Decorative Stones
