,date,value,name_B07NLRTYYD
0,2020-05-25,2889.0,Tunnels
1,2020-05-26,3110.0,Tunnels
2,2020-05-27,3110.0,Tunnels
3,2020-05-28,3110.0,Tunnels
4,2020-05-29,3110.0,Tunnels
5,2020-05-30,3420.0,Tunnels
6,2020-05-31,3420.0,Tunnels
7,2020-06-01,3420.0,Tunnels
8,2020-06-02,3369.0,Tunnels
9,2020-06-03,3369.0,Tunnels
10,2020-06-04,3369.0,Tunnels
11,2020-06-05,3989.0,Tunnels
12,2020-06-06,3989.0,Tunnels
13,2020-06-07,3989.0,Tunnels
14,2020-06-08,5496.0,Tunnels
15,2020-06-09,7656.0,Tunnels
16,2020-06-10,7656.0,Tunnels
17,2020-06-11,7656.0,Tunnels
18,2020-06-12,9119.0,Tunnels
19,2020-06-13,9119.0,Tunnels
20,2020-06-14,9356.0,Tunnels
21,2020-06-15,9356.0,Tunnels
22,2020-06-16,9666.0,Tunnels
23,2020-06-17,17074.0,Tunnels
24,2020-06-18,19608.0,Tunnels
25,2020-06-19,19608.0,Tunnels
26,2020-06-20,19608.0,Tunnels
27,2020-06-21,13336.0,Tunnels
28,2020-06-22,13336.0,Tunnels
29,2020-06-23,13336.0,Tunnels
30,2020-06-24,20239.0,Tunnels
31,2020-06-25,20239.0,Tunnels
32,2020-06-26,20239.0,Tunnels
33,2020-06-27,20239.0,Tunnels
34,2020-06-28,14755.0,Tunnels
35,2020-06-29,12763.0,Tunnels
36,2020-06-30,12763.0,Tunnels
37,2020-07-01,4123.0,Tunnels
38,2020-07-02,4123.0,Tunnels
39,2020-07-03,4123.0,Tunnels
40,2020-07-04,4420.0,Tunnels
41,2020-07-05,4420.0,Tunnels
42,2020-07-06,3874.0,Tunnels
43,2020-07-07,3874.0,Tunnels
44,2020-07-08,3874.0,Tunnels
45,2020-07-09,4593.0,Tunnels
46,2020-07-10,4593.0,Tunnels
47,2020-07-11,3580.0,Tunnels
48,2020-07-12,4031.0,Tunnels
49,2020-07-13,3968.0,Tunnels
50,2020-07-14,3700.0,Tunnels
51,2020-07-15,3700.0,Tunnels
52,2020-07-16,3700.0,Tunnels
53,2020-07-17,4439.0,Tunnels
54,2020-07-18,5644.0,Tunnels
55,2020-07-19,6326.0,Tunnels
56,2020-07-20,6326.0,Tunnels
57,2020-07-21,6326.0,Tunnels
58,2020-07-22,6326.0,Tunnels
59,2020-07-23,10460.0,Tunnels
60,2020-07-24,10460.0,Tunnels
61,2020-07-25,10460.0,Tunnels
62,2020-07-26,10460.0,Tunnels
63,2020-07-27,5971.0,Tunnels
64,2020-07-28,5971.0,Tunnels
65,2020-07-29,4989.0,Tunnels
66,2020-07-30,4989.0,Tunnels
67,2020-07-31,4989.0,Tunnels
68,2020-08-01,4641.0,Tunnels
69,2020-08-02,4641.0,Tunnels
70,2020-08-03,4207.0,Tunnels
71,2020-08-04,4986.0,Tunnels
72,2020-08-05,3853.0,Tunnels
73,2020-08-06,3853.0,Tunnels
74,2020-08-07,3773.0,Tunnels
75,2020-08-08,2870.0,Tunnels
76,2020-08-09,2870.0,Tunnels
77,2020-08-10,2008.0,Tunnels
78,2020-08-11,2008.0,Tunnels
79,2020-08-12,2008.0,Tunnels
80,2020-08-13,2261.0,Tunnels
81,2020-08-14,2261.0,Tunnels
82,2020-08-15,2261.0,Tunnels
83,2020-08-16,2476.0,Tunnels
84,2020-08-17,2716.0,Tunnels
85,2020-08-18,2381.0,Tunnels
86,2020-08-19,2381.0,Tunnels
87,2020-08-20,2381.0,Tunnels
88,2020-08-21,2564.0,Tunnels
89,2020-08-22,2564.0,Tunnels
