,date,value,name_B08GC24X5H
0,2020-08-22,11144.0,Floating Shelves
1,2020-08-23,13231.0,Floating Shelves
2,2020-08-24,14250.0,Floating Shelves
3,2020-08-25,15212.0,Floating Shelves
4,2020-08-26,11458.0,Floating Shelves
5,2020-08-27,11458.0,Floating Shelves
6,2020-08-28,10680.0,Floating Shelves
7,2020-08-29,9868.0,Floating Shelves
8,2020-08-30,9699.0,Floating Shelves
9,2020-08-31,12573.0,Floating Shelves
10,2020-09-01,13126.0,Floating Shelves
11,2020-09-02,12039.0,Floating Shelves
12,2020-09-03,8082.0,Floating Shelves
13,2020-09-04,8195.0,Floating Shelves
14,2020-09-05,11286.0,Floating Shelves
15,2020-09-06,10376.0,Floating Shelves
16,2020-09-07,10902.0,Floating Shelves
17,2020-09-08,10037.0,Floating Shelves
18,2020-09-09,11636.0,Floating Shelves
19,2020-09-10,13566.0,Floating Shelves
20,2020-09-11,8235.0,Floating Shelves
21,2020-09-12,8176.0,Floating Shelves
22,2020-09-13,10106.0,Floating Shelves
23,2020-09-14,10106.0,Floating Shelves
24,2020-09-15,10966.0,Floating Shelves
25,2020-09-16,9520.0,Floating Shelves
26,2020-09-17,9520.0,Floating Shelves
27,2020-09-18,10667.0,Floating Shelves
28,2020-09-19,10667.0,Floating Shelves
29,2020-09-20,10667.0,Floating Shelves
30,2020-09-21,11000.0,Floating Shelves
31,2020-09-22,11000.0,Floating Shelves
32,2020-09-23,13101.0,Floating Shelves
33,2020-09-24,10498.0,Floating Shelves
34,2020-09-25,11282.0,Floating Shelves
35,2020-09-26,11282.0,Floating Shelves
36,2020-09-27,11282.0,Floating Shelves
37,2020-09-28,13496.0,Floating Shelves
38,2020-09-29,11939.0,Floating Shelves
39,2020-09-30,11939.0,Floating Shelves
40,2020-10-01,11939.0,Floating Shelves
41,2020-10-02,11299.0,Floating Shelves
42,2020-10-03,10313.0,Floating Shelves
43,2020-10-04,10313.0,Floating Shelves
44,2020-10-05,12254.0,Floating Shelves
45,2020-10-06,11874.0,Floating Shelves
46,2020-10-07,11445.0,Floating Shelves
47,2020-10-08,10730.0,Floating Shelves
48,2020-10-09,11552.0,Floating Shelves
49,2020-10-10,11829.0,Floating Shelves
50,2020-10-11,9748.0,Floating Shelves
51,2020-10-12,9711.0,Floating Shelves
