,date,value,name_B085JRK5HC
0,2020-03-14,472.0,Germination Kits
1,2020-03-15,472.0,Germination Kits
2,2020-03-16,347.0,Germination Kits
3,2020-03-17,347.0,Germination Kits
4,2020-03-18,296.0,Germination Kits
5,2020-03-19,296.0,Germination Kits
6,2020-03-20,359.0,Germination Kits
7,2020-03-21,359.0,Germination Kits
8,2020-03-22,359.0,Germination Kits
9,2020-03-23,229.0,Germination Kits
10,2020-03-24,273.0,Germination Kits
11,2020-03-25,273.0,Germination Kits
12,2020-03-26,339.0,Germination Kits
13,2020-03-27,339.0,Germination Kits
14,2020-03-28,370.0,Germination Kits
15,2020-03-29,370.0,Germination Kits
16,2020-03-30,411.0,Germination Kits
17,2020-03-31,411.0,Germination Kits
18,2020-04-01,381.0,Germination Kits
19,2020-04-02,381.0,Germination Kits
20,2020-04-03,430.0,Germination Kits
21,2020-04-04,430.0,Germination Kits
22,2020-04-05,623.0,Germination Kits
23,2020-04-06,715.0,Germination Kits
24,2020-04-07,883.0,Germination Kits
25,2020-04-08,818.0,Germination Kits
26,2020-04-09,710.0,Germination Kits
27,2020-04-10,771.0,Germination Kits
28,2020-04-11,643.0,Germination Kits
29,2020-04-12,562.0,Germination Kits
30,2020-04-13,881.0,Germination Kits
31,2020-04-14,1077.0,Germination Kits
32,2020-04-15,1325.0,Germination Kits
33,2020-04-16,1325.0,Germination Kits
34,2020-04-17,1325.0,Germination Kits
35,2020-04-18,1325.0,Germination Kits
36,2020-04-19,2605.0,Germination Kits
37,2020-04-20,2605.0,Germination Kits
38,2020-04-21,2168.0,Germination Kits
39,2020-04-22,2071.0,Germination Kits
40,2020-04-23,2494.0,Germination Kits
41,2020-04-24,2494.0,Germination Kits
42,2020-04-25,3077.0,Germination Kits
43,2020-04-26,966.0,Germination Kits
44,2020-04-27,966.0,Germination Kits
45,2020-04-28,966.0,Germination Kits
46,2020-04-29,1154.0,Germination Kits
47,2020-04-30,1154.0,Germination Kits
48,2020-05-01,817.0,Germination Kits
49,2020-05-02,817.0,Germination Kits
50,2020-05-03,817.0,Germination Kits
51,2020-05-04,823.0,Germination Kits
52,2020-05-05,1152.0,Germination Kits
53,2020-05-06,762.0,Germination Kits
54,2020-05-07,780.0,Germination Kits
55,2020-05-08,953.0,Germination Kits
56,2020-05-09,953.0,Germination Kits
57,2020-05-10,748.0,Germination Kits
58,2020-05-11,713.0,Germination Kits
59,2020-05-12,713.0,Germination Kits
60,2020-05-13,878.0,Germination Kits
61,2020-05-14,1026.0,Germination Kits
62,2020-05-15,1178.0,Germination Kits
63,2020-05-16,1178.0,Germination Kits
64,2020-05-17,1178.0,Germination Kits
65,2020-05-18,2376.0,Germination Kits
66,2020-05-19,4229.0,Germination Kits
67,2020-05-20,2617.0,Germination Kits
68,2020-05-21,2527.0,Germination Kits
69,2020-05-22,3918.0,Germination Kits
70,2020-05-23,3918.0,Germination Kits
71,2020-05-24,4304.0,Germination Kits
72,2020-05-25,4304.0,Germination Kits
73,2020-05-26,4304.0,Germination Kits
74,2020-05-27,6540.0,Germination Kits
75,2020-05-28,8197.0,Germination Kits
76,2020-05-29,8197.0,Germination Kits
77,2020-05-30,8205.0,Germination Kits
78,2020-05-31,8205.0,Germination Kits
79,2020-06-01,8205.0,Germination Kits
80,2020-06-02,11733.0,Germination Kits
81,2020-06-03,11733.0,Germination Kits
82,2020-06-04,11733.0,Germination Kits
83,2020-06-05,3330.0,Germination Kits
84,2020-06-06,3330.0,Germination Kits
85,2020-06-07,2252.0,Germination Kits
86,2020-06-08,2252.0,Germination Kits
87,2020-06-09,2045.0,Germination Kits
88,2020-06-10,2045.0,Germination Kits
89,2020-06-11,1781.0,Germination Kits
90,2020-06-12,1781.0,Germination Kits
91,2020-06-13,1961.0,Germination Kits
92,2020-06-14,1961.0,Germination Kits
93,2020-06-15,1501.0,Germination Kits
94,2020-06-16,1501.0,Germination Kits
95,2020-06-17,1501.0,Germination Kits
96,2020-06-18,1575.0,Germination Kits
97,2020-06-19,1368.0,Germination Kits
98,2020-06-20,1368.0,Germination Kits
99,2020-06-21,1368.0,Germination Kits
100,2020-06-22,1952.0,Germination Kits
101,2020-06-23,1952.0,Germination Kits
102,2020-06-24,2281.0,Germination Kits
103,2020-06-25,2281.0,Germination Kits
104,2020-06-26,2281.0,Germination Kits
105,2020-06-27,2099.0,Germination Kits
106,2020-06-28,1889.0,Germination Kits
107,2020-06-29,1889.0,Germination Kits
108,2020-06-30,1889.0,Germination Kits
109,2020-07-01,1682.0,Germination Kits
110,2020-07-02,1682.0,Germination Kits
111,2020-07-03,1682.0,Germination Kits
112,2020-07-04,1682.0,Germination Kits
113,2020-07-05,1682.0,Germination Kits
114,2020-07-06,1560.0,Germination Kits
115,2020-07-07,1560.0,Germination Kits
116,2020-07-08,1560.0,Germination Kits
117,2020-07-09,1545.0,Germination Kits
118,2020-07-10,1488.0,Germination Kits
119,2020-07-11,1434.0,Germination Kits
120,2020-07-12,1494.0,Germination Kits
121,2020-07-13,1372.0,Germination Kits
122,2020-07-14,1372.0,Germination Kits
123,2020-07-15,1372.0,Germination Kits
124,2020-07-16,1426.0,Germination Kits
125,2020-07-17,1426.0,Germination Kits
126,2020-07-18,1115.0,Germination Kits
127,2020-07-19,1115.0,Germination Kits
128,2020-07-20,1115.0,Germination Kits
129,2020-07-21,1483.0,Germination Kits
130,2020-07-22,1483.0,Germination Kits
131,2020-07-23,1483.0,Germination Kits
132,2020-07-24,1364.0,Germination Kits
133,2020-07-25,1584.0,Germination Kits
134,2020-07-26,1232.0,Germination Kits
135,2020-07-27,1232.0,Germination Kits
136,2020-07-28,1323.0,Germination Kits
137,2020-07-29,1323.0,Germination Kits
138,2020-07-30,1323.0,Germination Kits
139,2020-07-31,1186.0,Germination Kits
140,2020-08-01,1179.0,Germination Kits
141,2020-08-02,1179.0,Germination Kits
142,2020-08-03,1079.0,Germination Kits
143,2020-08-04,1121.0,Germination Kits
144,2020-08-05,1121.0,Germination Kits
145,2020-08-06,1469.0,Germination Kits
146,2020-08-07,1334.0,Germination Kits
147,2020-08-08,1334.0,Germination Kits
148,2020-08-09,1334.0,Germination Kits
149,2020-08-10,1267.0,Germination Kits
150,2020-08-11,1271.0,Germination Kits
151,2020-08-12,1271.0,Germination Kits
152,2020-08-13,1271.0,Germination Kits
153,2020-08-14,1081.0,Germination Kits
154,2020-08-15,1357.0,Germination Kits
155,2020-08-16,1102.0,Germination Kits
156,2020-08-17,1102.0,Germination Kits
157,2020-08-18,1115.0,Germination Kits
158,2020-08-19,1115.0,Germination Kits
159,2020-08-20,1109.0,Germination Kits
160,2020-08-21,1109.0,Germination Kits
161,2020-08-22,1109.0,Germination Kits
162,2020-08-23,1139.0,Germination Kits
163,2020-08-24,1139.0,Germination Kits
164,2020-08-25,929.0,Germination Kits
165,2020-08-26,929.0,Germination Kits
166,2020-08-27,929.0,Germination Kits
167,2020-08-28,1454.0,Germination Kits
168,2020-08-29,947.0,Germination Kits
169,2020-08-30,947.0,Germination Kits
170,2020-08-31,906.0,Germination Kits
171,2020-09-01,906.0,Germination Kits
172,2020-09-02,973.0,Germination Kits
173,2020-09-03,918.0,Germination Kits
174,2020-09-04,899.0,Germination Kits
175,2020-09-05,899.0,Germination Kits
176,2020-09-06,981.0,Germination Kits
177,2020-09-07,956.0,Germination Kits
178,2020-09-08,882.0,Germination Kits
179,2020-09-09,882.0,Germination Kits
180,2020-09-10,1012.0,Germination Kits
181,2020-09-11,1012.0,Germination Kits
182,2020-09-12,1012.0,Germination Kits
183,2020-09-13,834.0,Germination Kits
184,2020-09-14,834.0,Germination Kits
185,2020-09-15,710.0,Germination Kits
186,2020-09-16,710.0,Germination Kits
187,2020-09-17,710.0,Germination Kits
188,2020-09-18,798.0,Germination Kits
189,2020-09-19,798.0,Germination Kits
190,2020-09-20,866.0,Germination Kits
191,2020-09-21,866.0,Germination Kits
192,2020-09-22,655.0,Germination Kits
193,2020-09-23,841.0,Germination Kits
194,2020-09-24,729.0,Germination Kits
195,2020-09-25,729.0,Germination Kits
196,2020-09-26,729.0,Germination Kits
197,2020-09-27,572.0,Germination Kits
198,2020-09-28,520.0,Germination Kits
199,2020-09-29,520.0,Germination Kits
200,2020-09-30,898.0,Germination Kits
201,2020-10-01,888.0,Germination Kits
202,2020-10-02,957.0,Germination Kits
203,2020-10-03,957.0,Germination Kits
204,2020-10-04,957.0,Germination Kits
205,2020-10-05,827.0,Germination Kits
206,2020-10-06,688.0,Germination Kits
207,2020-10-07,782.0,Germination Kits
208,2020-10-08,782.0,Germination Kits
209,2020-10-09,669.0,Germination Kits
210,2020-10-10,657.0,Germination Kits
211,2020-10-11,657.0,Germination Kits
212,2020-10-12,711.0,Germination Kits
213,2020-10-13,565.0,Germination Kits
214,2020-10-14,229.0,Germination Kits
215,2020-10-15,229.0,Germination Kits
216,2020-10-16,441.0,Germination Kits
217,2020-10-17,409.0,Germination Kits
218,2020-10-18,496.0,Germination Kits
219,2020-10-19,496.0,Germination Kits
220,2020-10-20,518.0,Germination Kits
221,2020-10-21,518.0,Germination Kits
222,2020-10-22,518.0,Germination Kits
223,2020-10-23,640.0,Germination Kits
224,2020-10-24,640.0,Germination Kits
225,2020-10-25,640.0,Germination Kits
226,2020-10-26,497.0,Germination Kits
227,2020-10-27,497.0,Germination Kits
228,2020-10-28,430.0,Germination Kits
229,2020-10-29,430.0,Germination Kits
230,2020-10-30,430.0,Germination Kits
231,2020-10-31,476.0,Germination Kits
232,2020-11-01,476.0,Germination Kits
233,2020-11-02,500.0,Germination Kits
234,2020-11-03,446.0,Germination Kits
235,2020-11-04,446.0,Germination Kits
236,2020-11-05,392.0,Germination Kits
237,2020-11-06,392.0,Germination Kits
238,2020-11-07,392.0,Germination Kits
239,2020-11-08,432.0,Germination Kits
240,2020-11-09,341.0,Germination Kits
241,2020-11-10,357.0,Germination Kits
242,2020-11-11,341.0,Germination Kits
243,2020-11-12,333.0,Germination Kits
244,2020-11-13,333.0,Germination Kits
245,2020-11-14,333.0,Germination Kits
