,date,value,name_B0917WGTS2
0,2021-04-03,12335.0,Home & Kitchen Features
1,2021-04-04,12335.0,Home & Kitchen Features
2,2021-04-05,12335.0,Home & Kitchen Features
3,2021-04-06,12335.0,Home & Kitchen Features
4,2021-04-07,12335.0,Home & Kitchen Features
5,2021-04-08,12335.0,Home & Kitchen Features
6,2021-04-09,15950.0,Home & Kitchen Features
7,2021-04-10,17313.0,Home & Kitchen Features
8,2021-04-11,17124.0,Home & Kitchen Features
9,2021-04-12,17124.0,Home & Kitchen Features
10,2021-04-13,13151.0,Home & Kitchen Features
11,2021-04-14,13151.0,Home & Kitchen Features
12,2021-04-15,18197.0,Home & Kitchen Features
13,2021-04-16,18197.0,Home & Kitchen Features
14,2021-04-17,18197.0,Home & Kitchen Features
15,2021-04-18,17539.0,Home & Kitchen Features
16,2021-04-19,17539.0,Home & Kitchen Features
17,2021-04-20,17539.0,Home & Kitchen Features
18,2021-04-21,16599.0,Home & Kitchen Features
19,2021-04-22,16599.0,Home & Kitchen Features
20,2021-04-23,12886.0,Home & Kitchen Features
21,2021-04-24,12886.0,Home & Kitchen Features
22,2021-04-25,12886.0,Home & Kitchen Features
23,2021-04-26,15452.0,Home & Kitchen Features
24,2021-04-27,15452.0,Home & Kitchen Features
25,2021-04-28,17895.0,Home & Kitchen Features
26,2021-04-29,21109.0,Home & Kitchen Features
27,2021-04-30,21109.0,Home & Kitchen Features
28,2021-05-01,21109.0,Home & Kitchen Features
29,2021-05-02,21109.0,Home & Kitchen Features
30,2021-05-03,20175.0,Home & Kitchen Features
31,2021-05-04,16331.0,Home & Kitchen Features
32,2021-05-05,16331.0,Home & Kitchen Features
33,2021-05-06,16331.0,Home & Kitchen Features
34,2021-05-07,16331.0,Home & Kitchen Features
35,2021-05-08,16331.0,Home & Kitchen Features
36,2021-05-09,16331.0,Home & Kitchen Features
37,2021-05-10,24669.0,Home & Kitchen Features
38,2021-05-11,24669.0,Home & Kitchen Features
39,2021-05-12,20445.0,Home & Kitchen Features
40,2021-05-13,20445.0,Home & Kitchen Features
41,2021-05-14,20445.0,Home & Kitchen Features
42,2021-05-15,21768.0,Home & Kitchen Features
43,2021-05-16,21768.0,Home & Kitchen Features
44,2021-05-17,21768.0,Home & Kitchen Features
45,2021-05-18,21768.0,Home & Kitchen Features
46,2021-05-19,18779.0,Home & Kitchen Features
47,2021-05-20,18742.0,Home & Kitchen Features
48,2021-05-21,18742.0,Home & Kitchen Features
49,2021-05-22,18300.0,Home & Kitchen Features
50,2021-05-23,29862.0,Home & Kitchen Features
51,2021-05-24,29862.0,Home & Kitchen Features
52,2021-05-25,29862.0,Home & Kitchen Features
53,2021-05-26,22222.0,Home & Kitchen Features
54,2021-05-27,22222.0,Home & Kitchen Features
55,2021-05-28,22222.0,Home & Kitchen Features
56,2021-05-29,22222.0,Home & Kitchen Features
57,2021-05-30,22222.0,Home & Kitchen Features
58,2021-05-31,17403.0,Home & Kitchen Features
59,2021-06-01,19488.0,Home & Kitchen Features
60,2021-06-02,19861.0,Home & Kitchen Features
61,2021-06-03,19861.0,Home & Kitchen Features
62,2021-06-04,21393.0,Home & Kitchen Features
63,2021-06-05,26633.0,Home & Kitchen Features
64,2021-06-06,26633.0,Home & Kitchen Features
65,2021-06-07,23463.0,Home & Kitchen Features
66,2021-06-08,23463.0,Home & Kitchen Features
67,2021-06-09,23463.0,Home & Kitchen Features
68,2021-06-10,23463.0,Home & Kitchen Features
69,2021-06-11,22867.0,Home & Kitchen Features
70,2021-06-12,22867.0,Home & Kitchen Features
71,2021-06-13,22867.0,Home & Kitchen Features
72,2021-06-14,22867.0,Home & Kitchen Features
73,2021-06-15,19333.0,Home & Kitchen Features
74,2021-06-16,19333.0,Home & Kitchen Features
75,2021-06-17,19333.0,Home & Kitchen Features
76,2021-06-18,19399.0,Home & Kitchen Features
77,2021-06-19,19399.0,Home & Kitchen Features
78,2021-06-20,19399.0,Home & Kitchen Features
79,2021-06-21,19399.0,Home & Kitchen Features
80,2021-06-22,19582.0,Home & Kitchen Features
81,2021-06-23,19582.0,Home & Kitchen Features
82,2021-06-24,20418.0,Home & Kitchen Features
83,2021-06-25,20418.0,Home & Kitchen Features
84,2021-06-26,20418.0,Home & Kitchen Features
85,2021-06-27,21268.0,Home & Kitchen Features
86,2021-06-28,21268.0,Home & Kitchen Features
87,2021-06-29,21268.0,Home & Kitchen Features
88,2021-06-30,22035.0,Home & Kitchen Features
89,2021-07-01,22035.0,Home & Kitchen Features
90,2021-07-02,22035.0,Home & Kitchen Features
91,2021-07-03,22035.0,Home & Kitchen Features
92,2021-07-04,22035.0,Home & Kitchen Features
93,2021-07-05,19965.0,Home & Kitchen Features
94,2021-07-06,19965.0,Home & Kitchen Features
95,2021-07-07,19965.0,Home & Kitchen Features
96,2021-07-08,19926.0,Home & Kitchen Features
97,2021-07-09,19926.0,Home & Kitchen Features
98,2021-07-10,17715.0,Home & Kitchen Features
