,date,value,name_B07G82ZQ54
151,2019-09-08,72502.0,Personal Fans
152,2019-09-09,72502.0,Personal Fans
153,2019-09-10,183991.0,Personal Fans
154,2019-09-11,183991.0,Personal Fans
155,2019-09-12,192389.0,Personal Fans
156,2019-09-13,100798.0,Personal Fans
157,2019-09-14,100798.0,Personal Fans
158,2019-09-15,100798.0,Personal Fans
159,2019-09-16,153470.0,Personal Fans
160,2019-09-17,153470.0,Personal Fans
161,2019-09-18,256852.0,Personal Fans
162,2019-09-19,256852.0,Personal Fans
163,2019-09-20,256852.0,Personal Fans
164,2019-09-21,406730.0,Personal Fans
165,2019-09-22,406730.0,Personal Fans
166,2019-09-23,406730.0,Personal Fans
167,2019-09-24,226368.0,Personal Fans
168,2019-09-25,226368.0,Personal Fans
169,2019-09-26,283629.0,Personal Fans
170,2019-09-27,283629.0,Personal Fans
171,2019-09-28,283629.0,Personal Fans
172,2019-09-29,412704.0,Personal Fans
173,2019-09-30,412704.0,Personal Fans
174,2019-10-01,412704.0,Personal Fans
175,2019-10-02,200783.0,Personal Fans
176,2019-10-03,200783.0,Personal Fans
177,2019-10-04,200783.0,Personal Fans
178,2019-10-05,200783.0,Personal Fans
179,2019-10-06,289598.0,Personal Fans
180,2019-10-07,289598.0,Personal Fans
181,2019-10-08,289598.0,Personal Fans
182,2019-10-09,286939.0,Personal Fans
183,2019-10-10,286939.0,Personal Fans
184,2019-10-11,286939.0,Personal Fans
185,2019-10-12,286939.0,Personal Fans
186,2019-10-13,286939.0,Personal Fans
187,2019-10-14,536755.0,Personal Fans
188,2019-10-15,364028.0,Personal Fans
189,2019-10-16,364028.0,Personal Fans
190,2019-10-17,364028.0,Personal Fans
191,2019-10-18,460769.0,Personal Fans
192,2019-10-19,460769.0,Personal Fans
193,2019-10-20,516086.0,Personal Fans
194,2019-10-21,516086.0,Personal Fans
195,2019-10-22,516086.0,Personal Fans
196,2019-10-23,392232.0,Personal Fans
197,2019-10-24,392232.0,Personal Fans
198,2019-10-25,522512.0,Personal Fans
199,2019-10-26,522512.0,Personal Fans
200,2019-10-27,544306.0,Personal Fans
201,2019-10-28,544306.0,Personal Fans
202,2019-10-29,544306.0,Personal Fans
203,2019-10-30,279372.0,Personal Fans
204,2019-10-31,279372.0,Personal Fans
205,2019-11-01,279372.0,Personal Fans
206,2019-11-02,539223.0,Personal Fans
207,2019-11-03,539223.0,Personal Fans
208,2019-11-04,532688.0,Personal Fans
209,2019-11-05,532688.0,Personal Fans
210,2019-11-06,566773.0,Personal Fans
211,2019-11-07,566773.0,Personal Fans
212,2019-11-08,566773.0,Personal Fans
213,2019-11-09,566773.0,Personal Fans
214,2019-11-10,566773.0,Personal Fans
215,2019-11-11,566773.0,Personal Fans
216,2019-11-12,258133.0,Personal Fans
217,2019-11-13,258133.0,Personal Fans
218,2019-11-14,258133.0,Personal Fans
219,2019-11-15,258133.0,Personal Fans
220,2019-11-16,258133.0,Personal Fans
221,2019-11-17,258133.0,Personal Fans
222,2019-11-18,655391.0,Personal Fans
223,2019-11-19,672804.0,Personal Fans
224,2019-11-20,672804.0,Personal Fans
225,2019-11-21,672804.0,Personal Fans
226,2019-11-22,672804.0,Personal Fans
227,2019-11-23,672804.0,Personal Fans
228,2019-11-24,672804.0,Personal Fans
229,2019-11-25,674381.0,Personal Fans
230,2019-11-26,714558.0,Personal Fans
231,2019-11-27,714558.0,Personal Fans
232,2019-11-28,667277.0,Personal Fans
233,2019-11-29,667277.0,Personal Fans
234,2019-11-30,667277.0,Personal Fans
235,2019-12-01,667277.0,Personal Fans
236,2019-12-02,667277.0,Personal Fans
237,2019-12-03,667277.0,Personal Fans
238,2019-12-04,667277.0,Personal Fans
239,2019-12-05,667277.0,Personal Fans
240,2019-12-06,667277.0,Personal Fans
241,2019-12-07,667277.0,Personal Fans
242,2019-12-08,667277.0,Personal Fans
243,2019-12-09,667277.0,Personal Fans
244,2019-12-10,667277.0,Personal Fans
245,2019-12-11,667277.0,Personal Fans
246,2019-12-12,292985.0,Personal Fans
247,2019-12-13,292985.0,Personal Fans
248,2019-12-14,292985.0,Personal Fans
249,2019-12-15,292985.0,Personal Fans
250,2019-12-16,292985.0,Personal Fans
251,2019-12-17,292985.0,Personal Fans
252,2019-12-18,292985.0,Personal Fans
253,2019-12-19,293675.0,Personal Fans
254,2019-12-20,293675.0,Personal Fans
255,2019-12-21,293675.0,Personal Fans
256,2019-12-22,197092.0,Personal Fans
257,2019-12-23,249636.0,Personal Fans
258,2019-12-24,249636.0,Personal Fans
259,2019-12-25,249636.0,Personal Fans
260,2019-12-26,249636.0,Personal Fans
261,2019-12-27,249636.0,Personal Fans
262,2019-12-28,249636.0,Personal Fans
263,2019-12-29,249636.0,Personal Fans
264,2019-12-30,557582.0,Personal Fans
265,2019-12-31,557582.0,Personal Fans
266,2020-01-01,557582.0,Personal Fans
267,2020-01-02,498634.0,Personal Fans
268,2020-01-03,521035.0,Personal Fans
269,2020-01-04,521035.0,Personal Fans
270,2020-01-05,521035.0,Personal Fans
271,2020-01-06,521035.0,Personal Fans
272,2020-01-07,521035.0,Personal Fans
273,2020-01-08,521035.0,Personal Fans
274,2020-01-09,521035.0,Personal Fans
275,2020-01-10,471690.0,Personal Fans
276,2020-01-11,471690.0,Personal Fans
277,2020-01-12,471690.0,Personal Fans
278,2020-01-13,471690.0,Personal Fans
279,2020-01-14,471690.0,Personal Fans
280,2020-01-15,471690.0,Personal Fans
281,2020-01-16,471690.0,Personal Fans
282,2020-01-17,618152.0,Personal Fans
283,2020-01-18,618152.0,Personal Fans
284,2020-01-19,618152.0,Personal Fans
285,2020-01-20,627805.0,Personal Fans
286,2020-01-21,627805.0,Personal Fans
287,2020-01-22,627805.0,Personal Fans
288,2020-01-23,627805.0,Personal Fans
289,2020-01-24,627805.0,Personal Fans
290,2020-01-25,627805.0,Personal Fans
291,2020-01-26,469800.0,Personal Fans
292,2020-01-27,469800.0,Personal Fans
293,2020-01-28,469800.0,Personal Fans
294,2020-01-29,469800.0,Personal Fans
295,2020-01-30,469800.0,Personal Fans
296,2020-01-31,469800.0,Personal Fans
297,2020-02-01,469800.0,Personal Fans
298,2020-02-02,566957.0,Personal Fans
299,2020-02-03,566957.0,Personal Fans
300,2020-02-04,566957.0,Personal Fans
301,2020-02-05,566957.0,Personal Fans
302,2020-02-06,606179.0,Personal Fans
303,2020-02-07,606179.0,Personal Fans
304,2020-02-08,606179.0,Personal Fans
305,2020-02-09,606179.0,Personal Fans
306,2020-02-10,606179.0,Personal Fans
307,2020-02-11,604142.0,Personal Fans
308,2020-02-12,604142.0,Personal Fans
309,2020-02-13,604142.0,Personal Fans
310,2020-02-14,604142.0,Personal Fans
311,2020-02-15,604142.0,Personal Fans
312,2020-02-16,604142.0,Personal Fans
313,2020-02-17,623087.0,Personal Fans
314,2020-02-18,623087.0,Personal Fans
315,2020-02-19,623087.0,Personal Fans
316,2020-02-20,623087.0,Personal Fans
317,2020-02-21,623087.0,Personal Fans
318,2020-02-22,623087.0,Personal Fans
319,2020-02-23,623087.0,Personal Fans
320,2020-02-24,768354.0,Personal Fans
321,2020-02-25,768354.0,Personal Fans
322,2020-02-26,768354.0,Personal Fans
323,2020-02-27,768354.0,Personal Fans
324,2020-02-28,261088.0,Personal Fans
325,2020-02-29,444157.0,Personal Fans
326,2020-03-01,444157.0,Personal Fans
327,2020-03-02,444157.0,Personal Fans
328,2020-03-03,636556.0,Personal Fans
329,2020-03-04,636556.0,Personal Fans
330,2020-03-05,636556.0,Personal Fans
331,2020-03-06,554310.0,Personal Fans
332,2020-03-07,554310.0,Personal Fans
333,2020-03-08,619488.0,Personal Fans
334,2020-03-09,619488.0,Personal Fans
335,2020-03-10,619488.0,Personal Fans
336,2020-03-11,619488.0,Personal Fans
337,2020-03-12,619488.0,Personal Fans
338,2020-03-13,619488.0,Personal Fans
339,2020-03-14,619488.0,Personal Fans
340,2020-03-15,619488.0,Personal Fans
341,2020-03-16,619488.0,Personal Fans
342,2020-03-17,481412.0,Personal Fans
343,2020-03-18,583171.0,Personal Fans
344,2020-03-19,583171.0,Personal Fans
345,2020-03-20,583171.0,Personal Fans
346,2020-03-21,583171.0,Personal Fans
347,2020-03-22,583171.0,Personal Fans
348,2020-03-23,583171.0,Personal Fans
349,2020-03-24,583171.0,Personal Fans
350,2020-03-25,241251.0,Personal Fans
351,2020-03-26,393150.0,Personal Fans
352,2020-03-27,393150.0,Personal Fans
353,2020-03-28,393150.0,Personal Fans
354,2020-03-29,393150.0,Personal Fans
355,2020-03-30,165460.0,Personal Fans
356,2020-03-31,165460.0,Personal Fans
357,2020-04-01,165460.0,Personal Fans
358,2020-04-02,165460.0,Personal Fans
359,2020-04-03,165460.0,Personal Fans
360,2020-04-04,532475.0,Personal Fans
361,2020-04-05,532475.0,Personal Fans
362,2020-04-06,532475.0,Personal Fans
363,2020-04-07,618313.0,Personal Fans
364,2020-04-08,618313.0,Personal Fans
365,2020-04-09,618313.0,Personal Fans
366,2020-04-10,618313.0,Personal Fans
367,2020-04-11,618313.0,Personal Fans
368,2020-04-12,618313.0,Personal Fans
369,2020-04-13,618313.0,Personal Fans
370,2020-04-14,618313.0,Personal Fans
371,2020-04-15,618313.0,Personal Fans
372,2020-04-16,618313.0,Personal Fans
373,2020-04-17,618313.0,Personal Fans
374,2020-04-18,618313.0,Personal Fans
375,2020-04-19,618313.0,Personal Fans
376,2020-04-20,618313.0,Personal Fans
377,2020-04-21,187477.0,Personal Fans
378,2020-04-22,187477.0,Personal Fans
379,2020-04-23,187477.0,Personal Fans
380,2020-04-24,596018.0,Personal Fans
381,2020-04-25,596018.0,Personal Fans
382,2020-04-26,596018.0,Personal Fans
383,2020-04-27,596018.0,Personal Fans
384,2020-04-28,596018.0,Personal Fans
385,2020-04-29,596018.0,Personal Fans
386,2020-04-30,89426.0,Personal Fans
387,2020-05-01,89426.0,Personal Fans
388,2020-05-02,89426.0,Personal Fans
389,2020-05-03,89426.0,Personal Fans
390,2020-05-04,89426.0,Personal Fans
391,2020-05-05,68465.0,Personal Fans
392,2020-05-06,68465.0,Personal Fans
393,2020-05-07,68465.0,Personal Fans
394,2020-05-08,68465.0,Personal Fans
395,2020-05-09,68465.0,Personal Fans
396,2020-05-10,41806.0,Personal Fans
397,2020-05-11,54842.0,Personal Fans
398,2020-05-12,73520.0,Personal Fans
399,2020-05-13,73520.0,Personal Fans
400,2020-05-14,46025.0,Personal Fans
401,2020-05-15,67123.0,Personal Fans
402,2020-05-16,67123.0,Personal Fans
403,2020-05-17,52951.0,Personal Fans
404,2020-05-18,52951.0,Personal Fans
405,2020-05-19,52951.0,Personal Fans
406,2020-05-20,52951.0,Personal Fans
407,2020-05-21,28044.0,Personal Fans
408,2020-05-22,28044.0,Personal Fans
409,2020-05-23,28044.0,Personal Fans
410,2020-05-24,35290.0,Personal Fans
411,2020-05-25,35290.0,Personal Fans
412,2020-05-26,35290.0,Personal Fans
413,2020-05-27,21856.0,Personal Fans
414,2020-05-28,21856.0,Personal Fans
415,2020-05-29,21856.0,Personal Fans
416,2020-05-30,21856.0,Personal Fans
417,2020-05-31,8115.0,Personal Fans
418,2020-06-01,8115.0,Personal Fans
419,2020-06-02,10418.0,Personal Fans
420,2020-06-03,10762.0,Personal Fans
421,2020-06-04,10762.0,Personal Fans
422,2020-06-05,9659.0,Personal Fans
423,2020-06-06,9659.0,Personal Fans
424,2020-06-07,9915.0,Personal Fans
425,2020-06-08,11840.0,Personal Fans
426,2020-06-09,11840.0,Personal Fans
427,2020-06-10,13684.0,Personal Fans
428,2020-06-11,9892.0,Personal Fans
429,2020-06-12,8968.0,Personal Fans
430,2020-06-13,9163.0,Personal Fans
431,2020-06-14,9163.0,Personal Fans
432,2020-06-15,9163.0,Personal Fans
433,2020-06-16,10404.0,Personal Fans
434,2020-06-17,8617.0,Personal Fans
435,2020-06-18,10713.0,Personal Fans
436,2020-06-19,10713.0,Personal Fans
437,2020-06-20,10713.0,Personal Fans
438,2020-06-21,10687.0,Personal Fans
439,2020-06-22,10687.0,Personal Fans
440,2020-06-23,14069.0,Personal Fans
441,2020-06-24,14069.0,Personal Fans
442,2020-06-25,14069.0,Personal Fans
443,2020-06-26,14069.0,Personal Fans
444,2020-06-27,15559.0,Personal Fans
445,2020-06-28,19475.0,Personal Fans
446,2020-06-29,21586.0,Personal Fans
447,2020-06-30,21586.0,Personal Fans
448,2020-07-01,19025.0,Personal Fans
449,2020-07-02,19025.0,Personal Fans
450,2020-07-03,19025.0,Personal Fans
451,2020-07-04,19025.0,Personal Fans
452,2020-07-05,19025.0,Personal Fans
453,2020-07-06,13516.0,Personal Fans
454,2020-07-07,13516.0,Personal Fans
455,2020-07-08,13516.0,Personal Fans
456,2020-07-09,14180.0,Personal Fans
457,2020-07-10,14180.0,Personal Fans
458,2020-07-11,14180.0,Personal Fans
459,2020-07-12,14180.0,Personal Fans
460,2020-07-13,13630.0,Personal Fans
461,2020-07-14,18465.0,Personal Fans
462,2020-07-15,18612.0,Personal Fans
463,2020-07-16,18711.0,Personal Fans
464,2020-07-17,19064.0,Personal Fans
465,2020-07-18,19064.0,Personal Fans
466,2020-07-19,19064.0,Personal Fans
467,2020-07-20,13257.0,Personal Fans
468,2020-07-21,13257.0,Personal Fans
469,2020-07-22,13257.0,Personal Fans
470,2020-07-23,15351.0,Personal Fans
471,2020-07-24,15351.0,Personal Fans
472,2020-07-25,15995.0,Personal Fans
473,2020-07-26,23145.0,Personal Fans
