,date,value,name_B08ZJ6FWLV
0,2021-04-28,195958,Board Games
1,2021-04-29,205976,Board Games
2,2021-04-30,184509,Board Games
3,2021-05-01,130498,Board Games
4,2021-05-02,156138,Board Games
5,2021-05-03,117870,Board Games
6,2021-05-04,47741,Board Games
7,2021-05-05,58068,Board Games
8,2021-05-06,55721,Board Games
9,2021-05-07,73046,Board Games
10,2021-05-08,103859,Board Games
11,2021-05-09,57355,Board Games
12,2021-05-10,94655,Board Games
13,2021-05-11,47095,Board Games
14,2021-05-12,71556,Board Games
15,2021-05-13,93045,Board Games
16,2021-05-14,75354,Board Games
17,2021-05-15,48989,Board Games
18,2021-05-16,13190,Board Games
19,2021-05-17,24000,Board Games
20,2021-05-18,36867,Board Games
21,2021-05-19,34687,Board Games
22,2021-05-20,43320,Board Games
23,2021-05-21,47077,Board Games
24,2021-05-22,59157,Board Games
25,2021-05-23,56002,Board Games
26,2021-05-24,52799,Board Games
27,2021-05-25,37185,Board Games
28,2021-05-26,19540,Board Games
29,2021-05-27,16945,Board Games
30,2021-05-28,15110,Board Games
31,2021-05-29,14879,Board Games
32,2021-05-30,22477,Board Games
33,2021-05-31,21881,Board Games
34,2021-06-01,31268,Board Games
35,2021-06-02,44634,Board Games
36,2021-06-03,41628,Board Games
37,2021-06-04,35013,Board Games
38,2021-06-05,31651,Board Games
39,2021-06-06,36891,Board Games
40,2021-06-07,32643,Board Games
41,2021-06-08,26065,Board Games
42,2021-06-09,32819,Board Games
43,2021-06-10,38722,Board Games
44,2021-06-11,45022,Board Games
45,2021-06-12,77508,Board Games
46,2021-06-13,84471,Board Games
47,2021-06-14,21929,Board Games
48,2021-06-15,21198,Board Games
49,2021-06-16,13852,Board Games
50,2021-06-17,12266,Board Games
51,2021-06-18,12652,Board Games
52,2021-06-19,12194,Board Games
53,2021-06-20,15533,Board Games
54,2021-06-21,13065,Board Games
55,2021-06-22,16987,Board Games
56,2021-06-23,19228,Board Games
57,2021-06-24,34315,Board Games
58,2021-06-25,46501,Board Games
59,2021-06-26,38525,Board Games
60,2021-06-27,23879,Board Games
61,2021-06-28,17864,Board Games
62,2021-06-29,9649,Board Games
63,2021-06-30,11319,Board Games
64,2021-07-01,10915,Board Games
65,2021-07-02,13076,Board Games
66,2021-07-03,16251,Board Games
67,2021-07-04,18930,Board Games
68,2021-07-05,30816,Board Games
69,2021-07-06,43784,Board Games
70,2021-07-07,35222,Board Games
71,2021-07-08,47409,Board Games
72,2021-07-09,50266,Board Games
