,date,value,name_B0829JKYLL
117,2020-04-04,36389.0,Wall & Tabletop Frames
118,2020-04-05,36389.0,Wall & Tabletop Frames
119,2020-04-06,91985.0,Wall & Tabletop Frames
120,2020-04-07,91985.0,Wall & Tabletop Frames
121,2020-04-08,91985.0,Wall & Tabletop Frames
122,2020-04-09,91985.0,Wall & Tabletop Frames
123,2020-04-10,82132.0,Wall & Tabletop Frames
124,2020-04-11,82132.0,Wall & Tabletop Frames
125,2020-04-12,82132.0,Wall & Tabletop Frames
126,2020-04-13,82132.0,Wall & Tabletop Frames
127,2020-04-14,227452.0,Wall & Tabletop Frames
128,2020-04-15,227452.0,Wall & Tabletop Frames
129,2020-04-16,227452.0,Wall & Tabletop Frames
130,2020-04-17,227452.0,Wall & Tabletop Frames
131,2020-04-18,227452.0,Wall & Tabletop Frames
132,2020-04-19,227452.0,Wall & Tabletop Frames
133,2020-04-20,227452.0,Wall & Tabletop Frames
134,2020-04-21,14660.0,Wall & Tabletop Frames
135,2020-04-22,14660.0,Wall & Tabletop Frames
136,2020-04-23,14660.0,Wall & Tabletop Frames
137,2020-04-24,13148.0,Wall & Tabletop Frames
138,2020-04-25,13148.0,Wall & Tabletop Frames
139,2020-04-26,13148.0,Wall & Tabletop Frames
140,2020-04-27,13148.0,Wall & Tabletop Frames
141,2020-04-28,13148.0,Wall & Tabletop Frames
142,2020-04-29,20367.0,Wall & Tabletop Frames
143,2020-04-30,20367.0,Wall & Tabletop Frames
144,2020-05-01,20367.0,Wall & Tabletop Frames
145,2020-05-02,20367.0,Wall & Tabletop Frames
146,2020-05-03,20367.0,Wall & Tabletop Frames
147,2020-05-04,20367.0,Wall & Tabletop Frames
148,2020-05-05,25279.0,Wall & Tabletop Frames
149,2020-05-06,25279.0,Wall & Tabletop Frames
150,2020-05-07,25279.0,Wall & Tabletop Frames
151,2020-05-08,25279.0,Wall & Tabletop Frames
152,2020-05-09,25279.0,Wall & Tabletop Frames
153,2020-05-10,25279.0,Wall & Tabletop Frames
154,2020-05-11,25279.0,Wall & Tabletop Frames
155,2020-05-12,25279.0,Wall & Tabletop Frames
156,2020-05-13,25279.0,Wall & Tabletop Frames
157,2020-05-14,25279.0,Wall & Tabletop Frames
158,2020-05-15,25279.0,Wall & Tabletop Frames
159,2020-05-16,11149.0,Wall & Tabletop Frames
160,2020-05-17,11149.0,Wall & Tabletop Frames
161,2020-05-18,8549.0,Wall & Tabletop Frames
162,2020-05-19,8549.0,Wall & Tabletop Frames
163,2020-05-20,8549.0,Wall & Tabletop Frames
164,2020-05-21,8028.0,Wall & Tabletop Frames
165,2020-05-22,8028.0,Wall & Tabletop Frames
166,2020-05-23,8028.0,Wall & Tabletop Frames
167,2020-05-24,7574.0,Wall & Tabletop Frames
168,2020-05-25,7574.0,Wall & Tabletop Frames
169,2020-05-26,7574.0,Wall & Tabletop Frames
170,2020-05-27,23053.0,Wall & Tabletop Frames
171,2020-05-28,23053.0,Wall & Tabletop Frames
172,2020-05-29,23053.0,Wall & Tabletop Frames
173,2020-05-30,23053.0,Wall & Tabletop Frames
174,2020-05-31,23053.0,Wall & Tabletop Frames
175,2020-06-01,8719.0,Wall & Tabletop Frames
176,2020-06-02,6801.0,Wall & Tabletop Frames
177,2020-06-03,6801.0,Wall & Tabletop Frames
178,2020-06-04,6518.0,Wall & Tabletop Frames
179,2020-06-05,7644.0,Wall & Tabletop Frames
180,2020-06-06,7644.0,Wall & Tabletop Frames
