,date,value,name_B08Z1ZR3NB
0,2021-05-24,4615.0,Antiperspirants
1,2021-05-25,5156.0,Antiperspirants
2,2021-05-26,5156.0,Antiperspirants
3,2021-05-27,4549.0,Antiperspirants
4,2021-05-28,4549.0,Antiperspirants
5,2021-05-29,4549.0,Antiperspirants
6,2021-05-30,4388.0,Antiperspirants
7,2021-05-31,4388.0,Antiperspirants
8,2021-06-01,4712.0,Antiperspirants
9,2021-06-02,4521.0,Antiperspirants
10,2021-06-03,4934.0,Antiperspirants
11,2021-06-04,4934.0,Antiperspirants
12,2021-06-05,4934.0,Antiperspirants
13,2021-06-06,4813.0,Antiperspirants
14,2021-06-07,4813.0,Antiperspirants
15,2021-06-08,4193.0,Antiperspirants
16,2021-06-09,4495.0,Antiperspirants
17,2021-06-10,4307.0,Antiperspirants
18,2021-06-11,4307.0,Antiperspirants
19,2021-06-12,4307.0,Antiperspirants
20,2021-06-13,4085.0,Antiperspirants
21,2021-06-14,5326.0,Antiperspirants
22,2021-06-15,5326.0,Antiperspirants
23,2021-06-16,5138.0,Antiperspirants
24,2021-06-17,5138.0,Antiperspirants
25,2021-06-18,6430.0,Antiperspirants
26,2021-06-19,6430.0,Antiperspirants
27,2021-06-20,6006.0,Antiperspirants
28,2021-06-21,4916.0,Antiperspirants
29,2021-06-22,4916.0,Antiperspirants
30,2021-06-23,6476.0,Antiperspirants
31,2021-06-24,6808.0,Antiperspirants
32,2021-06-25,6744.0,Antiperspirants
33,2021-06-26,7103.0,Antiperspirants
34,2021-06-27,7354.0,Antiperspirants
35,2021-06-28,7354.0,Antiperspirants
36,2021-06-29,6505.0,Antiperspirants
37,2021-06-30,8004.0,Antiperspirants
38,2021-07-01,8168.0,Antiperspirants
39,2021-07-02,6001.0,Antiperspirants
40,2021-07-03,6001.0,Antiperspirants
41,2021-07-04,6979.0,Antiperspirants
42,2021-07-05,6979.0,Antiperspirants
43,2021-07-06,7130.0,Antiperspirants
44,2021-07-07,6508.0,Antiperspirants
45,2021-07-08,5800.0,Antiperspirants
46,2021-07-09,5800.0,Antiperspirants
47,2021-07-10,8359.0,Antiperspirants
