,date,value,name_B07FWX6873
0,2020-06-03,10059.0,AA
1,2020-06-04,10059.0,AA
2,2020-06-05,10059.0,AA
3,2020-06-06,10059.0,AA
4,2020-06-07,10059.0,AA
5,2020-06-08,9854.0,AA
6,2020-06-09,9854.0,AA
7,2020-06-10,10070.0,AA
8,2020-06-11,10070.0,AA
9,2020-06-12,11301.0,AA
10,2020-06-13,11301.0,AA
11,2020-06-14,12806.0,AA
12,2020-06-15,12806.0,AA
13,2020-06-16,12806.0,AA
14,2020-06-17,12806.0,AA
15,2020-06-18,10322.0,AA
16,2020-06-19,10322.0,AA
17,2020-06-20,10322.0,AA
18,2020-06-21,10322.0,AA
19,2020-06-22,12565.0,AA
20,2020-06-23,12565.0,AA
21,2020-06-24,12565.0,AA
22,2020-06-25,12565.0,AA
23,2020-06-26,12565.0,AA
24,2020-06-27,14584.0,AA
25,2020-06-28,14584.0,AA
26,2020-06-29,14584.0,AA
27,2020-06-30,17439.0,AA
28,2020-07-01,17439.0,AA
29,2020-07-02,17439.0,AA
30,2020-07-03,17439.0,AA
31,2020-07-04,17439.0,AA
32,2020-07-05,20265.0,AA
33,2020-07-06,20265.0,AA
34,2020-07-07,20265.0,AA
35,2020-07-08,20265.0,AA
36,2020-07-09,20265.0,AA
37,2020-07-10,19383.0,AA
38,2020-07-11,19383.0,AA
39,2020-07-12,19383.0,AA
40,2020-07-13,20940.0,AA
41,2020-07-14,20940.0,AA
42,2020-07-15,20940.0,AA
43,2020-07-16,16512.0,AA
44,2020-07-17,16512.0,AA
45,2020-07-18,16512.0,AA
46,2020-07-19,16512.0,AA
47,2020-07-20,16512.0,AA
48,2020-07-21,15831.0,AA
49,2020-07-22,15831.0,AA
50,2020-07-23,16691.0,AA
51,2020-07-24,16691.0,AA
52,2020-07-25,16691.0,AA
53,2020-07-26,16691.0,AA
54,2020-07-27,16691.0,AA
55,2020-07-28,18477.0,AA
56,2020-07-29,18477.0,AA
57,2020-07-30,14897.0,AA
58,2020-07-31,14897.0,AA
59,2020-08-01,14897.0,AA
60,2020-08-02,14897.0,AA
61,2020-08-03,14897.0,AA
62,2020-08-04,14897.0,AA
63,2020-08-05,14897.0,AA
64,2020-08-06,14897.0,AA
65,2020-08-07,13483.0,AA
66,2020-08-08,13483.0,AA
67,2020-08-09,13483.0,AA
68,2020-08-10,14673.0,AA
69,2020-08-11,14673.0,AA
70,2020-08-12,14673.0,AA
71,2020-08-13,13835.0,AA
72,2020-08-14,13835.0,AA
73,2020-08-15,13835.0,AA
74,2020-08-16,13835.0,AA
75,2020-08-17,17848.0,AA
76,2020-08-18,19657.0,AA
77,2020-08-19,19657.0,AA
78,2020-08-20,19657.0,AA
79,2020-08-21,15676.0,AA
80,2020-08-22,15676.0,AA
81,2020-08-23,15676.0,AA
82,2020-08-24,17030.0,AA
83,2020-08-25,18153.0,AA
84,2020-08-26,18153.0,AA
85,2020-08-27,18153.0,AA
86,2020-08-28,18153.0,AA
87,2020-08-29,14964.0,AA
88,2020-08-30,14964.0,AA
89,2020-08-31,14964.0,AA
90,2020-09-01,14964.0,AA
91,2020-09-02,14964.0,AA
92,2020-09-03,14964.0,AA
93,2020-09-04,14964.0,AA
94,2020-09-05,14964.0,AA
95,2020-09-06,14964.0,AA
96,2020-09-07,14964.0,AA
97,2020-09-08,10325.0,AA
98,2020-09-09,10325.0,AA
99,2020-09-10,10325.0,AA
100,2020-09-11,10325.0,AA
101,2020-09-12,10325.0,AA
102,2020-09-13,10325.0,AA
103,2020-09-14,10325.0,AA
104,2020-09-15,9061.0,AA
105,2020-09-16,8625.0,AA
106,2020-09-17,8625.0,AA
107,2020-09-18,8625.0,AA
108,2020-09-19,8625.0,AA
109,2020-09-20,10775.0,AA
110,2020-09-21,10775.0,AA
111,2020-09-22,10775.0,AA
112,2020-09-23,11388.0,AA
