,date,value,name_B08L57LNXG
0,2020-12-16,7029.0,Greeting Cards
1,2020-12-17,7029.0,Greeting Cards
2,2020-12-18,8042.0,Greeting Cards
3,2020-12-19,8236.0,Greeting Cards
4,2020-12-20,7568.0,Greeting Cards
5,2020-12-21,9511.0,Greeting Cards
6,2020-12-22,9563.0,Greeting Cards
7,2020-12-23,12453.0,Greeting Cards
8,2020-12-24,9155.0,Greeting Cards
9,2020-12-25,13514.0,Greeting Cards
10,2020-12-26,8953.0,Greeting Cards
11,2020-12-27,17286.0,Greeting Cards
12,2020-12-28,17286.0,Greeting Cards
13,2020-12-29,18159.0,Greeting Cards
14,2020-12-30,18159.0,Greeting Cards
15,2020-12-31,18159.0,Greeting Cards
16,2021-01-01,18159.0,Greeting Cards
17,2021-01-02,23858.0,Greeting Cards
18,2021-01-03,41683.0,Greeting Cards
19,2021-01-04,44112.0,Greeting Cards
20,2021-01-05,25502.0,Greeting Cards
21,2021-01-06,27348.0,Greeting Cards
22,2021-01-07,30017.0,Greeting Cards
23,2021-01-08,30017.0,Greeting Cards
24,2021-01-09,30017.0,Greeting Cards
25,2021-01-10,30017.0,Greeting Cards
26,2021-01-11,30017.0,Greeting Cards
27,2021-01-12,7157.0,Greeting Cards
28,2021-01-13,7157.0,Greeting Cards
29,2021-01-14,16161.0,Greeting Cards
30,2021-01-15,16161.0,Greeting Cards
31,2021-01-16,16161.0,Greeting Cards
32,2021-01-17,16161.0,Greeting Cards
33,2021-01-18,16161.0,Greeting Cards
34,2021-01-19,15841.0,Greeting Cards
35,2021-01-20,11670.0,Greeting Cards
36,2021-01-21,9422.0,Greeting Cards
37,2021-01-22,9422.0,Greeting Cards
38,2021-01-23,9422.0,Greeting Cards
39,2021-01-24,7578.0,Greeting Cards
40,2021-01-25,7578.0,Greeting Cards
41,2021-01-26,6961.0,Greeting Cards
42,2021-01-27,7394.0,Greeting Cards
43,2021-01-28,8841.0,Greeting Cards
44,2021-01-29,8841.0,Greeting Cards
45,2021-01-30,7482.0,Greeting Cards
46,2021-01-31,9070.0,Greeting Cards
47,2021-02-01,9070.0,Greeting Cards
48,2021-02-02,9070.0,Greeting Cards
49,2021-02-03,10398.0,Greeting Cards
50,2021-02-04,10398.0,Greeting Cards
51,2021-02-05,6004.0,Greeting Cards
52,2021-02-06,8473.0,Greeting Cards
53,2021-02-07,5996.0,Greeting Cards
54,2021-02-08,5996.0,Greeting Cards
55,2021-02-09,5996.0,Greeting Cards
56,2021-02-10,5589.0,Greeting Cards
57,2021-02-11,5589.0,Greeting Cards
58,2021-02-12,4297.0,Greeting Cards
59,2021-02-13,4297.0,Greeting Cards
60,2021-02-14,3014.0,Greeting Cards
61,2021-02-15,4391.0,Greeting Cards
62,2021-02-16,3393.0,Greeting Cards
63,2021-02-17,3336.0,Greeting Cards
64,2021-02-18,3890.0,Greeting Cards
65,2021-02-19,5052.0,Greeting Cards
66,2021-02-20,7280.0,Greeting Cards
67,2021-02-21,7280.0,Greeting Cards
68,2021-02-22,6080.0,Greeting Cards
69,2021-02-23,4558.0,Greeting Cards
70,2021-02-24,3778.0,Greeting Cards
71,2021-02-25,4335.0,Greeting Cards
72,2021-02-26,3974.0,Greeting Cards
73,2021-02-27,3633.0,Greeting Cards
74,2021-02-28,3925.0,Greeting Cards
75,2021-03-01,2889.0,Greeting Cards
76,2021-03-02,2528.0,Greeting Cards
77,2021-03-03,2533.0,Greeting Cards
78,2021-03-04,3389.0,Greeting Cards
79,2021-03-05,3622.0,Greeting Cards
80,2021-03-06,4721.0,Greeting Cards
81,2021-03-07,3785.0,Greeting Cards
82,2021-03-08,3892.0,Greeting Cards
83,2021-03-09,4646.0,Greeting Cards
84,2021-03-10,5696.0,Greeting Cards
85,2021-03-11,4353.0,Greeting Cards
86,2021-03-12,3906.0,Greeting Cards
87,2021-03-13,4570.0,Greeting Cards
88,2021-03-14,4247.0,Greeting Cards
89,2021-03-15,4379.0,Greeting Cards
90,2021-03-16,3092.0,Greeting Cards
91,2021-03-17,2994.0,Greeting Cards
92,2021-03-18,2968.0,Greeting Cards
93,2021-03-19,3691.0,Greeting Cards
94,2021-03-20,4129.0,Greeting Cards
95,2021-03-21,3436.0,Greeting Cards
96,2021-03-22,2751.0,Greeting Cards
97,2021-03-23,3085.0,Greeting Cards
98,2021-03-24,3005.0,Greeting Cards
99,2021-03-25,4117.0,Greeting Cards
100,2021-03-26,3196.0,Greeting Cards
101,2021-03-27,4269.0,Greeting Cards
102,2021-03-28,4661.0,Greeting Cards
103,2021-03-29,3297.0,Greeting Cards
104,2021-03-30,3488.0,Greeting Cards
105,2021-03-31,3374.0,Greeting Cards
106,2021-04-01,4538.0,Greeting Cards
107,2021-04-02,3868.0,Greeting Cards
108,2021-04-03,3979.0,Greeting Cards
109,2021-04-04,4134.0,Greeting Cards
110,2021-04-05,6796.0,Greeting Cards
111,2021-04-06,6796.0,Greeting Cards
112,2021-04-07,3308.0,Greeting Cards
113,2021-04-08,3479.0,Greeting Cards
114,2021-04-09,3371.0,Greeting Cards
115,2021-04-10,4180.0,Greeting Cards
116,2021-04-11,4180.0,Greeting Cards
