,date,value,name_B0747P8X6B
0,2020-06-02,34375.0,Earplugs
1,2020-06-03,34375.0,Earplugs
2,2020-06-04,34375.0,Earplugs
3,2020-06-05,34375.0,Earplugs
4,2020-06-06,34375.0,Earplugs
5,2020-06-07,34375.0,Earplugs
6,2020-06-08,34375.0,Earplugs
7,2020-06-09,31416.0,Earplugs
8,2020-06-10,31416.0,Earplugs
9,2020-06-11,31416.0,Earplugs
10,2020-06-12,31416.0,Earplugs
11,2020-06-13,42413.0,Earplugs
12,2020-06-14,42413.0,Earplugs
13,2020-06-15,42413.0,Earplugs
14,2020-06-16,42413.0,Earplugs
15,2020-06-17,33867.0,Earplugs
16,2020-06-18,33867.0,Earplugs
17,2020-06-19,33867.0,Earplugs
18,2020-06-20,33867.0,Earplugs
19,2020-06-21,28910.0,Earplugs
20,2020-06-22,28910.0,Earplugs
21,2020-06-23,28910.0,Earplugs
22,2020-06-24,28910.0,Earplugs
23,2020-06-25,33989.0,Earplugs
24,2020-06-26,33989.0,Earplugs
25,2020-06-27,33989.0,Earplugs
26,2020-06-28,48464.0,Earplugs
27,2020-06-29,48464.0,Earplugs
28,2020-06-30,48464.0,Earplugs
29,2020-07-01,48464.0,Earplugs
30,2020-07-02,29649.0,Earplugs
31,2020-07-03,29649.0,Earplugs
32,2020-07-04,29327.0,Earplugs
33,2020-07-05,23314.0,Earplugs
34,2020-07-06,23314.0,Earplugs
35,2020-07-07,23314.0,Earplugs
36,2020-07-08,23314.0,Earplugs
37,2020-07-09,23314.0,Earplugs
38,2020-07-10,23314.0,Earplugs
39,2020-07-11,23314.0,Earplugs
40,2020-07-12,28474.0,Earplugs
41,2020-07-13,28474.0,Earplugs
42,2020-07-14,28474.0,Earplugs
43,2020-07-15,28474.0,Earplugs
44,2020-07-16,34922.0,Earplugs
45,2020-07-17,34922.0,Earplugs
46,2020-07-18,34922.0,Earplugs
47,2020-07-19,34922.0,Earplugs
48,2020-07-20,34922.0,Earplugs
49,2020-07-21,38416.0,Earplugs
50,2020-07-22,38416.0,Earplugs
51,2020-07-23,38416.0,Earplugs
52,2020-07-24,38416.0,Earplugs
53,2020-07-25,49404.0,Earplugs
54,2020-07-26,35197.0,Earplugs
55,2020-07-27,35197.0,Earplugs
56,2020-07-28,35197.0,Earplugs
57,2020-07-29,35197.0,Earplugs
58,2020-07-30,35197.0,Earplugs
59,2020-07-31,35197.0,Earplugs
60,2020-08-01,35197.0,Earplugs
61,2020-08-02,31977.0,Earplugs
62,2020-08-03,31929.0,Earplugs
63,2020-08-04,31929.0,Earplugs
64,2020-08-05,31929.0,Earplugs
65,2020-08-06,31929.0,Earplugs
66,2020-08-07,31929.0,Earplugs
67,2020-08-08,31929.0,Earplugs
68,2020-08-09,32179.0,Earplugs
69,2020-08-10,32179.0,Earplugs
70,2020-08-11,31333.0,Earplugs
71,2020-08-12,23763.0,Earplugs
72,2020-08-13,23763.0,Earplugs
73,2020-08-14,26701.0,Earplugs
74,2020-08-15,26701.0,Earplugs
75,2020-08-16,27721.0,Earplugs
76,2020-08-17,27721.0,Earplugs
77,2020-08-18,27721.0,Earplugs
78,2020-08-19,27721.0,Earplugs
79,2020-08-20,27721.0,Earplugs
80,2020-08-21,27721.0,Earplugs
81,2020-08-22,27721.0,Earplugs
82,2020-08-23,27721.0,Earplugs
83,2020-08-24,21497.0,Earplugs
84,2020-08-25,24919.0,Earplugs
85,2020-08-26,24919.0,Earplugs
86,2020-08-27,28145.0,Earplugs
87,2020-08-28,28145.0,Earplugs
88,2020-08-29,28145.0,Earplugs
89,2020-08-30,28145.0,Earplugs
90,2020-08-31,36590.0,Earplugs
91,2020-09-01,36590.0,Earplugs
92,2020-09-02,36590.0,Earplugs
93,2020-09-03,35773.0,Earplugs
94,2020-09-04,35773.0,Earplugs
95,2020-09-05,35773.0,Earplugs
96,2020-09-06,24032.0,Earplugs
97,2020-09-07,21264.0,Earplugs
98,2020-09-08,21264.0,Earplugs
99,2020-09-09,21264.0,Earplugs
100,2020-09-10,26329.0,Earplugs
101,2020-09-11,26329.0,Earplugs
102,2020-09-12,26329.0,Earplugs
103,2020-09-13,26329.0,Earplugs
104,2020-09-14,24758.0,Earplugs
105,2020-09-15,34455.0,Earplugs
106,2020-09-16,34455.0,Earplugs
107,2020-09-17,34455.0,Earplugs
108,2020-09-18,24255.0,Earplugs
109,2020-09-19,24255.0,Earplugs
110,2020-09-20,24255.0,Earplugs
111,2020-09-21,26011.0,Earplugs
112,2020-09-22,29990.0,Earplugs
113,2020-09-23,33079.0,Earplugs
114,2020-09-24,39891.0,Earplugs
115,2020-09-25,31539.0,Earplugs
116,2020-09-26,32009.0,Earplugs
117,2020-09-27,32009.0,Earplugs
118,2020-09-28,32009.0,Earplugs
119,2020-09-29,32009.0,Earplugs
120,2020-09-30,35334.0,Earplugs
121,2020-10-01,36131.0,Earplugs
122,2020-10-02,38547.0,Earplugs
123,2020-10-03,38547.0,Earplugs
124,2020-10-04,38547.0,Earplugs
125,2020-10-05,46534.0,Earplugs
126,2020-10-06,46534.0,Earplugs
127,2020-10-07,33736.0,Earplugs
128,2020-10-08,33736.0,Earplugs
