,date,value,name_B091J329BT
0,2021-04-12,9982.0,Coin Storage & Shipping Boxes
1,2021-04-13,15264.0,Coin Storage & Shipping Boxes
2,2021-04-14,15264.0,Coin Storage & Shipping Boxes
3,2021-04-15,15264.0,Coin Storage & Shipping Boxes
4,2021-04-16,13465.0,Coin Storage & Shipping Boxes
5,2021-04-17,13250.0,Coin Storage & Shipping Boxes
6,2021-04-18,13250.0,Coin Storage & Shipping Boxes
7,2021-04-19,10277.0,Coin Storage & Shipping Boxes
8,2021-04-20,10277.0,Coin Storage & Shipping Boxes
9,2021-04-21,13391.0,Coin Storage & Shipping Boxes
10,2021-04-22,13391.0,Coin Storage & Shipping Boxes
11,2021-04-23,12565.0,Coin Storage & Shipping Boxes
12,2021-04-24,12565.0,Coin Storage & Shipping Boxes
13,2021-04-25,9366.0,Coin Storage & Shipping Boxes
14,2021-04-26,9366.0,Coin Storage & Shipping Boxes
15,2021-04-27,10908.0,Coin Storage & Shipping Boxes
16,2021-04-28,10152.0,Coin Storage & Shipping Boxes
17,2021-04-29,11240.0,Coin Storage & Shipping Boxes
18,2021-04-30,11240.0,Coin Storage & Shipping Boxes
19,2021-05-01,7024.0,Coin Storage & Shipping Boxes
20,2021-05-02,7024.0,Coin Storage & Shipping Boxes
21,2021-05-03,7024.0,Coin Storage & Shipping Boxes
22,2021-05-04,7024.0,Coin Storage & Shipping Boxes
23,2021-05-05,7024.0,Coin Storage & Shipping Boxes
24,2021-05-06,9426.0,Coin Storage & Shipping Boxes
25,2021-05-07,9745.0,Coin Storage & Shipping Boxes
26,2021-05-08,12555.0,Coin Storage & Shipping Boxes
27,2021-05-09,12555.0,Coin Storage & Shipping Boxes
28,2021-05-10,12555.0,Coin Storage & Shipping Boxes
29,2021-05-11,9527.0,Coin Storage & Shipping Boxes
30,2021-05-12,9527.0,Coin Storage & Shipping Boxes
31,2021-05-13,11143.0,Coin Storage & Shipping Boxes
32,2021-05-14,14185.0,Coin Storage & Shipping Boxes
33,2021-05-15,14185.0,Coin Storage & Shipping Boxes
34,2021-05-16,21180.0,Coin Storage & Shipping Boxes
35,2021-05-17,21180.0,Coin Storage & Shipping Boxes
36,2021-05-18,21180.0,Coin Storage & Shipping Boxes
37,2021-05-19,21180.0,Coin Storage & Shipping Boxes
38,2021-05-20,14582.0,Coin Storage & Shipping Boxes
39,2021-05-21,14582.0,Coin Storage & Shipping Boxes
40,2021-05-22,15330.0,Coin Storage & Shipping Boxes
41,2021-05-23,15330.0,Coin Storage & Shipping Boxes
42,2021-05-24,15330.0,Coin Storage & Shipping Boxes
43,2021-05-25,8433.0,Coin Storage & Shipping Boxes
44,2021-05-26,13195.0,Coin Storage & Shipping Boxes
45,2021-05-27,13195.0,Coin Storage & Shipping Boxes
46,2021-05-28,13558.0,Coin Storage & Shipping Boxes
47,2021-05-29,13558.0,Coin Storage & Shipping Boxes
48,2021-05-30,13558.0,Coin Storage & Shipping Boxes
49,2021-05-31,5935.0,Coin Storage & Shipping Boxes
50,2021-06-01,5935.0,Coin Storage & Shipping Boxes
51,2021-06-02,9491.0,Coin Storage & Shipping Boxes
52,2021-06-03,9491.0,Coin Storage & Shipping Boxes
53,2021-06-04,11803.0,Coin Storage & Shipping Boxes
54,2021-06-05,11803.0,Coin Storage & Shipping Boxes
55,2021-06-06,11803.0,Coin Storage & Shipping Boxes
56,2021-06-07,8630.0,Coin Storage & Shipping Boxes
57,2021-06-08,12660.0,Coin Storage & Shipping Boxes
58,2021-06-09,12315.0,Coin Storage & Shipping Boxes
59,2021-06-10,15504.0,Coin Storage & Shipping Boxes
60,2021-06-11,15504.0,Coin Storage & Shipping Boxes
61,2021-06-12,15504.0,Coin Storage & Shipping Boxes
62,2021-06-13,15504.0,Coin Storage & Shipping Boxes
63,2021-06-14,6456.0,Coin Storage & Shipping Boxes
64,2021-06-15,6456.0,Coin Storage & Shipping Boxes
65,2021-06-16,6456.0,Coin Storage & Shipping Boxes
66,2021-06-17,6369.0,Coin Storage & Shipping Boxes
67,2021-06-18,5562.0,Coin Storage & Shipping Boxes
68,2021-06-19,7426.0,Coin Storage & Shipping Boxes
69,2021-06-20,7426.0,Coin Storage & Shipping Boxes
70,2021-06-21,8386.0,Coin Storage & Shipping Boxes
71,2021-06-22,10762.0,Coin Storage & Shipping Boxes
72,2021-06-23,10762.0,Coin Storage & Shipping Boxes
73,2021-06-24,8324.0,Coin Storage & Shipping Boxes
74,2021-06-25,8324.0,Coin Storage & Shipping Boxes
75,2021-06-26,10687.0,Coin Storage & Shipping Boxes
76,2021-06-27,10687.0,Coin Storage & Shipping Boxes
77,2021-06-28,7601.0,Coin Storage & Shipping Boxes
78,2021-06-29,13373.0,Coin Storage & Shipping Boxes
79,2021-06-30,13373.0,Coin Storage & Shipping Boxes
80,2021-07-01,19453.0,Coin Storage & Shipping Boxes
81,2021-07-02,19453.0,Coin Storage & Shipping Boxes
82,2021-07-03,19453.0,Coin Storage & Shipping Boxes
83,2021-07-04,19453.0,Coin Storage & Shipping Boxes
84,2021-07-05,9940.0,Coin Storage & Shipping Boxes
85,2021-07-06,9940.0,Coin Storage & Shipping Boxes
86,2021-07-07,12275.0,Coin Storage & Shipping Boxes
87,2021-07-08,9295.0,Coin Storage & Shipping Boxes
88,2021-07-09,9295.0,Coin Storage & Shipping Boxes
89,2021-07-10,7030.0,Coin Storage & Shipping Boxes
90,2021-07-11,7311.0,Coin Storage & Shipping Boxes
