,date,value,name_B0147BRYWY
0,2020-05-25,2290.0,Suggestion Boxes
1,2020-05-26,2290.0,Suggestion Boxes
2,2020-05-27,1308.0,Suggestion Boxes
3,2020-05-28,1308.0,Suggestion Boxes
4,2020-05-29,1616.0,Suggestion Boxes
5,2020-05-30,1616.0,Suggestion Boxes
6,2020-05-31,1616.0,Suggestion Boxes
7,2020-06-01,1980.0,Suggestion Boxes
8,2020-06-02,1980.0,Suggestion Boxes
9,2020-06-03,1980.0,Suggestion Boxes
10,2020-06-04,1665.0,Suggestion Boxes
11,2020-06-05,1665.0,Suggestion Boxes
12,2020-06-06,1901.0,Suggestion Boxes
13,2020-06-07,2491.0,Suggestion Boxes
14,2020-06-08,2491.0,Suggestion Boxes
15,2020-06-09,12219.0,Suggestion Boxes
16,2020-06-10,12219.0,Suggestion Boxes
17,2020-06-11,12219.0,Suggestion Boxes
18,2020-06-12,16851.0,Suggestion Boxes
19,2020-06-13,16851.0,Suggestion Boxes
20,2020-06-14,16851.0,Suggestion Boxes
21,2020-06-15,16851.0,Suggestion Boxes
22,2020-06-16,16312.0,Suggestion Boxes
23,2020-06-17,16312.0,Suggestion Boxes
24,2020-06-18,24870.0,Suggestion Boxes
25,2020-06-19,24870.0,Suggestion Boxes
26,2020-06-20,24870.0,Suggestion Boxes
27,2020-06-21,24870.0,Suggestion Boxes
28,2020-06-22,20794.0,Suggestion Boxes
29,2020-06-23,20794.0,Suggestion Boxes
30,2020-06-24,20794.0,Suggestion Boxes
31,2020-06-25,20794.0,Suggestion Boxes
32,2020-06-26,20794.0,Suggestion Boxes
33,2020-06-27,20794.0,Suggestion Boxes
34,2020-06-28,20794.0,Suggestion Boxes
35,2020-06-29,17942.0,Suggestion Boxes
36,2020-06-30,14000.0,Suggestion Boxes
37,2020-07-01,23924.0,Suggestion Boxes
38,2020-07-02,15140.0,Suggestion Boxes
39,2020-07-03,15140.0,Suggestion Boxes
40,2020-07-04,18328.0,Suggestion Boxes
41,2020-07-05,18328.0,Suggestion Boxes
42,2020-07-06,18328.0,Suggestion Boxes
43,2020-07-07,31652.0,Suggestion Boxes
44,2020-07-08,31652.0,Suggestion Boxes
45,2020-07-09,31652.0,Suggestion Boxes
46,2020-07-10,31652.0,Suggestion Boxes
47,2020-07-11,20534.0,Suggestion Boxes
48,2020-07-12,20534.0,Suggestion Boxes
49,2020-07-13,16921.0,Suggestion Boxes
50,2020-07-14,16921.0,Suggestion Boxes
51,2020-07-15,20164.0,Suggestion Boxes
52,2020-07-16,17664.0,Suggestion Boxes
53,2020-07-17,17664.0,Suggestion Boxes
54,2020-07-18,17664.0,Suggestion Boxes
55,2020-07-19,17664.0,Suggestion Boxes
56,2020-07-20,17664.0,Suggestion Boxes
57,2020-07-21,17184.0,Suggestion Boxes
58,2020-07-22,17184.0,Suggestion Boxes
59,2020-07-23,17184.0,Suggestion Boxes
60,2020-07-24,15488.0,Suggestion Boxes
61,2020-07-25,15488.0,Suggestion Boxes
62,2020-07-26,15488.0,Suggestion Boxes
63,2020-07-27,17351.0,Suggestion Boxes
64,2020-07-28,17351.0,Suggestion Boxes
65,2020-07-29,17427.0,Suggestion Boxes
66,2020-07-30,17427.0,Suggestion Boxes
67,2020-07-31,17427.0,Suggestion Boxes
68,2020-08-01,17427.0,Suggestion Boxes
69,2020-08-02,17427.0,Suggestion Boxes
70,2020-08-03,33448.0,Suggestion Boxes
71,2020-08-04,33448.0,Suggestion Boxes
72,2020-08-05,29740.0,Suggestion Boxes
73,2020-08-06,29740.0,Suggestion Boxes
74,2020-08-07,29740.0,Suggestion Boxes
75,2020-08-08,30920.0,Suggestion Boxes
76,2020-08-09,30920.0,Suggestion Boxes
77,2020-08-10,30920.0,Suggestion Boxes
78,2020-08-11,30920.0,Suggestion Boxes
79,2020-08-12,30920.0,Suggestion Boxes
80,2020-08-13,30920.0,Suggestion Boxes
81,2020-08-14,20341.0,Suggestion Boxes
82,2020-08-15,20341.0,Suggestion Boxes
83,2020-08-16,20341.0,Suggestion Boxes
84,2020-08-17,20341.0,Suggestion Boxes
85,2020-08-18,20341.0,Suggestion Boxes
86,2020-08-19,20341.0,Suggestion Boxes
87,2020-08-20,20341.0,Suggestion Boxes
88,2020-08-21,22808.0,Suggestion Boxes
89,2020-08-22,24584.0,Suggestion Boxes
90,2020-08-23,24584.0,Suggestion Boxes
91,2020-08-24,24584.0,Suggestion Boxes
92,2020-08-25,24584.0,Suggestion Boxes
93,2020-08-26,20465.0,Suggestion Boxes
94,2020-08-27,20465.0,Suggestion Boxes
95,2020-08-28,15590.0,Suggestion Boxes
96,2020-08-29,15590.0,Suggestion Boxes
97,2020-08-30,15590.0,Suggestion Boxes
98,2020-08-31,15590.0,Suggestion Boxes
99,2020-09-01,15590.0,Suggestion Boxes
100,2020-09-02,15590.0,Suggestion Boxes
101,2020-09-03,18156.0,Suggestion Boxes
102,2020-09-04,20728.0,Suggestion Boxes
103,2020-09-05,20728.0,Suggestion Boxes
104,2020-09-06,20728.0,Suggestion Boxes
105,2020-09-07,20728.0,Suggestion Boxes
106,2020-09-08,21295.0,Suggestion Boxes
