,date,value,name_B075F6YWSM
0,2018-07-12,46692.0,Mists & Hydrosols
1,2018-07-13,38583.0,Mists & Hydrosols
2,2018-07-14,27592.0,Mists & Hydrosols
3,2018-07-15,31520.0,Mists & Hydrosols
4,2018-07-16,57575.0,Mists & Hydrosols
5,2018-07-17,57575.0,Mists & Hydrosols
6,2018-07-18,57575.0,Mists & Hydrosols
7,2018-07-19,57575.0,Mists & Hydrosols
8,2018-07-20,56597.0,Mists & Hydrosols
9,2018-07-21,35710.0,Mists & Hydrosols
10,2018-07-22,18667.0,Mists & Hydrosols
11,2018-07-23,18667.0,Mists & Hydrosols
12,2018-07-24,18667.0,Mists & Hydrosols
13,2018-07-25,18667.0,Mists & Hydrosols
14,2018-07-26,18667.0,Mists & Hydrosols
15,2018-07-27,54312.0,Mists & Hydrosols
16,2018-07-28,54312.0,Mists & Hydrosols
17,2018-07-29,54312.0,Mists & Hydrosols
18,2018-07-30,42990.0,Mists & Hydrosols
19,2018-07-31,51430.0,Mists & Hydrosols
20,2018-08-01,47410.0,Mists & Hydrosols
21,2018-08-02,47410.0,Mists & Hydrosols
22,2018-08-03,35202.0,Mists & Hydrosols
23,2018-08-04,35202.0,Mists & Hydrosols
24,2018-08-05,47308.0,Mists & Hydrosols
25,2018-08-06,47308.0,Mists & Hydrosols
26,2018-08-07,26508.0,Mists & Hydrosols
27,2018-08-08,51691.0,Mists & Hydrosols
28,2018-08-09,51691.0,Mists & Hydrosols
29,2018-08-10,51691.0,Mists & Hydrosols
30,2018-08-11,51691.0,Mists & Hydrosols
31,2018-08-12,34000.0,Mists & Hydrosols
32,2018-08-13,28703.0,Mists & Hydrosols
33,2018-08-14,28703.0,Mists & Hydrosols
34,2018-08-15,28703.0,Mists & Hydrosols
35,2018-08-16,28703.0,Mists & Hydrosols
36,2018-08-17,28703.0,Mists & Hydrosols
37,2018-08-18,28703.0,Mists & Hydrosols
38,2018-08-19,28703.0,Mists & Hydrosols
39,2018-08-20,30262.0,Mists & Hydrosols
40,2018-08-21,29027.0,Mists & Hydrosols
41,2018-08-22,33040.0,Mists & Hydrosols
42,2018-08-23,33040.0,Mists & Hydrosols
43,2018-08-24,28463.0,Mists & Hydrosols
44,2018-08-25,19526.0,Mists & Hydrosols
45,2018-08-26,17953.0,Mists & Hydrosols
46,2018-08-27,20650.0,Mists & Hydrosols
47,2018-08-28,40396.0,Mists & Hydrosols
48,2018-08-29,26240.0,Mists & Hydrosols
