,date,value,name_B091Q2M8YY
0,2021-04-10,58580.0,Magnetic Frames
1,2021-04-11,58580.0,Magnetic Frames
2,2021-04-12,58580.0,Magnetic Frames
3,2021-04-13,51803.0,Magnetic Frames
4,2021-04-14,51803.0,Magnetic Frames
5,2021-04-15,51803.0,Magnetic Frames
6,2021-04-16,35367.0,Magnetic Frames
7,2021-04-17,35367.0,Magnetic Frames
8,2021-04-18,35367.0,Magnetic Frames
9,2021-04-19,35367.0,Magnetic Frames
10,2021-04-20,35367.0,Magnetic Frames
11,2021-04-21,51392.0,Magnetic Frames
12,2021-04-22,51392.0,Magnetic Frames
13,2021-04-23,44193.0,Magnetic Frames
14,2021-04-24,48936.0,Magnetic Frames
15,2021-04-25,48936.0,Magnetic Frames
16,2021-04-26,48936.0,Magnetic Frames
17,2021-04-27,48936.0,Magnetic Frames
18,2021-04-28,48936.0,Magnetic Frames
19,2021-04-29,32390.0,Magnetic Frames
20,2021-04-30,32390.0,Magnetic Frames
21,2021-05-01,37317.0,Magnetic Frames
22,2021-05-02,37317.0,Magnetic Frames
23,2021-05-03,37317.0,Magnetic Frames
24,2021-05-04,31652.0,Magnetic Frames
25,2021-05-05,31652.0,Magnetic Frames
26,2021-05-06,31652.0,Magnetic Frames
27,2021-05-07,31652.0,Magnetic Frames
28,2021-05-08,31652.0,Magnetic Frames
29,2021-05-09,31652.0,Magnetic Frames
30,2021-05-10,26151.0,Magnetic Frames
31,2021-05-11,28024.0,Magnetic Frames
32,2021-05-12,28024.0,Magnetic Frames
33,2021-05-13,28024.0,Magnetic Frames
34,2021-05-14,31247.0,Magnetic Frames
35,2021-05-15,31247.0,Magnetic Frames
36,2021-05-16,31247.0,Magnetic Frames
37,2021-05-17,29103.0,Magnetic Frames
38,2021-05-18,26344.0,Magnetic Frames
39,2021-05-19,30181.0,Magnetic Frames
40,2021-05-20,22803.0,Magnetic Frames
41,2021-05-21,22803.0,Magnetic Frames
42,2021-05-22,22803.0,Magnetic Frames
43,2021-05-23,22803.0,Magnetic Frames
44,2021-05-24,36973.0,Magnetic Frames
45,2021-05-25,28689.0,Magnetic Frames
46,2021-05-26,28689.0,Magnetic Frames
47,2021-05-27,31346.0,Magnetic Frames
48,2021-05-28,31346.0,Magnetic Frames
49,2021-05-29,31346.0,Magnetic Frames
50,2021-05-30,31346.0,Magnetic Frames
51,2021-05-31,24738.0,Magnetic Frames
52,2021-06-01,39697.0,Magnetic Frames
53,2021-06-02,34098.0,Magnetic Frames
54,2021-06-03,34098.0,Magnetic Frames
55,2021-06-04,34098.0,Magnetic Frames
56,2021-06-05,33432.0,Magnetic Frames
57,2021-06-06,41386.0,Magnetic Frames
58,2021-06-07,41386.0,Magnetic Frames
59,2021-06-08,41386.0,Magnetic Frames
60,2021-06-09,23354.0,Magnetic Frames
61,2021-06-10,20338.0,Magnetic Frames
62,2021-06-11,20338.0,Magnetic Frames
63,2021-06-12,20338.0,Magnetic Frames
64,2021-06-13,20338.0,Magnetic Frames
65,2021-06-14,20338.0,Magnetic Frames
66,2021-06-15,28039.0,Magnetic Frames
67,2021-06-16,28039.0,Magnetic Frames
68,2021-06-17,28039.0,Magnetic Frames
69,2021-06-18,28039.0,Magnetic Frames
70,2021-06-19,28039.0,Magnetic Frames
71,2021-06-20,32096.0,Magnetic Frames
72,2021-06-21,32096.0,Magnetic Frames
73,2021-06-22,32380.0,Magnetic Frames
74,2021-06-23,32380.0,Magnetic Frames
75,2021-06-24,32755.0,Magnetic Frames
76,2021-06-25,32755.0,Magnetic Frames
77,2021-06-26,32755.0,Magnetic Frames
78,2021-06-27,32755.0,Magnetic Frames
79,2021-06-28,32755.0,Magnetic Frames
80,2021-06-29,26080.0,Magnetic Frames
81,2021-06-30,21204.0,Magnetic Frames
82,2021-07-01,32609.0,Magnetic Frames
83,2021-07-02,32609.0,Magnetic Frames
84,2021-07-03,32609.0,Magnetic Frames
85,2021-07-04,34365.0,Magnetic Frames
86,2021-07-05,34365.0,Magnetic Frames
87,2021-07-06,27874.0,Magnetic Frames
88,2021-07-07,27874.0,Magnetic Frames
89,2021-07-08,27874.0,Magnetic Frames
90,2021-07-09,23256.0,Magnetic Frames
91,2021-07-10,36747.0,Magnetic Frames
