,date,value,name_B08KR9C2YX
0,2020-10-10,9085.0,Red Yeast Rice
1,2020-10-11,9085.0,Red Yeast Rice
2,2020-10-12,9085.0,Red Yeast Rice
3,2020-10-13,8219.0,Red Yeast Rice
4,2020-10-14,8219.0,Red Yeast Rice
5,2020-10-15,9767.0,Red Yeast Rice
6,2020-10-16,9767.0,Red Yeast Rice
7,2020-10-17,9767.0,Red Yeast Rice
8,2020-10-18,9767.0,Red Yeast Rice
9,2020-10-19,7070.0,Red Yeast Rice
10,2020-10-20,7070.0,Red Yeast Rice
11,2020-10-21,7652.0,Red Yeast Rice
12,2020-10-22,7652.0,Red Yeast Rice
13,2020-10-23,7862.0,Red Yeast Rice
14,2020-10-24,7862.0,Red Yeast Rice
15,2020-10-25,7862.0,Red Yeast Rice
16,2020-10-26,9007.0,Red Yeast Rice
17,2020-10-27,11514.0,Red Yeast Rice
18,2020-10-28,11514.0,Red Yeast Rice
19,2020-10-29,9846.0,Red Yeast Rice
20,2020-10-30,9846.0,Red Yeast Rice
21,2020-10-31,9499.0,Red Yeast Rice
22,2020-11-01,9499.0,Red Yeast Rice
23,2020-11-02,9499.0,Red Yeast Rice
24,2020-11-03,9050.0,Red Yeast Rice
25,2020-11-04,9068.0,Red Yeast Rice
26,2020-11-05,10301.0,Red Yeast Rice
27,2020-11-06,10301.0,Red Yeast Rice
28,2020-11-07,8847.0,Red Yeast Rice
29,2020-11-08,8847.0,Red Yeast Rice
30,2020-11-09,9670.0,Red Yeast Rice
31,2020-11-10,8686.0,Red Yeast Rice
32,2020-11-11,8686.0,Red Yeast Rice
33,2020-11-12,8686.0,Red Yeast Rice
34,2020-11-13,10508.0,Red Yeast Rice
35,2020-11-14,10508.0,Red Yeast Rice
36,2020-11-15,12025.0,Red Yeast Rice
37,2020-11-16,12025.0,Red Yeast Rice
38,2020-11-17,12025.0,Red Yeast Rice
39,2020-11-18,10207.0,Red Yeast Rice
40,2020-11-19,10207.0,Red Yeast Rice
41,2020-11-20,10207.0,Red Yeast Rice
42,2020-11-21,10194.0,Red Yeast Rice
43,2020-11-22,11668.0,Red Yeast Rice
44,2020-11-23,11950.0,Red Yeast Rice
45,2020-11-24,11950.0,Red Yeast Rice
46,2020-11-25,9768.0,Red Yeast Rice
47,2020-11-26,10629.0,Red Yeast Rice
48,2020-11-27,10629.0,Red Yeast Rice
49,2020-11-28,12813.0,Red Yeast Rice
50,2020-11-29,12813.0,Red Yeast Rice
51,2020-11-30,13010.0,Red Yeast Rice
52,2020-12-01,13775.0,Red Yeast Rice
53,2020-12-02,10392.0,Red Yeast Rice
54,2020-12-03,10392.0,Red Yeast Rice
55,2020-12-04,10392.0,Red Yeast Rice
56,2020-12-05,11107.0,Red Yeast Rice
57,2020-12-06,11107.0,Red Yeast Rice
58,2020-12-07,11224.0,Red Yeast Rice
59,2020-12-08,11887.0,Red Yeast Rice
60,2020-12-09,11887.0,Red Yeast Rice
61,2020-12-10,11887.0,Red Yeast Rice
62,2020-12-11,8788.0,Red Yeast Rice
63,2020-12-12,8788.0,Red Yeast Rice
64,2020-12-13,12302.0,Red Yeast Rice
65,2020-12-14,12302.0,Red Yeast Rice
66,2020-12-15,12302.0,Red Yeast Rice
67,2020-12-16,10653.0,Red Yeast Rice
68,2020-12-17,10653.0,Red Yeast Rice
69,2020-12-18,10653.0,Red Yeast Rice
70,2020-12-19,11399.0,Red Yeast Rice
71,2020-12-20,9577.0,Red Yeast Rice
72,2020-12-21,9577.0,Red Yeast Rice
73,2020-12-22,10705.0,Red Yeast Rice
74,2020-12-23,10705.0,Red Yeast Rice
75,2020-12-24,10274.0,Red Yeast Rice
76,2020-12-25,11082.0,Red Yeast Rice
77,2020-12-26,11082.0,Red Yeast Rice
78,2020-12-27,12506.0,Red Yeast Rice
79,2020-12-28,12506.0,Red Yeast Rice
80,2020-12-29,10048.0,Red Yeast Rice
81,2020-12-30,10350.0,Red Yeast Rice
82,2020-12-31,10350.0,Red Yeast Rice
83,2021-01-01,10200.0,Red Yeast Rice
