,date,value,name_B08FHWWVJ1
0,2020-08-12,7612.0,"Sheet Protectors, Card & Photo Sleeves"
1,2020-08-13,7612.0,"Sheet Protectors, Card & Photo Sleeves"
2,2020-08-14,6264.0,"Sheet Protectors, Card & Photo Sleeves"
3,2020-08-15,6264.0,"Sheet Protectors, Card & Photo Sleeves"
4,2020-08-16,8712.0,"Sheet Protectors, Card & Photo Sleeves"
5,2020-08-17,6196.0,"Sheet Protectors, Card & Photo Sleeves"
6,2020-08-18,5439.0,"Sheet Protectors, Card & Photo Sleeves"
7,2020-08-19,6579.0,"Sheet Protectors, Card & Photo Sleeves"
8,2020-08-20,5197.0,"Sheet Protectors, Card & Photo Sleeves"
9,2020-08-21,5370.0,"Sheet Protectors, Card & Photo Sleeves"
10,2020-08-22,5370.0,"Sheet Protectors, Card & Photo Sleeves"
11,2020-08-23,7915.0,"Sheet Protectors, Card & Photo Sleeves"
12,2020-08-24,8210.0,"Sheet Protectors, Card & Photo Sleeves"
13,2020-08-25,7960.0,"Sheet Protectors, Card & Photo Sleeves"
14,2020-08-26,7960.0,"Sheet Protectors, Card & Photo Sleeves"
15,2020-08-27,7933.0,"Sheet Protectors, Card & Photo Sleeves"
16,2020-08-28,7933.0,"Sheet Protectors, Card & Photo Sleeves"
17,2020-08-29,7933.0,"Sheet Protectors, Card & Photo Sleeves"
18,2020-08-30,7933.0,"Sheet Protectors, Card & Photo Sleeves"
19,2020-08-31,8082.0,"Sheet Protectors, Card & Photo Sleeves"
20,2020-09-01,8082.0,"Sheet Protectors, Card & Photo Sleeves"
21,2020-09-02,5529.0,"Sheet Protectors, Card & Photo Sleeves"
22,2020-09-03,5529.0,"Sheet Protectors, Card & Photo Sleeves"
23,2020-09-04,5529.0,"Sheet Protectors, Card & Photo Sleeves"
24,2020-09-05,3389.0,"Sheet Protectors, Card & Photo Sleeves"
25,2020-09-06,3389.0,"Sheet Protectors, Card & Photo Sleeves"
26,2020-09-07,3639.0,"Sheet Protectors, Card & Photo Sleeves"
27,2020-09-08,2895.0,"Sheet Protectors, Card & Photo Sleeves"
28,2020-09-09,2895.0,"Sheet Protectors, Card & Photo Sleeves"
29,2020-09-10,2895.0,"Sheet Protectors, Card & Photo Sleeves"
30,2020-09-11,2012.0,"Sheet Protectors, Card & Photo Sleeves"
31,2020-09-12,1858.0,"Sheet Protectors, Card & Photo Sleeves"
32,2020-09-13,1858.0,"Sheet Protectors, Card & Photo Sleeves"
33,2020-09-14,1902.0,"Sheet Protectors, Card & Photo Sleeves"
34,2020-09-15,1902.0,"Sheet Protectors, Card & Photo Sleeves"
35,2020-09-16,1673.0,"Sheet Protectors, Card & Photo Sleeves"
36,2020-09-17,1673.0,"Sheet Protectors, Card & Photo Sleeves"
37,2020-09-18,1989.0,"Sheet Protectors, Card & Photo Sleeves"
38,2020-09-19,1989.0,"Sheet Protectors, Card & Photo Sleeves"
39,2020-09-20,1989.0,"Sheet Protectors, Card & Photo Sleeves"
40,2020-09-21,1989.0,"Sheet Protectors, Card & Photo Sleeves"
41,2020-09-22,2096.0,"Sheet Protectors, Card & Photo Sleeves"
42,2020-09-23,2096.0,"Sheet Protectors, Card & Photo Sleeves"
43,2020-09-24,2626.0,"Sheet Protectors, Card & Photo Sleeves"
44,2020-09-25,2626.0,"Sheet Protectors, Card & Photo Sleeves"
45,2020-09-26,2471.0,"Sheet Protectors, Card & Photo Sleeves"
46,2020-09-27,2891.0,"Sheet Protectors, Card & Photo Sleeves"
47,2020-09-28,3100.0,"Sheet Protectors, Card & Photo Sleeves"
48,2020-09-29,2563.0,"Sheet Protectors, Card & Photo Sleeves"
49,2020-09-30,2563.0,"Sheet Protectors, Card & Photo Sleeves"
50,2020-10-01,2904.0,"Sheet Protectors, Card & Photo Sleeves"
51,2020-10-02,2248.0,"Sheet Protectors, Card & Photo Sleeves"
52,2020-10-03,2248.0,"Sheet Protectors, Card & Photo Sleeves"
53,2020-10-04,2248.0,"Sheet Protectors, Card & Photo Sleeves"
54,2020-10-05,2248.0,"Sheet Protectors, Card & Photo Sleeves"
55,2020-10-06,2742.0,"Sheet Protectors, Card & Photo Sleeves"
56,2020-10-07,2686.0,"Sheet Protectors, Card & Photo Sleeves"
57,2020-10-08,2686.0,"Sheet Protectors, Card & Photo Sleeves"
58,2020-10-09,2686.0,"Sheet Protectors, Card & Photo Sleeves"
59,2020-10-10,4349.0,"Sheet Protectors, Card & Photo Sleeves"
60,2020-10-11,4349.0,"Sheet Protectors, Card & Photo Sleeves"
61,2020-10-12,4349.0,"Sheet Protectors, Card & Photo Sleeves"
62,2020-10-13,6954.0,"Sheet Protectors, Card & Photo Sleeves"
63,2020-10-14,6954.0,"Sheet Protectors, Card & Photo Sleeves"
64,2020-10-15,6509.0,"Sheet Protectors, Card & Photo Sleeves"
65,2020-10-16,6509.0,"Sheet Protectors, Card & Photo Sleeves"
66,2020-10-17,6509.0,"Sheet Protectors, Card & Photo Sleeves"
67,2020-10-18,10570.0,"Sheet Protectors, Card & Photo Sleeves"
