,date,value,name_B0753JSMRW
0,2020-12-21,3965.0,Blended Vitamin & Mineral Supplements
1,2020-12-22,3895.0,Blended Vitamin & Mineral Supplements
2,2020-12-23,3620.0,Blended Vitamin & Mineral Supplements
3,2020-12-24,3628.0,Blended Vitamin & Mineral Supplements
4,2020-12-25,3714.0,Blended Vitamin & Mineral Supplements
5,2020-12-26,3588.0,Blended Vitamin & Mineral Supplements
6,2020-12-27,3570.0,Blended Vitamin & Mineral Supplements
7,2020-12-28,3987.0,Blended Vitamin & Mineral Supplements
8,2020-12-29,3931.0,Blended Vitamin & Mineral Supplements
9,2020-12-30,3931.0,Blended Vitamin & Mineral Supplements
10,2020-12-31,3931.0,Blended Vitamin & Mineral Supplements
11,2021-01-01,3959.0,Blended Vitamin & Mineral Supplements
12,2021-01-02,3792.0,Blended Vitamin & Mineral Supplements
13,2021-01-03,3721.0,Blended Vitamin & Mineral Supplements
14,2021-01-04,3721.0,Blended Vitamin & Mineral Supplements
15,2021-01-05,3721.0,Blended Vitamin & Mineral Supplements
16,2021-01-06,3824.0,Blended Vitamin & Mineral Supplements
17,2021-01-07,3824.0,Blended Vitamin & Mineral Supplements
18,2021-01-08,4188.0,Blended Vitamin & Mineral Supplements
19,2021-01-09,4358.0,Blended Vitamin & Mineral Supplements
20,2021-01-10,4058.0,Blended Vitamin & Mineral Supplements
21,2021-01-11,4196.0,Blended Vitamin & Mineral Supplements
22,2021-01-12,3811.0,Blended Vitamin & Mineral Supplements
23,2021-01-13,3972.0,Blended Vitamin & Mineral Supplements
24,2021-01-14,4589.0,Blended Vitamin & Mineral Supplements
25,2021-01-15,4589.0,Blended Vitamin & Mineral Supplements
26,2021-01-16,3663.0,Blended Vitamin & Mineral Supplements
27,2021-01-17,4314.0,Blended Vitamin & Mineral Supplements
28,2021-01-18,4289.0,Blended Vitamin & Mineral Supplements
29,2021-01-19,4115.0,Blended Vitamin & Mineral Supplements
30,2021-01-20,3980.0,Blended Vitamin & Mineral Supplements
31,2021-01-21,3980.0,Blended Vitamin & Mineral Supplements
32,2021-01-22,3890.0,Blended Vitamin & Mineral Supplements
33,2021-01-23,3924.0,Blended Vitamin & Mineral Supplements
34,2021-01-24,3924.0,Blended Vitamin & Mineral Supplements
35,2021-01-25,3967.0,Blended Vitamin & Mineral Supplements
36,2021-01-26,3673.0,Blended Vitamin & Mineral Supplements
37,2021-01-27,4320.0,Blended Vitamin & Mineral Supplements
38,2021-01-28,4209.0,Blended Vitamin & Mineral Supplements
39,2021-01-29,4390.0,Blended Vitamin & Mineral Supplements
40,2021-01-30,3897.0,Blended Vitamin & Mineral Supplements
41,2021-01-31,4014.0,Blended Vitamin & Mineral Supplements
42,2021-02-01,3414.0,Blended Vitamin & Mineral Supplements
