,date,value,name_B08X15R4G2
0,2021-02-24,20282.0,Pillow Inserts
1,2021-02-25,20282.0,Pillow Inserts
2,2021-02-26,20282.0,Pillow Inserts
3,2021-02-27,9258.0,Pillow Inserts
4,2021-02-28,9258.0,Pillow Inserts
5,2021-03-01,7105.0,Pillow Inserts
6,2021-03-02,7105.0,Pillow Inserts
7,2021-03-03,7105.0,Pillow Inserts
8,2021-03-04,5330.0,Pillow Inserts
9,2021-03-05,5330.0,Pillow Inserts
10,2021-03-06,5330.0,Pillow Inserts
11,2021-03-07,9049.0,Pillow Inserts
12,2021-03-08,9049.0,Pillow Inserts
13,2021-03-09,9049.0,Pillow Inserts
14,2021-03-10,18760.0,Pillow Inserts
15,2021-03-11,18760.0,Pillow Inserts
16,2021-03-12,18760.0,Pillow Inserts
17,2021-03-13,23144.0,Pillow Inserts
18,2021-03-14,23144.0,Pillow Inserts
19,2021-03-15,23144.0,Pillow Inserts
20,2021-03-16,11841.0,Pillow Inserts
21,2021-03-17,11841.0,Pillow Inserts
22,2021-03-18,11841.0,Pillow Inserts
23,2021-03-19,11841.0,Pillow Inserts
24,2021-03-20,11841.0,Pillow Inserts
25,2021-03-21,11841.0,Pillow Inserts
26,2021-03-22,11995.0,Pillow Inserts
27,2021-03-23,11995.0,Pillow Inserts
28,2021-03-24,11995.0,Pillow Inserts
29,2021-03-25,7337.0,Pillow Inserts
30,2021-03-26,7337.0,Pillow Inserts
31,2021-03-27,7337.0,Pillow Inserts
32,2021-03-28,7845.0,Pillow Inserts
33,2021-03-29,7845.0,Pillow Inserts
34,2021-03-30,7845.0,Pillow Inserts
35,2021-03-31,5988.0,Pillow Inserts
36,2021-04-01,6720.0,Pillow Inserts
37,2021-04-02,8485.0,Pillow Inserts
38,2021-04-03,8485.0,Pillow Inserts
39,2021-04-04,6016.0,Pillow Inserts
40,2021-04-05,6016.0,Pillow Inserts
41,2021-04-06,7023.0,Pillow Inserts
42,2021-04-07,7023.0,Pillow Inserts
43,2021-04-08,7023.0,Pillow Inserts
44,2021-04-09,6537.0,Pillow Inserts
45,2021-04-10,6537.0,Pillow Inserts
46,2021-04-11,6537.0,Pillow Inserts
47,2021-04-12,6607.0,Pillow Inserts
48,2021-04-13,6607.0,Pillow Inserts
49,2021-04-14,6607.0,Pillow Inserts
50,2021-04-15,6061.0,Pillow Inserts
51,2021-04-16,6960.0,Pillow Inserts
52,2021-04-17,6960.0,Pillow Inserts
53,2021-04-18,5444.0,Pillow Inserts
54,2021-04-19,5444.0,Pillow Inserts
55,2021-04-20,8507.0,Pillow Inserts
56,2021-04-21,8507.0,Pillow Inserts
57,2021-04-22,8507.0,Pillow Inserts
58,2021-04-23,11096.0,Pillow Inserts
59,2021-04-24,11096.0,Pillow Inserts
60,2021-04-25,13244.0,Pillow Inserts
61,2021-04-26,13244.0,Pillow Inserts
62,2021-04-27,14635.0,Pillow Inserts
63,2021-04-28,14635.0,Pillow Inserts
64,2021-04-29,14635.0,Pillow Inserts
65,2021-04-30,18989.0,Pillow Inserts
66,2021-05-01,18989.0,Pillow Inserts
67,2021-05-02,18989.0,Pillow Inserts
68,2021-05-03,14055.0,Pillow Inserts
