,date,value,name_B083M8D6HN
0,2020-05-27,23584.0,Cast & Wound Covers
1,2020-05-28,23584.0,Cast & Wound Covers
2,2020-05-29,23584.0,Cast & Wound Covers
3,2020-05-30,23584.0,Cast & Wound Covers
4,2020-05-31,23584.0,Cast & Wound Covers
5,2020-06-01,24975.0,Cast & Wound Covers
6,2020-06-02,24975.0,Cast & Wound Covers
7,2020-06-03,22477.0,Cast & Wound Covers
8,2020-06-04,22477.0,Cast & Wound Covers
9,2020-06-05,23273.0,Cast & Wound Covers
10,2020-06-06,23273.0,Cast & Wound Covers
11,2020-06-07,23273.0,Cast & Wound Covers
12,2020-06-08,23273.0,Cast & Wound Covers
13,2020-06-09,23273.0,Cast & Wound Covers
14,2020-06-10,16266.0,Cast & Wound Covers
15,2020-06-11,16266.0,Cast & Wound Covers
16,2020-06-12,21259.0,Cast & Wound Covers
17,2020-06-13,21259.0,Cast & Wound Covers
18,2020-06-14,21259.0,Cast & Wound Covers
19,2020-06-15,21259.0,Cast & Wound Covers
20,2020-06-16,21200.0,Cast & Wound Covers
21,2020-06-17,20399.0,Cast & Wound Covers
22,2020-06-18,20399.0,Cast & Wound Covers
23,2020-06-19,19832.0,Cast & Wound Covers
24,2020-06-20,19832.0,Cast & Wound Covers
25,2020-06-21,19832.0,Cast & Wound Covers
26,2020-06-22,19832.0,Cast & Wound Covers
27,2020-06-23,19832.0,Cast & Wound Covers
28,2020-06-24,19832.0,Cast & Wound Covers
29,2020-06-25,20468.0,Cast & Wound Covers
30,2020-06-26,20468.0,Cast & Wound Covers
31,2020-06-27,20468.0,Cast & Wound Covers
32,2020-06-28,20468.0,Cast & Wound Covers
33,2020-06-29,20468.0,Cast & Wound Covers
34,2020-06-30,20468.0,Cast & Wound Covers
35,2020-07-01,19718.0,Cast & Wound Covers
36,2020-07-02,19718.0,Cast & Wound Covers
37,2020-07-03,19718.0,Cast & Wound Covers
38,2020-07-04,19718.0,Cast & Wound Covers
39,2020-07-05,19718.0,Cast & Wound Covers
40,2020-07-06,19718.0,Cast & Wound Covers
41,2020-07-07,19718.0,Cast & Wound Covers
42,2020-07-08,19718.0,Cast & Wound Covers
43,2020-07-09,22319.0,Cast & Wound Covers
44,2020-07-10,22963.0,Cast & Wound Covers
45,2020-07-11,22963.0,Cast & Wound Covers
46,2020-07-12,22963.0,Cast & Wound Covers
47,2020-07-13,27865.0,Cast & Wound Covers
48,2020-07-14,27865.0,Cast & Wound Covers
49,2020-07-15,27865.0,Cast & Wound Covers
50,2020-07-16,27865.0,Cast & Wound Covers
51,2020-07-17,27865.0,Cast & Wound Covers
52,2020-07-18,23430.0,Cast & Wound Covers
53,2020-07-19,23430.0,Cast & Wound Covers
54,2020-07-20,23430.0,Cast & Wound Covers
55,2020-07-21,33964.0,Cast & Wound Covers
56,2020-07-22,33964.0,Cast & Wound Covers
57,2020-07-23,33964.0,Cast & Wound Covers
58,2020-07-24,20218.0,Cast & Wound Covers
59,2020-07-25,20218.0,Cast & Wound Covers
60,2020-07-26,20218.0,Cast & Wound Covers
61,2020-07-27,34153.0,Cast & Wound Covers
62,2020-07-28,34153.0,Cast & Wound Covers
63,2020-07-29,34153.0,Cast & Wound Covers
64,2020-07-30,32421.0,Cast & Wound Covers
65,2020-07-31,32421.0,Cast & Wound Covers
66,2020-08-01,32421.0,Cast & Wound Covers
67,2020-08-02,32421.0,Cast & Wound Covers
68,2020-08-03,36317.0,Cast & Wound Covers
69,2020-08-04,36317.0,Cast & Wound Covers
70,2020-08-05,32680.0,Cast & Wound Covers
71,2020-08-06,32680.0,Cast & Wound Covers
72,2020-08-07,32680.0,Cast & Wound Covers
73,2020-08-08,32437.0,Cast & Wound Covers
74,2020-08-09,32437.0,Cast & Wound Covers
