,date,value,name_B091CSJG8F
0,2021-05-13,29855.0,Label Holders
1,2021-05-14,21257.0,Label Holders
2,2021-05-15,21257.0,Label Holders
3,2021-05-16,21257.0,Label Holders
4,2021-05-17,11429.0,Label Holders
5,2021-05-18,11429.0,Label Holders
6,2021-05-19,11429.0,Label Holders
7,2021-05-20,19340.0,Label Holders
8,2021-05-21,19340.0,Label Holders
9,2021-05-22,19340.0,Label Holders
10,2021-05-23,19340.0,Label Holders
11,2021-05-24,11828.0,Label Holders
12,2021-05-25,11828.0,Label Holders
13,2021-05-26,23495.0,Label Holders
14,2021-05-27,23495.0,Label Holders
15,2021-05-28,23495.0,Label Holders
16,2021-05-29,23495.0,Label Holders
17,2021-05-30,10408.0,Label Holders
18,2021-05-31,10408.0,Label Holders
19,2021-06-01,9727.0,Label Holders
20,2021-06-02,12708.0,Label Holders
21,2021-06-03,12708.0,Label Holders
22,2021-06-04,12708.0,Label Holders
23,2021-06-05,12708.0,Label Holders
24,2021-06-06,12708.0,Label Holders
25,2021-06-07,10739.0,Label Holders
26,2021-06-08,15533.0,Label Holders
27,2021-06-09,15533.0,Label Holders
28,2021-06-10,21329.0,Label Holders
29,2021-06-11,21329.0,Label Holders
30,2021-06-12,21329.0,Label Holders
31,2021-06-13,21329.0,Label Holders
32,2021-06-14,8342.0,Label Holders
33,2021-06-15,25477.0,Label Holders
34,2021-06-16,25477.0,Label Holders
35,2021-06-17,14850.0,Label Holders
36,2021-06-18,14850.0,Label Holders
37,2021-06-19,14850.0,Label Holders
38,2021-06-20,14850.0,Label Holders
39,2021-06-21,8967.0,Label Holders
40,2021-06-22,3609.0,Label Holders
41,2021-06-23,2160.0,Label Holders
42,2021-06-24,3338.0,Label Holders
43,2021-06-25,4214.0,Label Holders
44,2021-06-26,4747.0,Label Holders
45,2021-06-27,4334.0,Label Holders
46,2021-06-28,4334.0,Label Holders
47,2021-06-29,5573.0,Label Holders
48,2021-06-30,5899.0,Label Holders
49,2021-07-01,5899.0,Label Holders
50,2021-07-02,5899.0,Label Holders
51,2021-07-03,6481.0,Label Holders
52,2021-07-04,5077.0,Label Holders
53,2021-07-05,5077.0,Label Holders
54,2021-07-06,4870.0,Label Holders
55,2021-07-07,5774.0,Label Holders
56,2021-07-08,6709.0,Label Holders
57,2021-07-09,8091.0,Label Holders
