,date,value,name_B08XPXLPM4
0,2021-03-05,9282.0,Kitchen & Dining Features
1,2021-03-06,9282.0,Kitchen & Dining Features
2,2021-03-07,9282.0,Kitchen & Dining Features
3,2021-03-08,2577.0,Kitchen & Dining Features
4,2021-03-09,2458.0,Kitchen & Dining Features
5,2021-03-10,2246.0,Kitchen & Dining Features
6,2021-03-11,2201.0,Kitchen & Dining Features
7,2021-03-12,1778.0,Kitchen & Dining Features
8,2021-03-13,1424.0,Kitchen & Dining Features
9,2021-03-14,1424.0,Kitchen & Dining Features
10,2021-03-15,1346.0,Kitchen & Dining Features
11,2021-03-16,1447.0,Kitchen & Dining Features
12,2021-03-17,1278.0,Kitchen & Dining Features
13,2021-03-18,858.0,Kitchen & Dining Features
14,2021-03-19,880.0,Kitchen & Dining Features
15,2021-03-20,880.0,Kitchen & Dining Features
16,2021-03-21,949.0,Kitchen & Dining Features
17,2021-03-22,1076.0,Kitchen & Dining Features
18,2021-03-23,1079.0,Kitchen & Dining Features
19,2021-03-24,1130.0,Kitchen & Dining Features
20,2021-03-25,1040.0,Kitchen & Dining Features
21,2021-03-26,849.0,Kitchen & Dining Features
22,2021-03-27,849.0,Kitchen & Dining Features
23,2021-03-28,998.0,Kitchen & Dining Features
24,2021-03-29,1069.0,Kitchen & Dining Features
25,2021-03-30,1082.0,Kitchen & Dining Features
26,2021-03-31,1082.0,Kitchen & Dining Features
27,2021-04-01,1121.0,Kitchen & Dining Features
28,2021-04-02,1121.0,Kitchen & Dining Features
29,2021-04-03,1121.0,Kitchen & Dining Features
30,2021-04-04,1121.0,Kitchen & Dining Features
31,2021-04-05,1386.0,Kitchen & Dining Features
32,2021-04-06,1568.0,Kitchen & Dining Features
33,2021-04-07,1371.0,Kitchen & Dining Features
34,2021-04-08,975.0,Kitchen & Dining Features
35,2021-04-09,825.0,Kitchen & Dining Features
36,2021-04-10,825.0,Kitchen & Dining Features
37,2021-04-11,791.0,Kitchen & Dining Features
38,2021-04-12,791.0,Kitchen & Dining Features
39,2021-04-13,982.0,Kitchen & Dining Features
40,2021-04-14,1058.0,Kitchen & Dining Features
41,2021-04-15,1094.0,Kitchen & Dining Features
42,2021-04-16,1094.0,Kitchen & Dining Features
43,2021-04-17,936.0,Kitchen & Dining Features
44,2021-04-18,936.0,Kitchen & Dining Features
45,2021-04-19,1067.0,Kitchen & Dining Features
46,2021-04-20,1166.0,Kitchen & Dining Features
47,2021-04-21,1232.0,Kitchen & Dining Features
48,2021-04-22,1086.0,Kitchen & Dining Features
49,2021-04-23,942.0,Kitchen & Dining Features
50,2021-04-24,942.0,Kitchen & Dining Features
51,2021-04-25,977.0,Kitchen & Dining Features
