,date,value,name_B08Y94CR7V
0,2021-06-01,30318.0,Automatic Feeders
1,2021-06-02,34162.0,Automatic Feeders
2,2021-06-03,32407.0,Automatic Feeders
3,2021-06-04,21477.0,Automatic Feeders
4,2021-06-05,19412.0,Automatic Feeders
5,2021-06-06,21687.0,Automatic Feeders
6,2021-06-07,13857.0,Automatic Feeders
7,2021-06-08,12794.0,Automatic Feeders
8,2021-06-09,12757.0,Automatic Feeders
9,2021-06-10,10574.0,Automatic Feeders
10,2021-06-11,11153.0,Automatic Feeders
11,2021-06-12,10546.0,Automatic Feeders
12,2021-06-13,11625.0,Automatic Feeders
13,2021-06-14,18552.0,Automatic Feeders
14,2021-06-15,31282.0,Automatic Feeders
15,2021-06-16,37321.0,Automatic Feeders
16,2021-06-17,37321.0,Automatic Feeders
17,2021-06-18,40450.0,Automatic Feeders
18,2021-06-19,40450.0,Automatic Feeders
19,2021-06-20,40450.0,Automatic Feeders
20,2021-06-21,40450.0,Automatic Feeders
21,2021-06-22,-1.0,Automatic Feeders
