,date,value,name_B088W99PNJ
0,2020-05-22,7082.0,Floating Shelves
1,2020-05-23,7082.0,Floating Shelves
2,2020-05-24,7082.0,Floating Shelves
3,2020-05-25,10902.0,Floating Shelves
4,2020-05-26,12555.0,Floating Shelves
5,2020-05-27,12555.0,Floating Shelves
6,2020-05-28,12555.0,Floating Shelves
7,2020-05-29,12555.0,Floating Shelves
8,2020-05-30,12995.0,Floating Shelves
9,2020-05-31,12995.0,Floating Shelves
10,2020-06-01,12995.0,Floating Shelves
11,2020-06-02,12330.0,Floating Shelves
12,2020-06-03,10359.0,Floating Shelves
13,2020-06-04,10359.0,Floating Shelves
14,2020-06-05,10359.0,Floating Shelves
15,2020-06-06,10359.0,Floating Shelves
16,2020-06-07,10359.0,Floating Shelves
17,2020-06-08,12479.0,Floating Shelves
18,2020-06-09,12479.0,Floating Shelves
19,2020-06-10,12479.0,Floating Shelves
20,2020-06-11,14186.0,Floating Shelves
21,2020-06-12,14186.0,Floating Shelves
22,2020-06-13,13285.0,Floating Shelves
23,2020-06-14,13285.0,Floating Shelves
24,2020-06-15,13285.0,Floating Shelves
25,2020-06-16,8466.0,Floating Shelves
26,2020-06-17,8466.0,Floating Shelves
27,2020-06-18,8466.0,Floating Shelves
28,2020-06-19,8466.0,Floating Shelves
29,2020-06-20,8913.0,Floating Shelves
30,2020-06-21,8913.0,Floating Shelves
31,2020-06-22,7573.0,Floating Shelves
32,2020-06-23,8110.0,Floating Shelves
33,2020-06-24,8110.0,Floating Shelves
34,2020-06-25,8110.0,Floating Shelves
35,2020-06-26,7028.0,Floating Shelves
36,2020-06-27,7028.0,Floating Shelves
37,2020-06-28,7101.0,Floating Shelves
38,2020-06-29,7101.0,Floating Shelves
39,2020-06-30,7101.0,Floating Shelves
40,2020-07-01,6173.0,Floating Shelves
41,2020-07-02,6173.0,Floating Shelves
42,2020-07-03,6248.0,Floating Shelves
43,2020-07-04,6248.0,Floating Shelves
44,2020-07-05,6136.0,Floating Shelves
45,2020-07-06,6136.0,Floating Shelves
46,2020-07-07,6136.0,Floating Shelves
47,2020-07-08,5021.0,Floating Shelves
48,2020-07-09,5021.0,Floating Shelves
49,2020-07-10,5810.0,Floating Shelves
50,2020-07-11,4547.0,Floating Shelves
51,2020-07-12,4547.0,Floating Shelves
52,2020-07-13,4547.0,Floating Shelves
53,2020-07-14,5973.0,Floating Shelves
54,2020-07-15,5973.0,Floating Shelves
55,2020-07-16,5059.0,Floating Shelves
56,2020-07-17,3076.0,Floating Shelves
57,2020-07-18,3076.0,Floating Shelves
58,2020-07-19,3076.0,Floating Shelves
59,2020-07-20,4492.0,Floating Shelves
60,2020-07-21,4492.0,Floating Shelves
61,2020-07-22,3727.0,Floating Shelves
62,2020-07-23,4057.0,Floating Shelves
63,2020-07-24,4057.0,Floating Shelves
64,2020-07-25,4360.0,Floating Shelves
65,2020-07-26,4360.0,Floating Shelves
66,2020-07-27,4786.0,Floating Shelves
67,2020-07-28,4786.0,Floating Shelves
68,2020-07-29,4132.0,Floating Shelves
69,2020-07-30,4132.0,Floating Shelves
70,2020-07-31,4132.0,Floating Shelves
71,2020-08-01,3022.0,Floating Shelves
72,2020-08-02,3022.0,Floating Shelves
73,2020-08-03,2810.0,Floating Shelves
74,2020-08-04,2810.0,Floating Shelves
75,2020-08-05,2810.0,Floating Shelves
76,2020-08-06,2263.0,Floating Shelves
77,2020-08-07,2263.0,Floating Shelves
78,2020-08-08,1898.0,Floating Shelves
79,2020-08-09,1898.0,Floating Shelves
80,2020-08-10,1946.0,Floating Shelves
81,2020-08-11,1946.0,Floating Shelves
82,2020-08-12,1946.0,Floating Shelves
83,2020-08-13,1946.0,Floating Shelves
84,2020-08-14,2326.0,Floating Shelves
85,2020-08-15,2408.0,Floating Shelves
86,2020-08-16,2408.0,Floating Shelves
87,2020-08-17,1326.0,Floating Shelves
88,2020-08-18,1326.0,Floating Shelves
89,2020-08-19,1571.0,Floating Shelves
90,2020-08-20,1910.0,Floating Shelves
91,2020-08-21,2993.0,Floating Shelves
92,2020-08-22,2570.0,Floating Shelves
93,2020-08-23,2570.0,Floating Shelves
94,2020-08-24,3320.0,Floating Shelves
95,2020-08-25,3320.0,Floating Shelves
96,2020-08-26,3320.0,Floating Shelves
97,2020-08-27,4793.0,Floating Shelves
98,2020-08-28,5209.0,Floating Shelves
99,2020-08-29,4887.0,Floating Shelves
100,2020-08-30,4262.0,Floating Shelves
101,2020-08-31,4262.0,Floating Shelves
102,2020-09-01,5349.0,Floating Shelves
103,2020-09-02,5197.0,Floating Shelves
104,2020-09-03,5197.0,Floating Shelves
105,2020-09-04,4447.0,Floating Shelves
106,2020-09-05,4447.0,Floating Shelves
107,2020-09-06,4482.0,Floating Shelves
108,2020-09-07,4842.0,Floating Shelves
109,2020-09-08,1870.0,Floating Shelves
110,2020-09-09,1468.0,Floating Shelves
111,2020-09-10,1563.0,Floating Shelves
112,2020-09-11,1527.0,Floating Shelves
113,2020-09-12,1527.0,Floating Shelves
114,2020-09-13,1527.0,Floating Shelves
115,2020-09-14,1357.0,Floating Shelves
116,2020-09-15,2523.0,Floating Shelves
117,2020-09-16,2523.0,Floating Shelves
118,2020-09-17,4388.0,Floating Shelves
119,2020-09-18,4388.0,Floating Shelves
120,2020-09-19,4388.0,Floating Shelves
121,2020-09-20,4802.0,Floating Shelves
122,2020-09-21,4802.0,Floating Shelves
123,2020-09-22,4406.0,Floating Shelves
124,2020-09-23,5486.0,Floating Shelves
125,2020-09-24,5027.0,Floating Shelves
126,2020-09-25,5027.0,Floating Shelves
127,2020-09-26,5027.0,Floating Shelves
128,2020-09-27,6835.0,Floating Shelves
129,2020-09-28,6188.0,Floating Shelves
130,2020-09-29,6188.0,Floating Shelves
131,2020-09-30,7298.0,Floating Shelves
132,2020-10-01,7298.0,Floating Shelves
133,2020-10-02,7298.0,Floating Shelves
134,2020-10-03,7933.0,Floating Shelves
135,2020-10-04,7933.0,Floating Shelves
136,2020-10-05,7466.0,Floating Shelves
137,2020-10-06,7466.0,Floating Shelves
138,2020-10-07,7466.0,Floating Shelves
139,2020-10-08,7466.0,Floating Shelves
140,2020-10-09,8031.0,Floating Shelves
141,2020-10-10,8031.0,Floating Shelves
142,2020-10-11,8031.0,Floating Shelves
143,2020-10-12,6364.0,Floating Shelves
144,2020-10-13,5942.0,Floating Shelves
145,2020-10-14,2582.0,Floating Shelves
146,2020-10-15,2339.0,Floating Shelves
147,2020-10-16,2339.0,Floating Shelves
148,2020-10-17,4110.0,Floating Shelves
149,2020-10-18,4110.0,Floating Shelves
150,2020-10-19,4110.0,Floating Shelves
151,2020-10-20,5742.0,Floating Shelves
152,2020-10-21,5742.0,Floating Shelves
153,2020-10-22,6560.0,Floating Shelves
154,2020-10-23,8151.0,Floating Shelves
155,2020-10-24,8151.0,Floating Shelves
156,2020-10-25,7856.0,Floating Shelves
157,2020-10-26,7410.0,Floating Shelves
158,2020-10-27,7410.0,Floating Shelves
159,2020-10-28,3023.0,Floating Shelves
160,2020-10-29,2729.0,Floating Shelves
161,2020-10-30,2729.0,Floating Shelves
162,2020-10-31,2512.0,Floating Shelves
163,2020-11-01,2512.0,Floating Shelves
164,2020-11-02,2325.0,Floating Shelves
165,2020-11-03,2325.0,Floating Shelves
166,2020-11-04,5619.0,Floating Shelves
167,2020-11-05,5619.0,Floating Shelves
168,2020-11-06,5619.0,Floating Shelves
169,2020-11-07,7177.0,Floating Shelves
170,2020-11-08,7177.0,Floating Shelves
171,2020-11-09,7411.0,Floating Shelves
172,2020-11-10,8983.0,Floating Shelves
173,2020-11-11,9538.0,Floating Shelves
174,2020-11-12,8885.0,Floating Shelves
175,2020-11-13,8885.0,Floating Shelves
176,2020-11-14,9543.0,Floating Shelves
177,2020-11-15,9543.0,Floating Shelves
178,2020-11-16,9543.0,Floating Shelves
179,2020-11-17,9543.0,Floating Shelves
180,2020-11-18,12785.0,Floating Shelves
181,2020-11-19,12785.0,Floating Shelves
182,2020-11-20,9418.0,Floating Shelves
183,2020-11-21,9418.0,Floating Shelves
184,2020-11-22,9418.0,Floating Shelves
185,2020-11-23,9418.0,Floating Shelves
186,2020-11-24,9418.0,Floating Shelves
187,2020-11-25,14850.0,Floating Shelves
188,2020-11-26,14850.0,Floating Shelves
189,2020-11-27,15972.0,Floating Shelves
190,2020-11-28,15972.0,Floating Shelves
191,2020-11-29,14166.0,Floating Shelves
192,2020-11-30,13719.0,Floating Shelves
193,2020-12-01,4771.0,Floating Shelves
194,2020-12-02,4771.0,Floating Shelves
195,2020-12-03,4771.0,Floating Shelves
196,2020-12-04,4495.0,Floating Shelves
197,2020-12-05,4495.0,Floating Shelves
198,2020-12-06,4495.0,Floating Shelves
199,2020-12-07,5117.0,Floating Shelves
200,2020-12-08,6773.0,Floating Shelves
201,2020-12-09,6773.0,Floating Shelves
202,2020-12-10,8267.0,Floating Shelves
203,2020-12-11,10639.0,Floating Shelves
204,2020-12-12,10316.0,Floating Shelves
205,2020-12-13,10171.0,Floating Shelves
206,2020-12-14,9507.0,Floating Shelves
207,2020-12-15,9637.0,Floating Shelves
208,2020-12-16,11122.0,Floating Shelves
209,2020-12-17,11050.0,Floating Shelves
210,2020-12-18,5191.0,Floating Shelves
211,2020-12-19,9614.0,Floating Shelves
212,2020-12-20,9458.0,Floating Shelves
213,2020-12-21,10042.0,Floating Shelves
214,2020-12-22,8390.0,Floating Shelves
215,2020-12-23,8977.0,Floating Shelves
216,2020-12-24,8085.0,Floating Shelves
217,2020-12-25,10181.0,Floating Shelves
218,2020-12-26,11245.0,Floating Shelves
219,2020-12-27,7531.0,Floating Shelves
220,2020-12-28,6315.0,Floating Shelves
221,2020-12-29,6343.0,Floating Shelves
222,2020-12-30,7685.0,Floating Shelves
223,2020-12-31,5576.0,Floating Shelves
224,2021-01-01,5897.0,Floating Shelves
225,2021-01-02,5588.0,Floating Shelves
226,2021-01-03,5671.0,Floating Shelves
227,2021-01-04,4771.0,Floating Shelves
228,2021-01-05,3760.0,Floating Shelves
229,2021-01-06,2565.0,Floating Shelves
230,2021-01-07,2386.0,Floating Shelves
231,2021-01-08,2201.0,Floating Shelves
232,2021-01-09,2189.0,Floating Shelves
233,2021-01-10,1915.0,Floating Shelves
234,2021-01-11,1720.0,Floating Shelves
235,2021-01-12,1720.0,Floating Shelves
236,2021-01-13,3077.0,Floating Shelves
237,2021-01-14,3077.0,Floating Shelves
238,2021-01-15,3324.0,Floating Shelves
239,2021-01-16,3324.0,Floating Shelves
240,2021-01-17,3324.0,Floating Shelves
241,2021-01-18,3472.0,Floating Shelves
242,2021-01-19,4311.0,Floating Shelves
243,2021-01-20,4311.0,Floating Shelves
244,2021-01-21,4311.0,Floating Shelves
245,2021-01-22,5182.0,Floating Shelves
246,2021-01-23,5182.0,Floating Shelves
247,2021-01-24,4700.0,Floating Shelves
248,2021-01-25,4576.0,Floating Shelves
249,2021-01-26,4576.0,Floating Shelves
250,2021-01-27,5240.0,Floating Shelves
251,2021-01-28,6258.0,Floating Shelves
252,2021-01-29,6258.0,Floating Shelves
253,2021-01-30,5954.0,Floating Shelves
254,2021-01-31,5954.0,Floating Shelves
255,2021-02-01,7051.0,Floating Shelves
256,2021-02-02,7051.0,Floating Shelves
257,2021-02-03,6580.0,Floating Shelves
258,2021-02-04,6580.0,Floating Shelves
259,2021-02-05,6580.0,Floating Shelves
260,2021-02-06,6562.0,Floating Shelves
261,2021-02-07,6562.0,Floating Shelves
262,2021-02-08,6675.0,Floating Shelves
263,2021-02-09,6675.0,Floating Shelves
264,2021-02-10,6787.0,Floating Shelves
265,2021-02-11,5523.0,Floating Shelves
266,2021-02-12,5523.0,Floating Shelves
267,2021-02-13,5523.0,Floating Shelves
268,2021-02-14,5678.0,Floating Shelves
269,2021-02-15,6297.0,Floating Shelves
270,2021-02-16,6297.0,Floating Shelves
271,2021-02-17,6297.0,Floating Shelves
272,2021-02-18,6128.0,Floating Shelves
273,2021-02-19,7750.0,Floating Shelves
274,2021-02-20,7811.0,Floating Shelves
275,2021-02-21,6451.0,Floating Shelves
276,2021-02-22,6451.0,Floating Shelves
277,2021-02-23,4658.0,Floating Shelves
278,2021-02-24,6237.0,Floating Shelves
279,2021-02-25,6237.0,Floating Shelves
280,2021-02-26,6455.0,Floating Shelves
281,2021-02-27,4916.0,Floating Shelves
282,2021-02-28,4916.0,Floating Shelves
283,2021-03-01,6484.0,Floating Shelves
284,2021-03-02,6484.0,Floating Shelves
285,2021-03-03,6484.0,Floating Shelves
286,2021-03-04,8264.0,Floating Shelves
287,2021-03-05,5716.0,Floating Shelves
288,2021-03-06,5716.0,Floating Shelves
289,2021-03-07,5716.0,Floating Shelves
290,2021-03-08,4618.0,Floating Shelves
291,2021-03-09,5776.0,Floating Shelves
292,2021-03-10,5776.0,Floating Shelves
293,2021-03-11,4577.0,Floating Shelves
