,date,value,name_B0845N379T
0,2020-05-25,917.0,Paper & Paper Crafts
1,2020-05-26,917.0,Paper & Paper Crafts
2,2020-05-27,1143.0,Paper & Paper Crafts
3,2020-05-28,1144.0,Paper & Paper Crafts
4,2020-05-29,1072.0,Paper & Paper Crafts
5,2020-05-30,1072.0,Paper & Paper Crafts
6,2020-05-31,1136.0,Paper & Paper Crafts
7,2020-06-01,1201.0,Paper & Paper Crafts
8,2020-06-02,1201.0,Paper & Paper Crafts
9,2020-06-03,1815.0,Paper & Paper Crafts
10,2020-06-04,2081.0,Paper & Paper Crafts
11,2020-06-05,2081.0,Paper & Paper Crafts
12,2020-06-06,2081.0,Paper & Paper Crafts
13,2020-06-07,1128.0,Paper & Paper Crafts
14,2020-06-08,1128.0,Paper & Paper Crafts
15,2020-06-09,927.0,Paper & Paper Crafts
16,2020-06-10,927.0,Paper & Paper Crafts
17,2020-06-11,794.0,Paper & Paper Crafts
18,2020-06-12,794.0,Paper & Paper Crafts
19,2020-06-13,745.0,Paper & Paper Crafts
20,2020-06-14,745.0,Paper & Paper Crafts
21,2020-06-15,745.0,Paper & Paper Crafts
22,2020-06-16,948.0,Paper & Paper Crafts
23,2020-06-17,948.0,Paper & Paper Crafts
24,2020-06-18,834.0,Paper & Paper Crafts
25,2020-06-19,790.0,Paper & Paper Crafts
26,2020-06-20,790.0,Paper & Paper Crafts
27,2020-06-21,790.0,Paper & Paper Crafts
28,2020-06-22,790.0,Paper & Paper Crafts
29,2020-06-23,873.0,Paper & Paper Crafts
30,2020-06-24,850.0,Paper & Paper Crafts
31,2020-06-25,850.0,Paper & Paper Crafts
32,2020-06-26,850.0,Paper & Paper Crafts
33,2020-06-27,974.0,Paper & Paper Crafts
34,2020-06-28,974.0,Paper & Paper Crafts
35,2020-06-29,1026.0,Paper & Paper Crafts
36,2020-06-30,1026.0,Paper & Paper Crafts
37,2020-07-01,1026.0,Paper & Paper Crafts
38,2020-07-02,997.0,Paper & Paper Crafts
39,2020-07-03,997.0,Paper & Paper Crafts
40,2020-07-04,1081.0,Paper & Paper Crafts
41,2020-07-05,1081.0,Paper & Paper Crafts
42,2020-07-06,1189.0,Paper & Paper Crafts
43,2020-07-07,1189.0,Paper & Paper Crafts
44,2020-07-08,1189.0,Paper & Paper Crafts
45,2020-07-09,1453.0,Paper & Paper Crafts
46,2020-07-10,1547.0,Paper & Paper Crafts
47,2020-07-11,1547.0,Paper & Paper Crafts
48,2020-07-12,1547.0,Paper & Paper Crafts
49,2020-07-13,1459.0,Paper & Paper Crafts
50,2020-07-14,1459.0,Paper & Paper Crafts
51,2020-07-15,1459.0,Paper & Paper Crafts
52,2020-07-16,974.0,Paper & Paper Crafts
53,2020-07-17,974.0,Paper & Paper Crafts
54,2020-07-18,974.0,Paper & Paper Crafts
55,2020-07-19,974.0,Paper & Paper Crafts
56,2020-07-20,1159.0,Paper & Paper Crafts
57,2020-07-21,1159.0,Paper & Paper Crafts
58,2020-07-22,1159.0,Paper & Paper Crafts
59,2020-07-23,2200.0,Paper & Paper Crafts
60,2020-07-24,2328.0,Paper & Paper Crafts
61,2020-07-25,2328.0,Paper & Paper Crafts
62,2020-07-26,3094.0,Paper & Paper Crafts
63,2020-07-27,3094.0,Paper & Paper Crafts
64,2020-07-28,3094.0,Paper & Paper Crafts
65,2020-07-29,3094.0,Paper & Paper Crafts
66,2020-07-30,2599.0,Paper & Paper Crafts
67,2020-07-31,2599.0,Paper & Paper Crafts
68,2020-08-01,2599.0,Paper & Paper Crafts
69,2020-08-02,3242.0,Paper & Paper Crafts
70,2020-08-03,3242.0,Paper & Paper Crafts
71,2020-08-04,3300.0,Paper & Paper Crafts
72,2020-08-05,3300.0,Paper & Paper Crafts
73,2020-08-06,2353.0,Paper & Paper Crafts
74,2020-08-07,2353.0,Paper & Paper Crafts
75,2020-08-08,2353.0,Paper & Paper Crafts
76,2020-08-09,3509.0,Paper & Paper Crafts
77,2020-08-10,3509.0,Paper & Paper Crafts
78,2020-08-11,3509.0,Paper & Paper Crafts
79,2020-08-12,3509.0,Paper & Paper Crafts
80,2020-08-13,3509.0,Paper & Paper Crafts
81,2020-08-14,9262.0,Paper & Paper Crafts
82,2020-08-15,9262.0,Paper & Paper Crafts
83,2020-08-16,9262.0,Paper & Paper Crafts
84,2020-08-17,9262.0,Paper & Paper Crafts
85,2020-08-18,4907.0,Paper & Paper Crafts
86,2020-08-19,9561.0,Paper & Paper Crafts
87,2020-08-20,9561.0,Paper & Paper Crafts
88,2020-08-21,6982.0,Paper & Paper Crafts
89,2020-08-22,6982.0,Paper & Paper Crafts
90,2020-08-23,6982.0,Paper & Paper Crafts
91,2020-08-24,6759.0,Paper & Paper Crafts
92,2020-08-25,6759.0,Paper & Paper Crafts
93,2020-08-26,6759.0,Paper & Paper Crafts
94,2020-08-27,7526.0,Paper & Paper Crafts
95,2020-08-28,7526.0,Paper & Paper Crafts
96,2020-08-29,7526.0,Paper & Paper Crafts
97,2020-08-30,5338.0,Paper & Paper Crafts
98,2020-08-31,5338.0,Paper & Paper Crafts
99,2020-09-01,2634.0,Paper & Paper Crafts
100,2020-09-02,2634.0,Paper & Paper Crafts
101,2020-09-03,2634.0,Paper & Paper Crafts
102,2020-09-04,1013.0,Paper & Paper Crafts
103,2020-09-05,1757.0,Paper & Paper Crafts
104,2020-09-06,2006.0,Paper & Paper Crafts
105,2020-09-07,2006.0,Paper & Paper Crafts
106,2020-09-08,3492.0,Paper & Paper Crafts
107,2020-09-09,3492.0,Paper & Paper Crafts
108,2020-09-10,3492.0,Paper & Paper Crafts
109,2020-09-11,2536.0,Paper & Paper Crafts
