,date,value,name_B089KGZKK6
0,2020-08-17,195374.0,Diffusers
1,2020-08-18,195374.0,Diffusers
2,2020-08-19,195374.0,Diffusers
3,2020-08-20,195374.0,Diffusers
4,2020-08-21,237393.0,Diffusers
5,2020-08-22,273518.0,Diffusers
6,2020-08-23,273518.0,Diffusers
7,2020-08-24,273518.0,Diffusers
8,2020-08-25,273518.0,Diffusers
9,2020-08-26,273518.0,Diffusers
10,2020-08-27,192225.0,Diffusers
11,2020-08-28,192225.0,Diffusers
12,2020-08-29,192225.0,Diffusers
13,2020-08-30,192225.0,Diffusers
14,2020-08-31,192225.0,Diffusers
15,2020-09-01,192225.0,Diffusers
16,2020-09-02,192225.0,Diffusers
17,2020-09-03,192225.0,Diffusers
18,2020-09-04,149615.0,Diffusers
19,2020-09-05,149615.0,Diffusers
20,2020-09-06,149615.0,Diffusers
21,2020-09-07,149615.0,Diffusers
22,2020-09-08,149615.0,Diffusers
23,2020-09-09,193625.0,Diffusers
24,2020-09-10,193625.0,Diffusers
25,2020-09-11,149896.0,Diffusers
26,2020-09-12,149896.0,Diffusers
27,2020-09-13,149896.0,Diffusers
28,2020-09-14,149896.0,Diffusers
29,2020-09-15,149896.0,Diffusers
30,2020-09-16,149896.0,Diffusers
31,2020-09-17,149896.0,Diffusers
32,2020-09-18,149896.0,Diffusers
33,2020-09-19,149896.0,Diffusers
34,2020-09-20,149896.0,Diffusers
35,2020-09-21,149896.0,Diffusers
36,2020-09-22,172113.0,Diffusers
37,2020-09-23,172113.0,Diffusers
38,2020-09-24,172113.0,Diffusers
39,2020-09-25,172113.0,Diffusers
40,2020-09-26,129148.0,Diffusers
41,2020-09-27,129148.0,Diffusers
42,2020-09-28,129148.0,Diffusers
43,2020-09-29,129148.0,Diffusers
44,2020-09-30,172588.0,Diffusers
45,2020-10-01,172588.0,Diffusers
46,2020-10-02,127116.0,Diffusers
47,2020-10-03,127116.0,Diffusers
48,2020-10-04,127116.0,Diffusers
49,2020-10-05,127116.0,Diffusers
50,2020-10-06,127116.0,Diffusers
51,2020-10-07,127116.0,Diffusers
52,2020-10-08,127116.0,Diffusers
53,2020-10-09,127116.0,Diffusers
54,2020-10-10,167284.0,Diffusers
55,2020-10-11,132907.0,Diffusers
56,2020-10-12,132907.0,Diffusers
57,2020-10-13,131036.0,Diffusers
58,2020-10-14,131036.0,Diffusers
59,2020-10-15,131036.0,Diffusers
60,2020-10-16,131036.0,Diffusers
61,2020-10-17,131036.0,Diffusers
62,2020-10-18,131036.0,Diffusers
63,2020-10-19,202292.0,Diffusers
64,2020-10-20,202292.0,Diffusers
65,2020-10-21,92540.0,Diffusers
66,2020-10-22,127567.0,Diffusers
67,2020-10-23,127567.0,Diffusers
68,2020-10-24,127567.0,Diffusers
69,2020-10-25,127567.0,Diffusers
70,2020-10-26,127567.0,Diffusers
71,2020-10-27,127567.0,Diffusers
72,2020-10-28,63663.0,Diffusers
73,2020-10-29,63663.0,Diffusers
74,2020-10-30,63663.0,Diffusers
75,2020-10-31,63663.0,Diffusers
76,2020-11-01,63663.0,Diffusers
77,2020-11-02,63663.0,Diffusers
78,2020-11-03,35264.0,Diffusers
79,2020-11-04,35264.0,Diffusers
80,2020-11-05,35264.0,Diffusers
81,2020-11-06,73642.0,Diffusers
82,2020-11-07,73642.0,Diffusers
83,2020-11-08,73642.0,Diffusers
84,2020-11-09,73642.0,Diffusers
85,2020-11-10,86955.0,Diffusers
86,2020-11-11,65396.0,Diffusers
87,2020-11-12,65396.0,Diffusers
88,2020-11-13,65396.0,Diffusers
89,2020-11-14,65396.0,Diffusers
90,2020-11-15,65396.0,Diffusers
91,2020-11-16,104943.0,Diffusers
92,2020-11-17,104943.0,Diffusers
93,2020-11-18,104943.0,Diffusers
94,2020-11-19,104943.0,Diffusers
95,2020-11-20,104943.0,Diffusers
96,2020-11-21,94593.0,Diffusers
97,2020-11-22,94593.0,Diffusers
98,2020-11-23,18342.0,Diffusers
99,2020-11-24,18342.0,Diffusers
100,2020-11-25,18342.0,Diffusers
101,2020-11-26,32864.0,Diffusers
102,2020-11-27,32864.0,Diffusers
103,2020-11-28,37304.0,Diffusers
104,2020-11-29,37304.0,Diffusers
105,2020-11-30,37304.0,Diffusers
106,2020-12-01,35986.0,Diffusers
107,2020-12-02,35986.0,Diffusers
108,2020-12-03,54355.0,Diffusers
109,2020-12-04,54355.0,Diffusers
110,2020-12-05,54355.0,Diffusers
111,2020-12-06,54355.0,Diffusers
112,2020-12-07,73515.0,Diffusers
113,2020-12-08,73515.0,Diffusers
114,2020-12-09,70088.0,Diffusers
115,2020-12-10,70088.0,Diffusers
116,2020-12-11,46384.0,Diffusers
117,2020-12-12,46384.0,Diffusers
118,2020-12-13,46384.0,Diffusers
119,2020-12-14,70991.0,Diffusers
120,2020-12-15,67794.0,Diffusers
121,2020-12-16,67794.0,Diffusers
122,2020-12-17,18998.0,Diffusers
123,2020-12-18,18998.0,Diffusers
124,2020-12-19,18998.0,Diffusers
125,2020-12-20,41576.0,Diffusers
126,2020-12-21,45161.0,Diffusers
127,2020-12-22,45161.0,Diffusers
128,2020-12-23,45161.0,Diffusers
129,2020-12-24,45161.0,Diffusers
130,2020-12-25,45161.0,Diffusers
131,2020-12-26,45161.0,Diffusers
132,2020-12-27,45161.0,Diffusers
133,2020-12-28,45161.0,Diffusers
134,2020-12-29,45161.0,Diffusers
