,date,value,name_B07MNG8F61
0,2020-06-03,67669.0,Sanitary Napkins
1,2020-06-04,67669.0,Sanitary Napkins
2,2020-06-05,67669.0,Sanitary Napkins
3,2020-06-06,67669.0,Sanitary Napkins
4,2020-06-07,67669.0,Sanitary Napkins
5,2020-06-08,79025.0,Sanitary Napkins
6,2020-06-09,79025.0,Sanitary Napkins
7,2020-06-10,79025.0,Sanitary Napkins
8,2020-06-11,100008.0,Sanitary Napkins
9,2020-06-12,100008.0,Sanitary Napkins
10,2020-06-13,100008.0,Sanitary Napkins
11,2020-06-14,100008.0,Sanitary Napkins
12,2020-06-15,100008.0,Sanitary Napkins
13,2020-06-16,124428.0,Sanitary Napkins
14,2020-06-17,124428.0,Sanitary Napkins
15,2020-06-18,90783.0,Sanitary Napkins
16,2020-06-19,71943.0,Sanitary Napkins
17,2020-06-20,66918.0,Sanitary Napkins
18,2020-06-21,66918.0,Sanitary Napkins
19,2020-06-22,66918.0,Sanitary Napkins
20,2020-06-23,104315.0,Sanitary Napkins
21,2020-06-24,104315.0,Sanitary Napkins
22,2020-06-25,104315.0,Sanitary Napkins
23,2020-06-26,90491.0,Sanitary Napkins
24,2020-06-27,90491.0,Sanitary Napkins
25,2020-06-28,90491.0,Sanitary Napkins
26,2020-06-29,88508.0,Sanitary Napkins
27,2020-06-30,87220.0,Sanitary Napkins
28,2020-07-01,73269.0,Sanitary Napkins
29,2020-07-02,73269.0,Sanitary Napkins
30,2020-07-03,106326.0,Sanitary Napkins
31,2020-07-04,106326.0,Sanitary Napkins
32,2020-07-05,106326.0,Sanitary Napkins
33,2020-07-06,59508.0,Sanitary Napkins
34,2020-07-07,59508.0,Sanitary Napkins
35,2020-07-08,59508.0,Sanitary Napkins
36,2020-07-09,100873.0,Sanitary Napkins
37,2020-07-10,100873.0,Sanitary Napkins
38,2020-07-11,100873.0,Sanitary Napkins
39,2020-07-12,100873.0,Sanitary Napkins
40,2020-07-13,87721.0,Sanitary Napkins
41,2020-07-14,87721.0,Sanitary Napkins
42,2020-07-15,87721.0,Sanitary Napkins
43,2020-07-16,109536.0,Sanitary Napkins
44,2020-07-17,109536.0,Sanitary Napkins
45,2020-07-18,109536.0,Sanitary Napkins
46,2020-07-19,105643.0,Sanitary Napkins
47,2020-07-20,105643.0,Sanitary Napkins
48,2020-07-21,81605.0,Sanitary Napkins
49,2020-07-22,81605.0,Sanitary Napkins
50,2020-07-23,81605.0,Sanitary Napkins
51,2020-07-24,81830.0,Sanitary Napkins
52,2020-07-25,81830.0,Sanitary Napkins
53,2020-07-26,81830.0,Sanitary Napkins
54,2020-07-27,77256.0,Sanitary Napkins
55,2020-07-28,77256.0,Sanitary Napkins
56,2020-07-29,77256.0,Sanitary Napkins
57,2020-07-30,120441.0,Sanitary Napkins
58,2020-07-31,120441.0,Sanitary Napkins
59,2020-08-01,120441.0,Sanitary Napkins
60,2020-08-02,70579.0,Sanitary Napkins
61,2020-08-03,70579.0,Sanitary Napkins
62,2020-08-04,70579.0,Sanitary Napkins
63,2020-08-05,77767.0,Sanitary Napkins
64,2020-08-06,59618.0,Sanitary Napkins
65,2020-08-07,59618.0,Sanitary Napkins
66,2020-08-08,49090.0,Sanitary Napkins
67,2020-08-09,49090.0,Sanitary Napkins
68,2020-08-10,51511.0,Sanitary Napkins
69,2020-08-11,51511.0,Sanitary Napkins
70,2020-08-12,40921.0,Sanitary Napkins
71,2020-08-13,40921.0,Sanitary Napkins
72,2020-08-14,40921.0,Sanitary Napkins
73,2020-08-15,40921.0,Sanitary Napkins
74,2020-08-16,40921.0,Sanitary Napkins
75,2020-08-17,43530.0,Sanitary Napkins
76,2020-08-18,43530.0,Sanitary Napkins
77,2020-08-19,50085.0,Sanitary Napkins
78,2020-08-20,68589.0,Sanitary Napkins
79,2020-08-21,68589.0,Sanitary Napkins
80,2020-08-22,63805.0,Sanitary Napkins
81,2020-08-23,63805.0,Sanitary Napkins
82,2020-08-24,63805.0,Sanitary Napkins
83,2020-08-25,50389.0,Sanitary Napkins
84,2020-08-26,59984.0,Sanitary Napkins
85,2020-08-27,59984.0,Sanitary Napkins
86,2020-08-28,44930.0,Sanitary Napkins
