,date,value,name_B07T14G9XF
0,2020-05-30,10286.0,Omega Oils
1,2020-05-31,10286.0,Omega Oils
2,2020-06-01,10286.0,Omega Oils
3,2020-06-02,10286.0,Omega Oils
4,2020-06-03,10286.0,Omega Oils
5,2020-06-04,9280.0,Omega Oils
6,2020-06-05,9280.0,Omega Oils
7,2020-06-06,9280.0,Omega Oils
8,2020-06-07,9280.0,Omega Oils
9,2020-06-08,9954.0,Omega Oils
10,2020-06-09,9954.0,Omega Oils
11,2020-06-10,9954.0,Omega Oils
12,2020-06-11,10792.0,Omega Oils
13,2020-06-12,10792.0,Omega Oils
14,2020-06-13,10792.0,Omega Oils
15,2020-06-14,10792.0,Omega Oils
16,2020-06-15,10851.0,Omega Oils
17,2020-06-16,9352.0,Omega Oils
18,2020-06-17,9352.0,Omega Oils
19,2020-06-18,10958.0,Omega Oils
20,2020-06-19,10958.0,Omega Oils
21,2020-06-20,10958.0,Omega Oils
22,2020-06-21,11829.0,Omega Oils
23,2020-06-22,11829.0,Omega Oils
24,2020-06-23,11829.0,Omega Oils
25,2020-06-24,10703.0,Omega Oils
26,2020-06-25,10703.0,Omega Oils
27,2020-06-26,10703.0,Omega Oils
28,2020-06-27,10703.0,Omega Oils
29,2020-06-28,10470.0,Omega Oils
30,2020-06-29,10470.0,Omega Oils
31,2020-06-30,10088.0,Omega Oils
32,2020-07-01,10088.0,Omega Oils
33,2020-07-02,10088.0,Omega Oils
34,2020-07-03,10634.0,Omega Oils
35,2020-07-04,10634.0,Omega Oils
36,2020-07-05,10634.0,Omega Oils
37,2020-07-06,12499.0,Omega Oils
38,2020-07-07,12499.0,Omega Oils
39,2020-07-08,12184.0,Omega Oils
40,2020-07-09,12184.0,Omega Oils
41,2020-07-10,12184.0,Omega Oils
42,2020-07-11,12476.0,Omega Oils
43,2020-07-12,12476.0,Omega Oils
44,2020-07-13,12476.0,Omega Oils
45,2020-07-14,11826.0,Omega Oils
46,2020-07-15,11826.0,Omega Oils
47,2020-07-16,11826.0,Omega Oils
48,2020-07-17,10480.0,Omega Oils
49,2020-07-18,9982.0,Omega Oils
50,2020-07-19,9982.0,Omega Oils
51,2020-07-20,9982.0,Omega Oils
52,2020-07-21,8864.0,Omega Oils
53,2020-07-22,8864.0,Omega Oils
54,2020-07-23,8715.0,Omega Oils
55,2020-07-24,9133.0,Omega Oils
56,2020-07-25,9133.0,Omega Oils
57,2020-07-26,9133.0,Omega Oils
58,2020-07-27,9861.0,Omega Oils
59,2020-07-28,9335.0,Omega Oils
60,2020-07-29,9335.0,Omega Oils
61,2020-07-30,9335.0,Omega Oils
62,2020-07-31,9335.0,Omega Oils
63,2020-08-01,9335.0,Omega Oils
64,2020-08-02,9335.0,Omega Oils
65,2020-08-03,10859.0,Omega Oils
66,2020-08-04,10859.0,Omega Oils
67,2020-08-05,10859.0,Omega Oils
68,2020-08-06,10859.0,Omega Oils
69,2020-08-07,10632.0,Omega Oils
70,2020-08-08,10632.0,Omega Oils
71,2020-08-09,10632.0,Omega Oils
72,2020-08-10,11718.0,Omega Oils
73,2020-08-11,11718.0,Omega Oils
74,2020-08-12,11718.0,Omega Oils
75,2020-08-13,12206.0,Omega Oils
76,2020-08-14,12206.0,Omega Oils
77,2020-08-15,12206.0,Omega Oils
78,2020-08-16,9859.0,Omega Oils
79,2020-08-17,9859.0,Omega Oils
80,2020-08-18,9859.0,Omega Oils
81,2020-08-19,9859.0,Omega Oils
82,2020-08-20,10325.0,Omega Oils
83,2020-08-21,10325.0,Omega Oils
84,2020-08-22,10325.0,Omega Oils
85,2020-08-23,10325.0,Omega Oils
86,2020-08-24,11864.0,Omega Oils
87,2020-08-25,11864.0,Omega Oils
88,2020-08-26,11864.0,Omega Oils
89,2020-08-27,10690.0,Omega Oils
90,2020-08-28,9301.0,Omega Oils
91,2020-08-29,9301.0,Omega Oils
92,2020-08-30,9301.0,Omega Oils
93,2020-08-31,9301.0,Omega Oils
94,2020-09-01,11892.0,Omega Oils
95,2020-09-02,11892.0,Omega Oils
96,2020-09-03,11892.0,Omega Oils
97,2020-09-04,11892.0,Omega Oils
98,2020-09-05,11233.0,Omega Oils
99,2020-09-06,9175.0,Omega Oils
100,2020-09-07,9175.0,Omega Oils
101,2020-09-08,9175.0,Omega Oils
102,2020-09-09,9175.0,Omega Oils
103,2020-09-10,8821.0,Omega Oils
104,2020-09-11,8821.0,Omega Oils
105,2020-09-12,8821.0,Omega Oils
106,2020-09-13,9520.0,Omega Oils
107,2020-09-14,9520.0,Omega Oils
108,2020-09-15,9520.0,Omega Oils
109,2020-09-16,9279.0,Omega Oils
110,2020-09-17,9279.0,Omega Oils
111,2020-09-18,9279.0,Omega Oils
112,2020-09-19,9279.0,Omega Oils
113,2020-09-20,9279.0,Omega Oils
114,2020-09-21,9279.0,Omega Oils
115,2020-09-22,10146.0,Omega Oils
116,2020-09-23,10146.0,Omega Oils
117,2020-09-24,10146.0,Omega Oils
118,2020-09-25,10146.0,Omega Oils
119,2020-09-26,9740.0,Omega Oils
120,2020-09-27,10396.0,Omega Oils
121,2020-09-28,10396.0,Omega Oils
122,2020-09-29,10396.0,Omega Oils
123,2020-09-30,12164.0,Omega Oils
124,2020-10-01,12164.0,Omega Oils
125,2020-10-02,12164.0,Omega Oils
126,2020-10-03,11787.0,Omega Oils
127,2020-10-04,11787.0,Omega Oils
128,2020-10-05,12141.0,Omega Oils
129,2020-10-06,10784.0,Omega Oils
130,2020-10-07,11266.0,Omega Oils
131,2020-10-08,11266.0,Omega Oils
132,2020-10-09,11266.0,Omega Oils
133,2020-10-10,9157.0,Omega Oils
134,2020-10-11,9157.0,Omega Oils
135,2020-10-12,9157.0,Omega Oils
136,2020-10-13,9157.0,Omega Oils
137,2020-10-14,12038.0,Omega Oils
138,2020-10-15,12038.0,Omega Oils
139,2020-10-16,12038.0,Omega Oils
140,2020-10-17,12344.0,Omega Oils
141,2020-10-18,8393.0,Omega Oils
142,2020-10-19,8393.0,Omega Oils
143,2020-10-20,9318.0,Omega Oils
144,2020-10-21,9318.0,Omega Oils
145,2020-10-22,9318.0,Omega Oils
146,2020-10-23,9318.0,Omega Oils
147,2020-10-24,11797.0,Omega Oils
148,2020-10-25,11797.0,Omega Oils
149,2020-10-26,11797.0,Omega Oils
150,2020-10-27,9710.0,Omega Oils
151,2020-10-28,7829.0,Omega Oils
152,2020-10-29,7829.0,Omega Oils
153,2020-10-30,7829.0,Omega Oils
154,2020-10-31,8743.0,Omega Oils
155,2020-11-01,8743.0,Omega Oils
156,2020-11-02,8743.0,Omega Oils
157,2020-11-03,9889.0,Omega Oils
158,2020-11-04,9889.0,Omega Oils
159,2020-11-05,9889.0,Omega Oils
160,2020-11-06,10932.0,Omega Oils
161,2020-11-07,12607.0,Omega Oils
162,2020-11-08,9381.0,Omega Oils
163,2020-11-09,9381.0,Omega Oils
164,2020-11-10,9381.0,Omega Oils
165,2020-11-11,9381.0,Omega Oils
166,2020-11-12,10413.0,Omega Oils
167,2020-11-13,10413.0,Omega Oils
168,2020-11-14,10413.0,Omega Oils
169,2020-11-15,10537.0,Omega Oils
170,2020-11-16,10537.0,Omega Oils
171,2020-11-17,8718.0,Omega Oils
172,2020-11-18,8718.0,Omega Oils
173,2020-11-19,10518.0,Omega Oils
174,2020-11-20,10518.0,Omega Oils
175,2020-11-21,10518.0,Omega Oils
176,2020-11-22,10518.0,Omega Oils
177,2020-11-23,12979.0,Omega Oils
178,2020-11-24,12979.0,Omega Oils
179,2020-11-25,12979.0,Omega Oils
180,2020-11-26,12979.0,Omega Oils
181,2020-11-27,13531.0,Omega Oils
182,2020-11-28,13531.0,Omega Oils
183,2020-11-29,13531.0,Omega Oils
184,2020-11-30,15320.0,Omega Oils
185,2020-12-01,15320.0,Omega Oils
186,2020-12-02,15320.0,Omega Oils
187,2020-12-03,12125.0,Omega Oils
188,2020-12-04,12125.0,Omega Oils
189,2020-12-05,12125.0,Omega Oils
190,2020-12-06,13005.0,Omega Oils
191,2020-12-07,13005.0,Omega Oils
192,2020-12-08,13005.0,Omega Oils
193,2020-12-09,13005.0,Omega Oils
194,2020-12-10,12442.0,Omega Oils
195,2020-12-11,11354.0,Omega Oils
196,2020-12-12,11354.0,Omega Oils
197,2020-12-13,11354.0,Omega Oils
198,2020-12-14,13798.0,Omega Oils
199,2020-12-15,13798.0,Omega Oils
200,2020-12-16,13798.0,Omega Oils
201,2020-12-17,10853.0,Omega Oils
202,2020-12-18,10853.0,Omega Oils
203,2020-12-19,10853.0,Omega Oils
204,2020-12-20,13812.0,Omega Oils
205,2020-12-21,11360.0,Omega Oils
206,2020-12-22,10806.0,Omega Oils
207,2020-12-23,10806.0,Omega Oils
208,2020-12-24,10806.0,Omega Oils
209,2020-12-25,10441.0,Omega Oils
210,2020-12-26,10441.0,Omega Oils
211,2020-12-27,10441.0,Omega Oils
212,2020-12-28,10370.0,Omega Oils
213,2020-12-29,10370.0,Omega Oils
214,2020-12-30,10984.0,Omega Oils
215,2020-12-31,10984.0,Omega Oils
216,2021-01-01,10486.0,Omega Oils
217,2021-01-02,10486.0,Omega Oils
218,2021-01-03,10486.0,Omega Oils
219,2021-01-04,11586.0,Omega Oils
220,2021-01-05,11586.0,Omega Oils
221,2021-01-06,11586.0,Omega Oils
222,2021-01-07,10862.0,Omega Oils
223,2021-01-08,10862.0,Omega Oils
224,2021-01-09,10862.0,Omega Oils
225,2021-01-10,10862.0,Omega Oils
226,2021-01-11,10359.0,Omega Oils
227,2021-01-12,12657.0,Omega Oils
228,2021-01-13,12657.0,Omega Oils
229,2021-01-14,12657.0,Omega Oils
230,2021-01-15,10621.0,Omega Oils
231,2021-01-16,9941.0,Omega Oils
232,2021-01-17,9941.0,Omega Oils
233,2021-01-18,9941.0,Omega Oils
234,2021-01-19,9941.0,Omega Oils
235,2021-01-20,9190.0,Omega Oils
236,2021-01-21,9190.0,Omega Oils
237,2021-01-22,8372.0,Omega Oils
238,2021-01-23,8372.0,Omega Oils
239,2021-01-24,8372.0,Omega Oils
240,2021-01-25,8372.0,Omega Oils
241,2021-01-26,9030.0,Omega Oils
242,2021-01-27,9030.0,Omega Oils
243,2021-01-28,9030.0,Omega Oils
244,2021-01-29,9030.0,Omega Oils
245,2021-01-30,10997.0,Omega Oils
246,2021-01-31,10997.0,Omega Oils
247,2021-02-01,10997.0,Omega Oils
248,2021-02-02,10137.0,Omega Oils
249,2021-02-03,10137.0,Omega Oils
250,2021-02-04,10137.0,Omega Oils
251,2021-02-05,10652.0,Omega Oils
252,2021-02-06,10652.0,Omega Oils
253,2021-02-07,10652.0,Omega Oils
254,2021-02-08,11222.0,Omega Oils
255,2021-02-09,11222.0,Omega Oils
256,2021-02-10,11222.0,Omega Oils
257,2021-02-11,10460.0,Omega Oils
258,2021-02-12,10460.0,Omega Oils
259,2021-02-13,10460.0,Omega Oils
260,2021-02-14,10314.0,Omega Oils
261,2021-02-15,10314.0,Omega Oils
262,2021-02-16,10314.0,Omega Oils
263,2021-02-17,10314.0,Omega Oils
264,2021-02-18,10314.0,Omega Oils
265,2021-02-19,10314.0,Omega Oils
266,2021-02-20,10314.0,Omega Oils
267,2021-02-21,10314.0,Omega Oils
268,2021-02-22,10314.0,Omega Oils
269,2021-02-23,10314.0,Omega Oils
270,2021-02-24,10314.0,Omega Oils
271,2021-02-25,10314.0,Omega Oils
272,2021-02-26,10314.0,Omega Oils
273,2021-02-27,10314.0,Omega Oils
274,2021-02-28,10314.0,Omega Oils
275,2021-03-01,10314.0,Omega Oils
276,2021-03-02,10314.0,Omega Oils
277,2021-03-03,10314.0,Omega Oils
278,2021-03-04,10314.0,Omega Oils
279,2021-03-05,10314.0,Omega Oils
280,2021-03-06,10314.0,Omega Oils
281,2021-03-07,10314.0,Omega Oils
282,2021-03-08,10314.0,Omega Oils
283,2021-03-09,10314.0,Omega Oils
284,2021-03-10,10314.0,Omega Oils
285,2021-03-11,10314.0,Omega Oils
286,2021-03-12,10314.0,Omega Oils
287,2021-03-13,10314.0,Omega Oils
288,2021-03-14,10314.0,Omega Oils
289,2021-03-15,10314.0,Omega Oils
290,2021-03-16,10314.0,Omega Oils
