,date,value,name_B07VHDZW4L
171,2020-11-11,298.0,Fabric
172,2020-11-12,271.0,Fabric
173,2020-11-13,256.0,Fabric
174,2020-11-14,256.0,Fabric
175,2020-11-15,226.0,Fabric
176,2020-11-16,201.0,Fabric
177,2020-11-17,255.0,Fabric
178,2020-11-18,259.0,Fabric
179,2020-11-19,243.0,Fabric
180,2020-11-20,237.0,Fabric
181,2020-11-21,398.0,Fabric
182,2020-11-22,390.0,Fabric
183,2020-11-23,390.0,Fabric
184,2020-11-24,446.0,Fabric
185,2020-11-25,331.0,Fabric
186,2020-11-26,331.0,Fabric
187,2020-11-27,459.0,Fabric
188,2020-11-28,506.0,Fabric
189,2020-11-29,430.0,Fabric
190,2020-11-30,359.0,Fabric
191,2020-12-01,480.0,Fabric
192,2020-12-02,379.0,Fabric
193,2020-12-03,379.0,Fabric
194,2020-12-04,400.0,Fabric
195,2020-12-05,400.0,Fabric
196,2020-12-06,477.0,Fabric
197,2020-12-07,460.0,Fabric
198,2020-12-08,374.0,Fabric
199,2020-12-09,369.0,Fabric
200,2020-12-10,377.0,Fabric
201,2020-12-11,393.0,Fabric
202,2020-12-12,393.0,Fabric
203,2020-12-13,536.0,Fabric
204,2020-12-14,566.0,Fabric
205,2020-12-15,624.0,Fabric
206,2020-12-16,563.0,Fabric
207,2020-12-17,555.0,Fabric
208,2020-12-18,592.0,Fabric
209,2020-12-19,548.0,Fabric
210,2020-12-20,624.0,Fabric
211,2020-12-21,571.0,Fabric
212,2020-12-22,612.0,Fabric
213,2020-12-23,612.0,Fabric
214,2020-12-24,514.0,Fabric
215,2020-12-25,422.0,Fabric
216,2020-12-26,486.0,Fabric
217,2020-12-27,549.0,Fabric
218,2020-12-28,511.0,Fabric
219,2020-12-29,404.0,Fabric
220,2020-12-30,368.0,Fabric
221,2020-12-31,368.0,Fabric
222,2021-01-01,487.0,Fabric
223,2021-01-02,487.0,Fabric
224,2021-01-03,487.0,Fabric
225,2021-01-04,406.0,Fabric
226,2021-01-05,405.0,Fabric
227,2021-01-06,405.0,Fabric
228,2021-01-07,405.0,Fabric
229,2021-01-08,345.0,Fabric
230,2021-01-09,338.0,Fabric
231,2021-01-10,338.0,Fabric
232,2021-01-11,325.0,Fabric
233,2021-01-12,325.0,Fabric
234,2021-01-13,323.0,Fabric
235,2021-01-14,323.0,Fabric
236,2021-01-15,362.0,Fabric
237,2021-01-16,362.0,Fabric
238,2021-01-17,362.0,Fabric
239,2021-01-18,355.0,Fabric
240,2021-01-19,335.0,Fabric
241,2021-01-20,335.0,Fabric
242,2021-01-21,358.0,Fabric
243,2021-01-22,351.0,Fabric
244,2021-01-23,434.0,Fabric
245,2021-01-24,434.0,Fabric
246,2021-01-25,434.0,Fabric
247,2021-01-26,359.0,Fabric
248,2021-01-27,359.0,Fabric
249,2021-01-28,359.0,Fabric
250,2021-01-29,325.0,Fabric
251,2021-01-30,236.0,Fabric
252,2021-01-31,236.0,Fabric
253,2021-02-01,310.0,Fabric
254,2021-02-02,311.0,Fabric
255,2021-02-03,311.0,Fabric
256,2021-02-04,368.0,Fabric
257,2021-02-05,368.0,Fabric
258,2021-02-06,465.0,Fabric
259,2021-02-07,393.0,Fabric
260,2021-02-08,442.0,Fabric
261,2021-02-09,442.0,Fabric
262,2021-02-10,333.0,Fabric
263,2021-02-11,439.0,Fabric
264,2021-02-12,425.0,Fabric
265,2021-02-13,405.0,Fabric
266,2021-02-14,405.0,Fabric
267,2021-02-15,390.0,Fabric
268,2021-02-16,390.0,Fabric
269,2021-02-17,338.0,Fabric
270,2021-02-18,406.0,Fabric
271,2021-02-19,334.0,Fabric
272,2021-02-20,355.0,Fabric
273,2021-02-21,376.0,Fabric
274,2021-02-22,359.0,Fabric
275,2021-02-23,437.0,Fabric
276,2021-02-24,437.0,Fabric
277,2021-02-25,387.0,Fabric
278,2021-02-26,278.0,Fabric
279,2021-02-27,351.0,Fabric
280,2021-02-28,300.0,Fabric
281,2021-03-01,375.0,Fabric
282,2021-03-02,375.0,Fabric
