,date,value,name_B0829HD6TX
0,2019-12-13,235454.0,Floating Shelves
1,2019-12-14,141120.0,Floating Shelves
2,2019-12-15,141120.0,Floating Shelves
3,2019-12-16,141120.0,Floating Shelves
4,2019-12-17,141120.0,Floating Shelves
5,2019-12-18,141120.0,Floating Shelves
6,2019-12-19,141120.0,Floating Shelves
7,2019-12-20,113322.0,Floating Shelves
8,2019-12-21,113322.0,Floating Shelves
9,2019-12-22,113322.0,Floating Shelves
10,2019-12-23,113322.0,Floating Shelves
11,2019-12-24,76322.0,Floating Shelves
12,2019-12-25,76322.0,Floating Shelves
13,2019-12-26,141084.0,Floating Shelves
14,2019-12-27,132854.0,Floating Shelves
15,2019-12-28,132854.0,Floating Shelves
16,2019-12-29,132854.0,Floating Shelves
17,2019-12-30,48029.0,Floating Shelves
18,2019-12-31,48029.0,Floating Shelves
19,2020-01-01,48029.0,Floating Shelves
20,2020-01-02,48029.0,Floating Shelves
21,2020-01-03,48029.0,Floating Shelves
22,2020-01-04,60443.0,Floating Shelves
23,2020-01-05,60443.0,Floating Shelves
24,2020-01-06,51958.0,Floating Shelves
25,2020-01-07,38046.0,Floating Shelves
26,2020-01-08,64387.0,Floating Shelves
27,2020-01-09,52099.0,Floating Shelves
28,2020-01-10,52099.0,Floating Shelves
29,2020-01-11,52099.0,Floating Shelves
30,2020-01-12,52099.0,Floating Shelves
31,2020-01-13,40917.0,Floating Shelves
32,2020-01-14,40907.0,Floating Shelves
33,2020-01-15,40907.0,Floating Shelves
34,2020-01-16,40907.0,Floating Shelves
35,2020-01-17,49757.0,Floating Shelves
36,2020-01-18,49757.0,Floating Shelves
37,2020-01-19,38234.0,Floating Shelves
38,2020-01-20,38234.0,Floating Shelves
39,2020-01-21,38234.0,Floating Shelves
40,2020-01-22,38234.0,Floating Shelves
41,2020-01-23,38234.0,Floating Shelves
42,2020-01-24,38234.0,Floating Shelves
43,2020-01-25,38234.0,Floating Shelves
44,2020-01-26,38234.0,Floating Shelves
45,2020-01-27,38234.0,Floating Shelves
46,2020-01-28,38234.0,Floating Shelves
47,2020-01-29,38234.0,Floating Shelves
48,2020-01-30,42124.0,Floating Shelves
49,2020-01-31,42124.0,Floating Shelves
50,2020-02-01,42124.0,Floating Shelves
51,2020-02-02,42124.0,Floating Shelves
52,2020-02-03,42124.0,Floating Shelves
53,2020-02-04,58772.0,Floating Shelves
54,2020-02-05,71571.0,Floating Shelves
55,2020-02-06,93952.0,Floating Shelves
56,2020-02-07,93952.0,Floating Shelves
57,2020-02-08,93952.0,Floating Shelves
58,2020-02-09,93952.0,Floating Shelves
59,2020-02-10,44896.0,Floating Shelves
60,2020-02-11,44896.0,Floating Shelves
61,2020-02-12,44896.0,Floating Shelves
62,2020-02-13,44896.0,Floating Shelves
63,2020-02-14,44896.0,Floating Shelves
64,2020-02-15,44896.0,Floating Shelves
65,2020-02-16,31330.0,Floating Shelves
66,2020-02-17,30290.0,Floating Shelves
67,2020-02-18,32370.0,Floating Shelves
68,2020-02-19,32370.0,Floating Shelves
69,2020-02-20,40145.0,Floating Shelves
70,2020-02-21,48814.0,Floating Shelves
71,2020-02-22,51213.0,Floating Shelves
72,2020-02-23,51213.0,Floating Shelves
73,2020-02-24,47789.0,Floating Shelves
74,2020-02-25,47789.0,Floating Shelves
75,2020-02-26,47789.0,Floating Shelves
76,2020-02-27,39061.0,Floating Shelves
77,2020-02-28,39061.0,Floating Shelves
78,2020-02-29,39061.0,Floating Shelves
79,2020-03-01,39061.0,Floating Shelves
80,2020-03-02,39061.0,Floating Shelves
81,2020-03-03,39061.0,Floating Shelves
82,2020-03-04,51126.0,Floating Shelves
83,2020-03-05,51126.0,Floating Shelves
84,2020-03-06,51126.0,Floating Shelves
85,2020-03-07,51126.0,Floating Shelves
86,2020-03-08,51126.0,Floating Shelves
87,2020-03-09,51126.0,Floating Shelves
88,2020-03-10,32749.0,Floating Shelves
89,2020-03-11,32749.0,Floating Shelves
90,2020-03-12,32749.0,Floating Shelves
91,2020-03-13,32749.0,Floating Shelves
92,2020-03-14,32749.0,Floating Shelves
93,2020-03-15,41585.0,Floating Shelves
94,2020-03-16,41585.0,Floating Shelves
95,2020-03-17,41585.0,Floating Shelves
96,2020-03-18,41585.0,Floating Shelves
97,2020-03-19,41585.0,Floating Shelves
98,2020-03-20,41585.0,Floating Shelves
99,2020-03-21,41585.0,Floating Shelves
100,2020-03-22,41585.0,Floating Shelves
101,2020-03-23,31770.0,Floating Shelves
102,2020-03-24,31770.0,Floating Shelves
103,2020-03-25,31770.0,Floating Shelves
104,2020-03-26,20233.0,Floating Shelves
105,2020-03-27,20233.0,Floating Shelves
106,2020-03-28,20233.0,Floating Shelves
107,2020-03-29,20233.0,Floating Shelves
108,2020-03-30,19712.0,Floating Shelves
109,2020-03-31,19712.0,Floating Shelves
110,2020-04-01,19712.0,Floating Shelves
111,2020-04-02,19712.0,Floating Shelves
112,2020-04-03,19712.0,Floating Shelves
113,2020-04-04,16590.0,Floating Shelves
114,2020-04-05,16590.0,Floating Shelves
115,2020-04-06,16590.0,Floating Shelves
116,2020-04-07,16590.0,Floating Shelves
117,2020-04-08,15743.0,Floating Shelves
118,2020-04-09,20781.0,Floating Shelves
119,2020-04-10,20781.0,Floating Shelves
120,2020-04-11,20781.0,Floating Shelves
121,2020-04-12,20781.0,Floating Shelves
122,2020-04-13,20781.0,Floating Shelves
123,2020-04-14,17523.0,Floating Shelves
124,2020-04-15,17523.0,Floating Shelves
125,2020-04-16,17523.0,Floating Shelves
126,2020-04-17,13986.0,Floating Shelves
127,2020-04-18,13986.0,Floating Shelves
128,2020-04-19,13986.0,Floating Shelves
129,2020-04-20,13986.0,Floating Shelves
130,2020-04-21,13986.0,Floating Shelves
131,2020-04-22,13986.0,Floating Shelves
132,2020-04-23,21141.0,Floating Shelves
133,2020-04-24,21141.0,Floating Shelves
134,2020-04-25,21141.0,Floating Shelves
135,2020-04-26,15888.0,Floating Shelves
136,2020-04-27,19924.0,Floating Shelves
137,2020-04-28,19924.0,Floating Shelves
138,2020-04-29,15379.0,Floating Shelves
139,2020-04-30,10354.0,Floating Shelves
140,2020-05-01,9189.0,Floating Shelves
141,2020-05-02,9189.0,Floating Shelves
142,2020-05-03,9189.0,Floating Shelves
143,2020-05-04,10022.0,Floating Shelves
