,date,value,name_B08ZHHXPJT
0,2021-04-06,19892.0,Clothing & Shoes
1,2021-04-07,19892.0,Clothing & Shoes
2,2021-04-08,19892.0,Clothing & Shoes
3,2021-04-09,19892.0,Clothing & Shoes
4,2021-04-10,14652.0,Clothing & Shoes
5,2021-04-11,14652.0,Clothing & Shoes
6,2021-04-12,14652.0,Clothing & Shoes
7,2021-04-13,9369.0,Clothing & Shoes
8,2021-04-14,9369.0,Clothing & Shoes
9,2021-04-15,9369.0,Clothing & Shoes
10,2021-04-16,11417.0,Clothing & Shoes
11,2021-04-17,11417.0,Clothing & Shoes
12,2021-04-18,11417.0,Clothing & Shoes
13,2021-04-19,8253.0,Clothing & Shoes
14,2021-04-20,8253.0,Clothing & Shoes
15,2021-04-21,7931.0,Clothing & Shoes
16,2021-04-22,7024.0,Clothing & Shoes
17,2021-04-23,7024.0,Clothing & Shoes
18,2021-04-24,7024.0,Clothing & Shoes
19,2021-04-25,5745.0,Clothing & Shoes
20,2021-04-26,5745.0,Clothing & Shoes
21,2021-04-27,5745.0,Clothing & Shoes
22,2021-04-28,8398.0,Clothing & Shoes
23,2021-04-29,8398.0,Clothing & Shoes
24,2021-04-30,10376.0,Clothing & Shoes
25,2021-05-01,10376.0,Clothing & Shoes
26,2021-05-02,10251.0,Clothing & Shoes
27,2021-05-03,10922.0,Clothing & Shoes
28,2021-05-04,10922.0,Clothing & Shoes
29,2021-05-05,10922.0,Clothing & Shoes
30,2021-05-06,28385.0,Clothing & Shoes
31,2021-05-07,28385.0,Clothing & Shoes
32,2021-05-08,28385.0,Clothing & Shoes
33,2021-05-09,28385.0,Clothing & Shoes
34,2021-05-10,14834.0,Clothing & Shoes
35,2021-05-11,14834.0,Clothing & Shoes
36,2021-05-12,16142.0,Clothing & Shoes
37,2021-05-13,17942.0,Clothing & Shoes
38,2021-05-14,17942.0,Clothing & Shoes
39,2021-05-15,17942.0,Clothing & Shoes
40,2021-05-16,17942.0,Clothing & Shoes
41,2021-05-17,17942.0,Clothing & Shoes
42,2021-05-18,10162.0,Clothing & Shoes
43,2021-05-19,10162.0,Clothing & Shoes
44,2021-05-20,12800.0,Clothing & Shoes
45,2021-05-21,12800.0,Clothing & Shoes
46,2021-05-22,13283.0,Clothing & Shoes
47,2021-05-23,13283.0,Clothing & Shoes
48,2021-05-24,13612.0,Clothing & Shoes
49,2021-05-25,13612.0,Clothing & Shoes
50,2021-05-26,13612.0,Clothing & Shoes
51,2021-05-27,8831.0,Clothing & Shoes
52,2021-05-28,8928.0,Clothing & Shoes
53,2021-05-29,8928.0,Clothing & Shoes
54,2021-05-30,12456.0,Clothing & Shoes
55,2021-05-31,12456.0,Clothing & Shoes
56,2021-06-01,12686.0,Clothing & Shoes
57,2021-06-02,12686.0,Clothing & Shoes
58,2021-06-03,9132.0,Clothing & Shoes
59,2021-06-04,9132.0,Clothing & Shoes
60,2021-06-05,9127.0,Clothing & Shoes
61,2021-06-06,9127.0,Clothing & Shoes
62,2021-06-07,9600.0,Clothing & Shoes
63,2021-06-08,9600.0,Clothing & Shoes
64,2021-06-09,9600.0,Clothing & Shoes
65,2021-06-10,9600.0,Clothing & Shoes
66,2021-06-11,9600.0,Clothing & Shoes
67,2021-06-12,9600.0,Clothing & Shoes
68,2021-06-13,10933.0,Clothing & Shoes
69,2021-06-14,10933.0,Clothing & Shoes
70,2021-06-15,11921.0,Clothing & Shoes
71,2021-06-16,11921.0,Clothing & Shoes
72,2021-06-17,11921.0,Clothing & Shoes
73,2021-06-18,11921.0,Clothing & Shoes
74,2021-06-19,12660.0,Clothing & Shoes
75,2021-06-20,12660.0,Clothing & Shoes
76,2021-06-21,8343.0,Clothing & Shoes
77,2021-06-22,10872.0,Clothing & Shoes
78,2021-06-23,10872.0,Clothing & Shoes
79,2021-06-24,13753.0,Clothing & Shoes
80,2021-06-25,13753.0,Clothing & Shoes
81,2021-06-26,13753.0,Clothing & Shoes
82,2021-06-27,9484.0,Clothing & Shoes
83,2021-06-28,9484.0,Clothing & Shoes
84,2021-06-29,8170.0,Clothing & Shoes
85,2021-06-30,8170.0,Clothing & Shoes
86,2021-07-01,5726.0,Clothing & Shoes
87,2021-07-02,5726.0,Clothing & Shoes
88,2021-07-03,5029.0,Clothing & Shoes
89,2021-07-04,5029.0,Clothing & Shoes
90,2021-07-05,6220.0,Clothing & Shoes
91,2021-07-06,6220.0,Clothing & Shoes
92,2021-07-07,6220.0,Clothing & Shoes
93,2021-07-08,5068.0,Clothing & Shoes
94,2021-07-09,8111.0,Clothing & Shoes
