,date,value,name_B095S1YGF9
0,2021-05-30,4642.0,Traps
1,2021-05-31,4642.0,Traps
2,2021-06-01,3837.0,Traps
3,2021-06-02,3837.0,Traps
4,2021-06-03,4202.0,Traps
5,2021-06-04,4202.0,Traps
6,2021-06-05,3163.0,Traps
7,2021-06-06,3163.0,Traps
8,2021-06-07,3163.0,Traps
9,2021-06-08,3564.0,Traps
10,2021-06-09,3073.0,Traps
11,2021-06-10,3073.0,Traps
12,2021-06-11,2147.0,Traps
13,2021-06-12,2147.0,Traps
14,2021-06-13,1495.0,Traps
15,2021-06-14,1142.0,Traps
16,2021-06-15,1103.0,Traps
17,2021-06-16,1103.0,Traps
18,2021-06-17,810.0,Traps
19,2021-06-18,761.0,Traps
20,2021-06-19,761.0,Traps
21,2021-06-20,761.0,Traps
22,2021-06-21,1020.0,Traps
23,2021-06-22,1356.0,Traps
24,2021-06-23,1607.0,Traps
25,2021-06-24,1649.0,Traps
26,2021-06-25,1602.0,Traps
27,2021-06-26,1602.0,Traps
28,2021-06-27,2019.0,Traps
29,2021-06-28,1767.0,Traps
30,2021-06-29,1680.0,Traps
31,2021-06-30,1680.0,Traps
32,2021-07-01,1346.0,Traps
33,2021-07-02,1697.0,Traps
34,2021-07-03,1697.0,Traps
35,2021-07-04,1697.0,Traps
36,2021-07-05,1923.0,Traps
37,2021-07-06,1923.0,Traps
38,2021-07-07,4437.0,Traps
39,2021-07-08,4437.0,Traps
40,2021-07-09,3638.0,Traps
41,2021-07-10,3638.0,Traps
42,2021-07-11,3242.0,Traps
