,date,value,name_B07PLJH8QJ
0,2019-03-12,362.0,Cups
1,2019-03-13,362.0,Cups
2,2019-03-14,399.0,Cups
3,2019-03-15,418.0,Cups
4,2019-03-16,365.0,Cups
5,2019-03-17,560.0,Cups
6,2019-03-18,589.0,Cups
7,2019-03-19,418.0,Cups
8,2019-03-20,450.0,Cups
9,2019-03-21,564.0,Cups
10,2019-03-22,558.0,Cups
11,2019-03-23,658.0,Cups
12,2019-03-24,705.0,Cups
13,2019-03-25,503.0,Cups
14,2019-03-26,605.0,Cups
15,2019-03-27,486.0,Cups
16,2019-03-28,400.0,Cups
17,2019-03-29,374.0,Cups
18,2019-03-30,422.0,Cups
19,2019-03-31,429.0,Cups
20,2019-04-01,390.0,Cups
21,2019-04-02,323.0,Cups
22,2019-04-03,357.0,Cups
23,2019-04-04,362.0,Cups
24,2019-04-05,335.0,Cups
25,2019-04-06,340.0,Cups
26,2019-04-07,381.0,Cups
27,2019-04-08,384.0,Cups
28,2019-04-09,293.0,Cups
29,2019-04-10,266.0,Cups
30,2019-04-11,324.0,Cups
31,2019-04-12,333.0,Cups
32,2019-04-13,336.0,Cups
33,2019-04-14,359.0,Cups
34,2019-04-15,327.0,Cups
35,2019-04-16,296.0,Cups
36,2019-04-17,273.0,Cups
37,2019-04-18,324.0,Cups
38,2019-04-19,391.0,Cups
39,2019-04-20,430.0,Cups
40,2019-04-21,444.0,Cups
41,2019-04-22,444.0,Cups
42,2019-04-23,327.0,Cups
43,2019-04-24,317.0,Cups
44,2019-04-25,311.0,Cups
45,2019-04-26,365.0,Cups
46,2019-04-27,338.0,Cups
47,2019-04-28,431.0,Cups
48,2019-04-29,402.0,Cups
49,2019-04-30,402.0,Cups
50,2019-05-01,255.0,Cups
51,2019-05-02,253.0,Cups
52,2019-05-03,255.0,Cups
53,2019-05-04,255.0,Cups
54,2019-05-05,405.0,Cups
55,2019-05-06,303.0,Cups
56,2019-05-07,305.0,Cups
57,2019-05-08,363.0,Cups
58,2019-05-09,381.0,Cups
59,2019-05-10,480.0,Cups
60,2019-05-11,497.0,Cups
61,2019-05-12,534.0,Cups
62,2019-05-13,549.0,Cups
63,2019-05-14,329.0,Cups
64,2019-05-15,258.0,Cups
65,2019-05-16,300.0,Cups
66,2019-05-17,305.0,Cups
67,2019-05-18,348.0,Cups
68,2019-05-19,412.0,Cups
69,2019-05-20,412.0,Cups
70,2019-05-21,295.0,Cups
71,2019-05-22,287.0,Cups
72,2019-05-23,278.0,Cups
73,2019-05-24,281.0,Cups
74,2019-05-25,321.0,Cups
75,2019-05-26,321.0,Cups
76,2019-05-27,344.0,Cups
77,2019-05-28,333.0,Cups
78,2019-05-29,319.0,Cups
79,2019-05-30,279.0,Cups
80,2019-05-31,309.0,Cups
81,2019-06-01,333.0,Cups
82,2019-06-02,390.0,Cups
83,2019-06-03,370.0,Cups
84,2019-06-04,282.0,Cups
85,2019-06-05,270.0,Cups
86,2019-06-06,291.0,Cups
87,2019-06-07,328.0,Cups
88,2019-06-08,365.0,Cups
89,2019-06-09,570.0,Cups
90,2019-06-10,553.0,Cups
91,2019-06-11,511.0,Cups
92,2019-06-12,488.0,Cups
93,2019-06-13,710.0,Cups
94,2019-06-14,817.0,Cups
95,2019-06-15,817.0,Cups
96,2019-06-16,573.0,Cups
97,2019-06-17,399.0,Cups
98,2019-06-18,510.0,Cups
99,2019-06-19,336.0,Cups
100,2019-06-20,416.0,Cups
101,2019-06-21,368.0,Cups
102,2019-06-22,460.0,Cups
103,2019-06-23,507.0,Cups
104,2019-06-24,408.0,Cups
105,2019-06-25,349.0,Cups
106,2019-06-26,298.0,Cups
107,2019-06-27,397.0,Cups
108,2019-06-28,378.0,Cups
109,2019-06-29,334.0,Cups
