,date,value,name_B07GT7R8HD
0,2019-03-13,231523.0,All-Purpose Cleaners
1,2019-03-14,231523.0,All-Purpose Cleaners
2,2019-03-15,303561.0,All-Purpose Cleaners
3,2019-03-16,313926.0,All-Purpose Cleaners
4,2019-03-17,313926.0,All-Purpose Cleaners
5,2019-03-18,357588.0,All-Purpose Cleaners
6,2019-03-19,368773.0,All-Purpose Cleaners
7,2019-03-20,368773.0,All-Purpose Cleaners
8,2019-03-21,368773.0,All-Purpose Cleaners
9,2019-03-22,368773.0,All-Purpose Cleaners
10,2019-03-23,368773.0,All-Purpose Cleaners
11,2019-03-24,368773.0,All-Purpose Cleaners
12,2019-03-25,368773.0,All-Purpose Cleaners
13,2019-03-26,157507.0,All-Purpose Cleaners
14,2019-03-27,202066.0,All-Purpose Cleaners
15,2019-03-28,202066.0,All-Purpose Cleaners
16,2019-03-29,202066.0,All-Purpose Cleaners
17,2019-03-30,202066.0,All-Purpose Cleaners
18,2019-03-31,202066.0,All-Purpose Cleaners
19,2019-04-01,202066.0,All-Purpose Cleaners
20,2019-04-02,132590.0,All-Purpose Cleaners
21,2019-04-03,132590.0,All-Purpose Cleaners
22,2019-04-04,132590.0,All-Purpose Cleaners
23,2019-04-05,132590.0,All-Purpose Cleaners
24,2019-04-06,132590.0,All-Purpose Cleaners
25,2019-04-07,132590.0,All-Purpose Cleaners
26,2019-04-08,86509.0,All-Purpose Cleaners
27,2019-04-09,86509.0,All-Purpose Cleaners
28,2019-04-10,86509.0,All-Purpose Cleaners
29,2019-04-11,86509.0,All-Purpose Cleaners
30,2019-04-12,86509.0,All-Purpose Cleaners
31,2019-04-13,179764.0,All-Purpose Cleaners
32,2019-04-14,179764.0,All-Purpose Cleaners
33,2019-04-15,179764.0,All-Purpose Cleaners
34,2019-04-16,179764.0,All-Purpose Cleaners
35,2019-04-17,124084.0,All-Purpose Cleaners
36,2019-04-18,124084.0,All-Purpose Cleaners
37,2019-04-19,124084.0,All-Purpose Cleaners
38,2019-04-20,124084.0,All-Purpose Cleaners
39,2019-04-21,124084.0,All-Purpose Cleaners
40,2019-04-22,59089.0,All-Purpose Cleaners
41,2019-04-23,59089.0,All-Purpose Cleaners
42,2019-04-24,73197.0,All-Purpose Cleaners
43,2019-04-25,73197.0,All-Purpose Cleaners
44,2019-04-26,73197.0,All-Purpose Cleaners
45,2019-04-27,73197.0,All-Purpose Cleaners
46,2019-04-28,132196.0,All-Purpose Cleaners
47,2019-04-29,132196.0,All-Purpose Cleaners
48,2019-04-30,132196.0,All-Purpose Cleaners
49,2019-05-01,132196.0,All-Purpose Cleaners
50,2019-05-02,132196.0,All-Purpose Cleaners
51,2019-05-03,132196.0,All-Purpose Cleaners
52,2019-05-04,116662.0,All-Purpose Cleaners
53,2019-05-05,76426.0,All-Purpose Cleaners
54,2019-05-06,76426.0,All-Purpose Cleaners
55,2019-05-07,42921.0,All-Purpose Cleaners
56,2019-05-08,110662.0,All-Purpose Cleaners
57,2019-05-09,110662.0,All-Purpose Cleaners
58,2019-05-10,98575.0,All-Purpose Cleaners
59,2019-05-11,98575.0,All-Purpose Cleaners
60,2019-05-12,98575.0,All-Purpose Cleaners
61,2019-05-13,98575.0,All-Purpose Cleaners
62,2019-05-14,98575.0,All-Purpose Cleaners
63,2019-05-15,178875.0,All-Purpose Cleaners
64,2019-05-16,178875.0,All-Purpose Cleaners
65,2019-05-17,178875.0,All-Purpose Cleaners
66,2019-05-18,178875.0,All-Purpose Cleaners
67,2019-05-19,50786.0,All-Purpose Cleaners
68,2019-05-20,50786.0,All-Purpose Cleaners
69,2019-05-21,50786.0,All-Purpose Cleaners
70,2019-05-22,40860.0,All-Purpose Cleaners
71,2019-05-23,40860.0,All-Purpose Cleaners
72,2019-05-24,85735.0,All-Purpose Cleaners
73,2019-05-25,85735.0,All-Purpose Cleaners
74,2019-05-26,85735.0,All-Purpose Cleaners
75,2019-05-27,104136.0,All-Purpose Cleaners
76,2019-05-28,104136.0,All-Purpose Cleaners
77,2019-05-29,104136.0,All-Purpose Cleaners
78,2019-05-30,104136.0,All-Purpose Cleaners
79,2019-05-31,129003.0,All-Purpose Cleaners
80,2019-06-01,129003.0,All-Purpose Cleaners
81,2019-06-02,129003.0,All-Purpose Cleaners
82,2019-06-03,28469.0,All-Purpose Cleaners
83,2019-06-04,28469.0,All-Purpose Cleaners
84,2019-06-05,69766.0,All-Purpose Cleaners
85,2019-06-06,69766.0,All-Purpose Cleaners
86,2019-06-07,69766.0,All-Purpose Cleaners
87,2019-06-08,121455.0,All-Purpose Cleaners
88,2019-06-09,121455.0,All-Purpose Cleaners
89,2019-06-10,115534.0,All-Purpose Cleaners
90,2019-06-11,115534.0,All-Purpose Cleaners
91,2019-06-12,115534.0,All-Purpose Cleaners
92,2019-06-13,144828.0,All-Purpose Cleaners
93,2019-06-14,144828.0,All-Purpose Cleaners
94,2019-06-15,144828.0,All-Purpose Cleaners
95,2019-06-16,144828.0,All-Purpose Cleaners
96,2019-06-17,95193.0,All-Purpose Cleaners
97,2019-06-18,95193.0,All-Purpose Cleaners
98,2019-06-19,95193.0,All-Purpose Cleaners
99,2019-06-20,111261.0,All-Purpose Cleaners
100,2019-06-21,111261.0,All-Purpose Cleaners
101,2019-06-22,111261.0,All-Purpose Cleaners
102,2019-06-23,111261.0,All-Purpose Cleaners
103,2019-06-24,-1.0,All-Purpose Cleaners
104,2019-06-25,-1.0,All-Purpose Cleaners
105,2019-06-26,-1.0,All-Purpose Cleaners
106,2019-06-27,-1.0,All-Purpose Cleaners
107,2019-06-28,-1.0,All-Purpose Cleaners
108,2019-06-29,-1.0,All-Purpose Cleaners
109,2019-06-30,-1.0,All-Purpose Cleaners
110,2019-07-01,-1.0,All-Purpose Cleaners
111,2019-07-02,-1.0,All-Purpose Cleaners
112,2019-07-03,-1.0,All-Purpose Cleaners
113,2019-07-04,-1.0,All-Purpose Cleaners
114,2019-07-05,-1.0,All-Purpose Cleaners
115,2019-07-06,-1.0,All-Purpose Cleaners
116,2019-07-07,-1.0,All-Purpose Cleaners
117,2019-07-08,-1.0,All-Purpose Cleaners
118,2019-07-09,-1.0,All-Purpose Cleaners
119,2019-07-10,-1.0,All-Purpose Cleaners
120,2019-07-11,-1.0,All-Purpose Cleaners
121,2019-07-12,-1.0,All-Purpose Cleaners
122,2019-07-13,-1.0,All-Purpose Cleaners
123,2019-07-14,-1.0,All-Purpose Cleaners
124,2019-07-15,-1.0,All-Purpose Cleaners
125,2019-07-16,-1.0,All-Purpose Cleaners
