,date,value,name_B08ZX2651F
0,2021-04-27,2025.0,Baby Floats
1,2021-04-28,2358.0,Baby Floats
2,2021-04-29,2812.0,Baby Floats
3,2021-04-30,2812.0,Baby Floats
4,2021-05-01,2166.0,Baby Floats
5,2021-05-02,2121.0,Baby Floats
6,2021-05-03,2121.0,Baby Floats
7,2021-05-04,2057.0,Baby Floats
8,2021-05-05,2057.0,Baby Floats
9,2021-05-06,2697.0,Baby Floats
10,2021-05-07,2697.0,Baby Floats
11,2021-05-08,2697.0,Baby Floats
12,2021-05-09,2073.0,Baby Floats
13,2021-05-10,2369.0,Baby Floats
14,2021-05-11,2276.0,Baby Floats
15,2021-05-12,2385.0,Baby Floats
16,2021-05-13,1913.0,Baby Floats
17,2021-05-14,1812.0,Baby Floats
18,2021-05-15,1812.0,Baby Floats
19,2021-05-16,1493.0,Baby Floats
20,2021-05-17,1493.0,Baby Floats
21,2021-05-18,1376.0,Baby Floats
22,2021-05-19,1132.0,Baby Floats
23,2021-05-20,1626.0,Baby Floats
24,2021-05-21,1595.0,Baby Floats
25,2021-05-22,1595.0,Baby Floats
26,2021-05-23,1100.0,Baby Floats
27,2021-05-24,1114.0,Baby Floats
28,2021-05-25,1114.0,Baby Floats
29,2021-05-26,1523.0,Baby Floats
30,2021-05-27,1651.0,Baby Floats
31,2021-05-28,1604.0,Baby Floats
32,2021-05-29,1685.0,Baby Floats
33,2021-05-30,2368.0,Baby Floats
34,2021-05-31,2368.0,Baby Floats
35,2021-06-01,1457.0,Baby Floats
36,2021-06-02,1399.0,Baby Floats
37,2021-06-03,1399.0,Baby Floats
38,2021-06-04,1771.0,Baby Floats
39,2021-06-05,1771.0,Baby Floats
40,2021-06-06,1085.0,Baby Floats
41,2021-06-07,1085.0,Baby Floats
42,2021-06-08,1085.0,Baby Floats
43,2021-06-09,1452.0,Baby Floats
44,2021-06-10,1269.0,Baby Floats
45,2021-06-11,1269.0,Baby Floats
46,2021-06-12,1400.0,Baby Floats
47,2021-06-13,1305.0,Baby Floats
48,2021-06-14,941.0,Baby Floats
49,2021-06-15,941.0,Baby Floats
50,2021-06-16,1019.0,Baby Floats
51,2021-06-17,1019.0,Baby Floats
52,2021-06-18,1166.0,Baby Floats
53,2021-06-19,1166.0,Baby Floats
54,2021-06-20,1166.0,Baby Floats
55,2021-06-21,1402.0,Baby Floats
56,2021-06-22,4953.0,Baby Floats
57,2021-06-23,4953.0,Baby Floats
58,2021-06-24,4398.0,Baby Floats
59,2021-06-25,4398.0,Baby Floats
60,2021-06-26,4107.0,Baby Floats
61,2021-06-27,4107.0,Baby Floats
62,2021-06-28,4107.0,Baby Floats
63,2021-06-29,2783.0,Baby Floats
64,2021-06-30,2783.0,Baby Floats
65,2021-07-01,2636.0,Baby Floats
66,2021-07-02,2636.0,Baby Floats
67,2021-07-03,4279.0,Baby Floats
68,2021-07-04,4279.0,Baby Floats
69,2021-07-05,4279.0,Baby Floats
70,2021-07-06,3089.0,Baby Floats
71,2021-07-07,3089.0,Baby Floats
72,2021-07-08,3885.0,Baby Floats
73,2021-07-09,4021.0,Baby Floats
74,2021-07-10,3069.0,Baby Floats
75,2021-07-11,2154.0,Baby Floats
