,date,value,name_B081FZHMHM
0,2019-11-17,12908.0,Plates
1,2019-11-18,16914.0,Plates
2,2019-11-19,13201.0,Plates
3,2019-11-20,13201.0,Plates
4,2019-11-21,15152.0,Plates
5,2019-11-22,15152.0,Plates
6,2019-11-23,15152.0,Plates
7,2019-11-24,15152.0,Plates
8,2019-11-25,19567.0,Plates
9,2019-11-26,14867.0,Plates
10,2019-11-27,13433.0,Plates
11,2019-11-28,13433.0,Plates
12,2019-11-29,27898.0,Plates
13,2019-11-30,27898.0,Plates
14,2019-12-01,29643.0,Plates
15,2019-12-02,29643.0,Plates
16,2019-12-03,25908.0,Plates
17,2019-12-04,21099.0,Plates
18,2019-12-05,23449.0,Plates
19,2019-12-06,24166.0,Plates
20,2019-12-07,22475.0,Plates
21,2019-12-08,29117.0,Plates
22,2019-12-09,38170.0,Plates
23,2019-12-10,32768.0,Plates
24,2019-12-11,31638.0,Plates
25,2019-12-12,26924.0,Plates
26,2019-12-13,29433.0,Plates
27,2019-12-14,29433.0,Plates
28,2019-12-15,31346.0,Plates
29,2019-12-16,31346.0,Plates
30,2019-12-17,31346.0,Plates
31,2019-12-18,31346.0,Plates
32,2019-12-19,31346.0,Plates
33,2019-12-20,26220.0,Plates
34,2019-12-21,26220.0,Plates
35,2019-12-22,26220.0,Plates
36,2019-12-23,34792.0,Plates
37,2019-12-24,34792.0,Plates
38,2019-12-25,34792.0,Plates
39,2019-12-26,34792.0,Plates
40,2019-12-27,28794.0,Plates
41,2019-12-28,28794.0,Plates
42,2019-12-29,28794.0,Plates
43,2019-12-30,30005.0,Plates
44,2019-12-31,30005.0,Plates
45,2020-01-01,30005.0,Plates
46,2020-01-02,30005.0,Plates
47,2020-01-03,30005.0,Plates
48,2020-01-04,30005.0,Plates
49,2020-01-05,22176.0,Plates
50,2020-01-06,22176.0,Plates
51,2020-01-07,22176.0,Plates
52,2020-01-08,17002.0,Plates
53,2020-01-09,17002.0,Plates
54,2020-01-10,17002.0,Plates
55,2020-01-11,17002.0,Plates
56,2020-01-12,17002.0,Plates
57,2020-01-13,18646.0,Plates
58,2020-01-14,18646.0,Plates
59,2020-01-15,18646.0,Plates
60,2020-01-16,18646.0,Plates
61,2020-01-17,18646.0,Plates
62,2020-01-18,21706.0,Plates
63,2020-01-19,21706.0,Plates
64,2020-01-20,21706.0,Plates
65,2020-01-21,21706.0,Plates
66,2020-01-22,21706.0,Plates
67,2020-01-23,20187.0,Plates
68,2020-01-24,20187.0,Plates
69,2020-01-25,20187.0,Plates
70,2020-01-26,20187.0,Plates
71,2020-01-27,20187.0,Plates
72,2020-01-28,20187.0,Plates
73,2020-01-29,20187.0,Plates
74,2020-01-30,12688.0,Plates
75,2020-01-31,12688.0,Plates
76,2020-02-01,16729.0,Plates
77,2020-02-02,16729.0,Plates
78,2020-02-03,16729.0,Plates
79,2020-02-04,16831.0,Plates
80,2020-02-05,11744.0,Plates
81,2020-02-06,11744.0,Plates
82,2020-02-07,11744.0,Plates
83,2020-02-08,22411.0,Plates
84,2020-02-09,22411.0,Plates
85,2020-02-10,22411.0,Plates
86,2020-02-11,15154.0,Plates
87,2020-02-12,15154.0,Plates
88,2020-02-13,15154.0,Plates
89,2020-02-14,15154.0,Plates
90,2020-02-15,15154.0,Plates
91,2020-02-16,15154.0,Plates
92,2020-02-17,28165.0,Plates
93,2020-02-18,28165.0,Plates
94,2020-02-19,28165.0,Plates
95,2020-02-20,28165.0,Plates
96,2020-02-21,28165.0,Plates
97,2020-02-22,28165.0,Plates
98,2020-02-23,28165.0,Plates
99,2020-02-24,-1.0,Plates
100,2020-02-25,-1.0,Plates
101,2020-02-26,-1.0,Plates
102,2020-02-27,-1.0,Plates
103,2020-02-28,16389.0,Plates
104,2020-02-29,16389.0,Plates
105,2020-03-01,16389.0,Plates
106,2020-03-02,16389.0,Plates
107,2020-03-03,15959.0,Plates
108,2020-03-04,15959.0,Plates
109,2020-03-05,15959.0,Plates
110,2020-03-06,15959.0,Plates
111,2020-03-07,15959.0,Plates
112,2020-03-08,15959.0,Plates
113,2020-03-09,15959.0,Plates
114,2020-03-10,-1.0,Plates
