,date,value,name_B08L5N865H
0,2020-10-21,18160.0,Arthritis
1,2020-10-22,18160.0,Arthritis
2,2020-10-23,18160.0,Arthritis
3,2020-10-24,18959.0,Arthritis
4,2020-10-25,18959.0,Arthritis
5,2020-10-26,21792.0,Arthritis
6,2020-10-27,21792.0,Arthritis
7,2020-10-28,21792.0,Arthritis
8,2020-10-29,19119.0,Arthritis
9,2020-10-30,19119.0,Arthritis
10,2020-10-31,20300.0,Arthritis
11,2020-11-01,20300.0,Arthritis
12,2020-11-02,20300.0,Arthritis
13,2020-11-03,21305.0,Arthritis
14,2020-11-04,21305.0,Arthritis
15,2020-11-05,21305.0,Arthritis
16,2020-11-06,21305.0,Arthritis
17,2020-11-07,17484.0,Arthritis
18,2020-11-08,16314.0,Arthritis
19,2020-11-09,16314.0,Arthritis
20,2020-11-10,17266.0,Arthritis
21,2020-11-11,17266.0,Arthritis
22,2020-11-12,17266.0,Arthritis
23,2020-11-13,15795.0,Arthritis
24,2020-11-14,15795.0,Arthritis
25,2020-11-15,16250.0,Arthritis
26,2020-11-16,10282.0,Arthritis
27,2020-11-17,10282.0,Arthritis
28,2020-11-18,10282.0,Arthritis
29,2020-11-19,10282.0,Arthritis
30,2020-11-20,10282.0,Arthritis
31,2020-11-21,16674.0,Arthritis
32,2020-11-22,15460.0,Arthritis
33,2020-11-23,15460.0,Arthritis
34,2020-11-24,15460.0,Arthritis
35,2020-11-25,16695.0,Arthritis
36,2020-11-26,16695.0,Arthritis
37,2020-11-27,16695.0,Arthritis
38,2020-11-28,16695.0,Arthritis
39,2020-11-29,16695.0,Arthritis
40,2020-11-30,17594.0,Arthritis
41,2020-12-01,20460.0,Arthritis
42,2020-12-02,20460.0,Arthritis
43,2020-12-03,20460.0,Arthritis
44,2020-12-04,20460.0,Arthritis
45,2020-12-05,20460.0,Arthritis
46,2020-12-06,17469.0,Arthritis
47,2020-12-07,17469.0,Arthritis
48,2020-12-08,17469.0,Arthritis
49,2020-12-09,19324.0,Arthritis
50,2020-12-10,19324.0,Arthritis
51,2020-12-11,16966.0,Arthritis
52,2020-12-12,16966.0,Arthritis
53,2020-12-13,16966.0,Arthritis
54,2020-12-14,20628.0,Arthritis
55,2020-12-15,20628.0,Arthritis
56,2020-12-16,20628.0,Arthritis
57,2020-12-17,22540.0,Arthritis
58,2020-12-18,22540.0,Arthritis
59,2020-12-19,22540.0,Arthritis
60,2020-12-20,18464.0,Arthritis
61,2020-12-21,20945.0,Arthritis
62,2020-12-22,20945.0,Arthritis
63,2020-12-23,20945.0,Arthritis
64,2020-12-24,20945.0,Arthritis
65,2020-12-25,20945.0,Arthritis
66,2020-12-26,22432.0,Arthritis
67,2020-12-27,22432.0,Arthritis
68,2020-12-28,22432.0,Arthritis
69,2020-12-29,22432.0,Arthritis
70,2020-12-30,22432.0,Arthritis
71,2020-12-31,22145.0,Arthritis
72,2021-01-01,22145.0,Arthritis
73,2021-01-02,22145.0,Arthritis
74,2021-01-03,22145.0,Arthritis
75,2021-01-04,22145.0,Arthritis
76,2021-01-05,22145.0,Arthritis
77,2021-01-06,22003.0,Arthritis
78,2021-01-07,22003.0,Arthritis
79,2021-01-08,19354.0,Arthritis
80,2021-01-09,19354.0,Arthritis
81,2021-01-10,19354.0,Arthritis
82,2021-01-11,16187.0,Arthritis
83,2021-01-12,16187.0,Arthritis
84,2021-01-13,10138.0,Arthritis
85,2021-01-14,10138.0,Arthritis
86,2021-01-15,10138.0,Arthritis
87,2021-01-16,11122.0,Arthritis
88,2021-01-17,11122.0,Arthritis
89,2021-01-18,14171.0,Arthritis
90,2021-01-19,14171.0,Arthritis
91,2021-01-20,18842.0,Arthritis
92,2021-01-21,18842.0,Arthritis
93,2021-01-22,18842.0,Arthritis
94,2021-01-23,18842.0,Arthritis
95,2021-01-24,18842.0,Arthritis
96,2021-01-25,18165.0,Arthritis
97,2021-01-26,18165.0,Arthritis
98,2021-01-27,18165.0,Arthritis
99,2021-01-28,18165.0,Arthritis
100,2021-01-29,17065.0,Arthritis
101,2021-01-30,17065.0,Arthritis
102,2021-01-31,16421.0,Arthritis
103,2021-02-01,16421.0,Arthritis
104,2021-02-02,16421.0,Arthritis
105,2021-02-03,16421.0,Arthritis
106,2021-02-04,16421.0,Arthritis
107,2021-02-05,15494.0,Arthritis
108,2021-02-06,15494.0,Arthritis
109,2021-02-07,15494.0,Arthritis
110,2021-02-08,15494.0,Arthritis
111,2021-02-09,15494.0,Arthritis
112,2021-02-10,15323.0,Arthritis
113,2021-02-11,15323.0,Arthritis
114,2021-02-12,15323.0,Arthritis
