,date,value,name_B085LFY3PP
0,2020-10-07,80032.0,Indoor String Lights
1,2020-10-08,87051.0,Indoor String Lights
2,2020-10-09,87051.0,Indoor String Lights
3,2020-10-10,87051.0,Indoor String Lights
4,2020-10-11,87051.0,Indoor String Lights
5,2020-10-12,87051.0,Indoor String Lights
6,2020-10-13,87051.0,Indoor String Lights
7,2020-10-14,63094.0,Indoor String Lights
8,2020-10-15,56091.0,Indoor String Lights
9,2020-10-16,60985.0,Indoor String Lights
10,2020-10-17,44381.0,Indoor String Lights
11,2020-10-18,44381.0,Indoor String Lights
12,2020-10-19,44381.0,Indoor String Lights
13,2020-10-20,46596.0,Indoor String Lights
14,2020-10-21,46596.0,Indoor String Lights
15,2020-10-22,55154.0,Indoor String Lights
16,2020-10-23,55154.0,Indoor String Lights
17,2020-10-24,55154.0,Indoor String Lights
18,2020-10-25,55154.0,Indoor String Lights
19,2020-10-26,38393.0,Indoor String Lights
20,2020-10-27,38393.0,Indoor String Lights
21,2020-10-28,30550.0,Indoor String Lights
22,2020-10-29,45691.0,Indoor String Lights
23,2020-10-30,46946.0,Indoor String Lights
24,2020-10-31,42690.0,Indoor String Lights
25,2020-11-01,42690.0,Indoor String Lights
26,2020-11-02,46664.0,Indoor String Lights
27,2020-11-03,56036.0,Indoor String Lights
28,2020-11-04,36545.0,Indoor String Lights
29,2020-11-05,36545.0,Indoor String Lights
30,2020-11-06,36545.0,Indoor String Lights
31,2020-11-07,36545.0,Indoor String Lights
32,2020-11-08,78799.0,Indoor String Lights
33,2020-11-09,62810.0,Indoor String Lights
34,2020-11-10,67785.0,Indoor String Lights
35,2020-11-11,59481.0,Indoor String Lights
36,2020-11-12,59481.0,Indoor String Lights
37,2020-11-13,36106.0,Indoor String Lights
38,2020-11-14,51941.0,Indoor String Lights
