,date,value,name_B08W4T2VM6
0,2021-02-10,4813.0,Plush Pillows
1,2021-02-11,3615.0,Plush Pillows
2,2021-02-12,3615.0,Plush Pillows
3,2021-02-13,3615.0,Plush Pillows
4,2021-02-14,6184.0,Plush Pillows
5,2021-02-15,6184.0,Plush Pillows
6,2021-02-16,6184.0,Plush Pillows
7,2021-02-17,2840.0,Plush Pillows
8,2021-02-18,2840.0,Plush Pillows
9,2021-02-19,3786.0,Plush Pillows
10,2021-02-20,5471.0,Plush Pillows
11,2021-02-21,2271.0,Plush Pillows
12,2021-02-22,4003.0,Plush Pillows
13,2021-02-23,4003.0,Plush Pillows
14,2021-02-24,6178.0,Plush Pillows
15,2021-02-25,6357.0,Plush Pillows
16,2021-02-26,6357.0,Plush Pillows
17,2021-02-27,6357.0,Plush Pillows
18,2021-02-28,7734.0,Plush Pillows
19,2021-03-01,8387.0,Plush Pillows
20,2021-03-02,12191.0,Plush Pillows
21,2021-03-03,12191.0,Plush Pillows
22,2021-03-04,12191.0,Plush Pillows
23,2021-03-05,13963.0,Plush Pillows
24,2021-03-06,7856.0,Plush Pillows
25,2021-03-07,8466.0,Plush Pillows
26,2021-03-08,8632.0,Plush Pillows
27,2021-03-09,8772.0,Plush Pillows
28,2021-03-10,8772.0,Plush Pillows
29,2021-03-11,8772.0,Plush Pillows
30,2021-03-12,8756.0,Plush Pillows
31,2021-03-13,12958.0,Plush Pillows
32,2021-03-14,12958.0,Plush Pillows
33,2021-03-15,12958.0,Plush Pillows
34,2021-03-16,12958.0,Plush Pillows
35,2021-03-17,11572.0,Plush Pillows
36,2021-03-18,11572.0,Plush Pillows
37,2021-03-19,11572.0,Plush Pillows
38,2021-03-20,6844.0,Plush Pillows
39,2021-03-21,6844.0,Plush Pillows
40,2021-03-22,10190.0,Plush Pillows
41,2021-03-23,10459.0,Plush Pillows
42,2021-03-24,10459.0,Plush Pillows
43,2021-03-25,745.0,Plush Pillows
44,2021-03-26,1249.0,Plush Pillows
45,2021-03-27,1249.0,Plush Pillows
46,2021-03-28,1249.0,Plush Pillows
47,2021-03-29,941.0,Plush Pillows
48,2021-03-30,691.0,Plush Pillows
49,2021-03-31,1293.0,Plush Pillows
50,2021-04-01,1736.0,Plush Pillows
51,2021-04-02,2076.0,Plush Pillows
52,2021-04-03,2076.0,Plush Pillows
53,2021-04-04,1462.0,Plush Pillows
54,2021-04-05,1462.0,Plush Pillows
55,2021-04-06,1462.0,Plush Pillows
56,2021-04-07,2249.0,Plush Pillows
57,2021-04-08,2298.0,Plush Pillows
58,2021-04-09,2164.0,Plush Pillows
59,2021-04-10,2604.0,Plush Pillows
60,2021-04-11,2604.0,Plush Pillows
61,2021-04-12,2489.0,Plush Pillows
62,2021-04-13,2847.0,Plush Pillows
63,2021-04-14,3469.0,Plush Pillows
64,2021-04-15,3506.0,Plush Pillows
65,2021-04-16,3253.0,Plush Pillows
66,2021-04-17,1815.0,Plush Pillows
67,2021-04-18,2452.0,Plush Pillows
68,2021-04-19,2452.0,Plush Pillows
69,2021-04-20,3438.0,Plush Pillows
70,2021-04-21,2759.0,Plush Pillows
71,2021-04-22,2660.0,Plush Pillows
72,2021-04-23,2660.0,Plush Pillows
73,2021-04-24,2059.0,Plush Pillows
74,2021-04-25,2059.0,Plush Pillows
75,2021-04-26,1777.0,Plush Pillows
76,2021-04-27,1777.0,Plush Pillows
77,2021-04-28,3704.0,Plush Pillows
78,2021-04-29,2047.0,Plush Pillows
79,2021-04-30,5040.0,Plush Pillows
80,2021-05-01,5040.0,Plush Pillows
81,2021-05-02,5040.0,Plush Pillows
82,2021-05-03,10608.0,Plush Pillows
83,2021-05-04,8720.0,Plush Pillows
84,2021-05-05,7917.0,Plush Pillows
85,2021-05-06,11602.0,Plush Pillows
86,2021-05-07,11602.0,Plush Pillows
87,2021-05-08,11602.0,Plush Pillows
88,2021-05-09,5739.0,Plush Pillows
89,2021-05-10,5349.0,Plush Pillows
90,2021-05-11,6960.0,Plush Pillows
91,2021-05-12,6960.0,Plush Pillows
92,2021-05-13,7941.0,Plush Pillows
93,2021-05-14,7941.0,Plush Pillows
94,2021-05-15,6289.0,Plush Pillows
95,2021-05-16,6289.0,Plush Pillows
96,2021-05-17,5860.0,Plush Pillows
97,2021-05-18,5860.0,Plush Pillows
98,2021-05-19,8983.0,Plush Pillows
99,2021-05-20,6791.0,Plush Pillows
100,2021-05-21,6791.0,Plush Pillows
101,2021-05-22,592.0,Plush Pillows
102,2021-05-23,592.0,Plush Pillows
103,2021-05-24,592.0,Plush Pillows
104,2021-05-25,1951.0,Plush Pillows
105,2021-05-26,1951.0,Plush Pillows
106,2021-05-27,4003.0,Plush Pillows
107,2021-05-28,2331.0,Plush Pillows
108,2021-05-29,2331.0,Plush Pillows
109,2021-05-30,1639.0,Plush Pillows
110,2021-05-31,3163.0,Plush Pillows
111,2021-06-01,3163.0,Plush Pillows
112,2021-06-02,3163.0,Plush Pillows
113,2021-06-03,3307.0,Plush Pillows
114,2021-06-04,3307.0,Plush Pillows
115,2021-06-05,2740.0,Plush Pillows
116,2021-06-06,2740.0,Plush Pillows
117,2021-06-07,2740.0,Plush Pillows
118,2021-06-08,5133.0,Plush Pillows
119,2021-06-09,4410.0,Plush Pillows
120,2021-06-10,4410.0,Plush Pillows
121,2021-06-11,3151.0,Plush Pillows
122,2021-06-12,3092.0,Plush Pillows
123,2021-06-13,2498.0,Plush Pillows
124,2021-06-14,2498.0,Plush Pillows
125,2021-06-15,2498.0,Plush Pillows
126,2021-06-16,8579.0,Plush Pillows
127,2021-06-17,8579.0,Plush Pillows
128,2021-06-18,8371.0,Plush Pillows
129,2021-06-19,8371.0,Plush Pillows
130,2021-06-20,8371.0,Plush Pillows
131,2021-06-21,8400.0,Plush Pillows
132,2021-06-22,11101.0,Plush Pillows
133,2021-06-23,13316.0,Plush Pillows
134,2021-06-24,13316.0,Plush Pillows
135,2021-06-25,5807.0,Plush Pillows
136,2021-06-26,5360.0,Plush Pillows
137,2021-06-27,4352.0,Plush Pillows
138,2021-06-28,5234.0,Plush Pillows
139,2021-06-29,5770.0,Plush Pillows
140,2021-06-30,6432.0,Plush Pillows
141,2021-07-01,6432.0,Plush Pillows
142,2021-07-02,4153.0,Plush Pillows
143,2021-07-03,3976.0,Plush Pillows
144,2021-07-04,1099.0,Plush Pillows
145,2021-07-05,2015.0,Plush Pillows
146,2021-07-06,2379.0,Plush Pillows
147,2021-07-07,2034.0,Plush Pillows
148,2021-07-08,1106.0,Plush Pillows
149,2021-07-09,1261.0,Plush Pillows
150,2021-07-10,1631.0,Plush Pillows
151,2021-07-11,1150.0,Plush Pillows
