,date,value,name_B08H867DN5
0,2020-09-09,81611.0,Floating Shelves
1,2020-09-10,95659.0,Floating Shelves
2,2020-09-11,95659.0,Floating Shelves
3,2020-09-12,98561.0,Floating Shelves
4,2020-09-13,98561.0,Floating Shelves
5,2020-09-14,98561.0,Floating Shelves
6,2020-09-15,98561.0,Floating Shelves
7,2020-09-16,98561.0,Floating Shelves
8,2020-09-17,83857.0,Floating Shelves
9,2020-09-18,110385.0,Floating Shelves
10,2020-09-19,110385.0,Floating Shelves
11,2020-09-20,110385.0,Floating Shelves
12,2020-09-21,110385.0,Floating Shelves
13,2020-09-22,76102.0,Floating Shelves
14,2020-09-23,76102.0,Floating Shelves
15,2020-09-24,76102.0,Floating Shelves
16,2020-09-25,76102.0,Floating Shelves
17,2020-09-26,94594.0,Floating Shelves
18,2020-09-27,94594.0,Floating Shelves
19,2020-09-28,94594.0,Floating Shelves
20,2020-09-29,94594.0,Floating Shelves
21,2020-09-30,84500.0,Floating Shelves
22,2020-10-01,84500.0,Floating Shelves
23,2020-10-02,84500.0,Floating Shelves
24,2020-10-03,84500.0,Floating Shelves
25,2020-10-04,84500.0,Floating Shelves
26,2020-10-05,84500.0,Floating Shelves
27,2020-10-06,65115.0,Floating Shelves
28,2020-10-07,99231.0,Floating Shelves
29,2020-10-08,99231.0,Floating Shelves
30,2020-10-09,99231.0,Floating Shelves
31,2020-10-10,99231.0,Floating Shelves
32,2020-10-11,99231.0,Floating Shelves
33,2020-10-12,99231.0,Floating Shelves
34,2020-10-13,85793.0,Floating Shelves
35,2020-10-14,76247.0,Floating Shelves
36,2020-10-15,76247.0,Floating Shelves
37,2020-10-16,76247.0,Floating Shelves
38,2020-10-17,69842.0,Floating Shelves
39,2020-10-18,69842.0,Floating Shelves
40,2020-10-19,69842.0,Floating Shelves
41,2020-10-20,69842.0,Floating Shelves
42,2020-10-21,69842.0,Floating Shelves
43,2020-10-22,81701.0,Floating Shelves
44,2020-10-23,65879.0,Floating Shelves
45,2020-10-24,65879.0,Floating Shelves
46,2020-10-25,65879.0,Floating Shelves
47,2020-10-26,104310.0,Floating Shelves
48,2020-10-27,29138.0,Floating Shelves
49,2020-10-28,29138.0,Floating Shelves
50,2020-10-29,20004.0,Floating Shelves
51,2020-10-30,20004.0,Floating Shelves
52,2020-10-31,20004.0,Floating Shelves
53,2020-11-01,28323.0,Floating Shelves
54,2020-11-02,28323.0,Floating Shelves
55,2020-11-03,28323.0,Floating Shelves
56,2020-11-04,27329.0,Floating Shelves
57,2020-11-05,19102.0,Floating Shelves
58,2020-11-06,4620.0,Floating Shelves
59,2020-11-07,4620.0,Floating Shelves
60,2020-11-08,4620.0,Floating Shelves
61,2020-11-09,26768.0,Floating Shelves
62,2020-11-10,30784.0,Floating Shelves
63,2020-11-11,32809.0,Floating Shelves
64,2020-11-12,37610.0,Floating Shelves
65,2020-11-13,37610.0,Floating Shelves
66,2020-11-14,37610.0,Floating Shelves
67,2020-11-15,29531.0,Floating Shelves
68,2020-11-16,29531.0,Floating Shelves
69,2020-11-17,35734.0,Floating Shelves
70,2020-11-18,35734.0,Floating Shelves
71,2020-11-19,35734.0,Floating Shelves
72,2020-11-20,43043.0,Floating Shelves
73,2020-11-21,43043.0,Floating Shelves
74,2020-11-22,43043.0,Floating Shelves
75,2020-11-23,48710.0,Floating Shelves
76,2020-11-24,48710.0,Floating Shelves
77,2020-11-25,53291.0,Floating Shelves
78,2020-11-26,53291.0,Floating Shelves
79,2020-11-27,25581.0,Floating Shelves
80,2020-11-28,25581.0,Floating Shelves
81,2020-11-29,25581.0,Floating Shelves
82,2020-11-30,25581.0,Floating Shelves
83,2020-12-01,17380.0,Floating Shelves
84,2020-12-02,22869.0,Floating Shelves
85,2020-12-03,22869.0,Floating Shelves
86,2020-12-04,18945.0,Floating Shelves
87,2020-12-05,16150.0,Floating Shelves
88,2020-12-06,16150.0,Floating Shelves
89,2020-12-07,29255.0,Floating Shelves
90,2020-12-08,32682.0,Floating Shelves
91,2020-12-09,32682.0,Floating Shelves
92,2020-12-10,32682.0,Floating Shelves
93,2020-12-11,38141.0,Floating Shelves
94,2020-12-12,38141.0,Floating Shelves
95,2020-12-13,42149.0,Floating Shelves
96,2020-12-14,40500.0,Floating Shelves
97,2020-12-15,40500.0,Floating Shelves
98,2020-12-16,40500.0,Floating Shelves
99,2020-12-17,43297.0,Floating Shelves
