,date,value,name_B0922D93GK
0,2021-04-21,85587.0,Toilet Assistance Steps
1,2021-04-22,66165.0,Toilet Assistance Steps
2,2021-04-23,68865.0,Toilet Assistance Steps
3,2021-04-24,71487.0,Toilet Assistance Steps
4,2021-04-25,71487.0,Toilet Assistance Steps
5,2021-04-26,38959.0,Toilet Assistance Steps
6,2021-04-27,38959.0,Toilet Assistance Steps
7,2021-04-28,38959.0,Toilet Assistance Steps
8,2021-04-29,38959.0,Toilet Assistance Steps
9,2021-04-30,40722.0,Toilet Assistance Steps
10,2021-05-01,40722.0,Toilet Assistance Steps
11,2021-05-02,40722.0,Toilet Assistance Steps
12,2021-05-03,40722.0,Toilet Assistance Steps
13,2021-05-04,40722.0,Toilet Assistance Steps
14,2021-05-05,27600.0,Toilet Assistance Steps
15,2021-05-06,32095.0,Toilet Assistance Steps
16,2021-05-07,28768.0,Toilet Assistance Steps
17,2021-05-08,30480.0,Toilet Assistance Steps
18,2021-05-09,30480.0,Toilet Assistance Steps
19,2021-05-10,26634.0,Toilet Assistance Steps
20,2021-05-11,21464.0,Toilet Assistance Steps
21,2021-05-12,17363.0,Toilet Assistance Steps
22,2021-05-13,17201.0,Toilet Assistance Steps
23,2021-05-14,21865.0,Toilet Assistance Steps
24,2021-05-15,18227.0,Toilet Assistance Steps
25,2021-05-16,17407.0,Toilet Assistance Steps
26,2021-05-17,15748.0,Toilet Assistance Steps
27,2021-05-18,21148.0,Toilet Assistance Steps
28,2021-05-19,21148.0,Toilet Assistance Steps
29,2021-05-20,18791.0,Toilet Assistance Steps
30,2021-05-21,16755.0,Toilet Assistance Steps
31,2021-05-22,17576.0,Toilet Assistance Steps
32,2021-05-23,16000.0,Toilet Assistance Steps
33,2021-05-24,16000.0,Toilet Assistance Steps
34,2021-05-25,15914.0,Toilet Assistance Steps
35,2021-05-26,16278.0,Toilet Assistance Steps
36,2021-05-27,17212.0,Toilet Assistance Steps
37,2021-05-28,17212.0,Toilet Assistance Steps
38,2021-05-29,17212.0,Toilet Assistance Steps
39,2021-05-30,17212.0,Toilet Assistance Steps
40,2021-05-31,18202.0,Toilet Assistance Steps
41,2021-06-01,18931.0,Toilet Assistance Steps
42,2021-06-02,18931.0,Toilet Assistance Steps
43,2021-06-03,22082.0,Toilet Assistance Steps
44,2021-06-04,22082.0,Toilet Assistance Steps
45,2021-06-05,22082.0,Toilet Assistance Steps
46,2021-06-06,16496.0,Toilet Assistance Steps
47,2021-06-07,16496.0,Toilet Assistance Steps
48,2021-06-08,16496.0,Toilet Assistance Steps
49,2021-06-09,23773.0,Toilet Assistance Steps
50,2021-06-10,23773.0,Toilet Assistance Steps
51,2021-06-11,23773.0,Toilet Assistance Steps
52,2021-06-12,23773.0,Toilet Assistance Steps
53,2021-06-13,23773.0,Toilet Assistance Steps
54,2021-06-14,23773.0,Toilet Assistance Steps
55,2021-06-15,21237.0,Toilet Assistance Steps
56,2021-06-16,23981.0,Toilet Assistance Steps
57,2021-06-17,24628.0,Toilet Assistance Steps
58,2021-06-18,24628.0,Toilet Assistance Steps
59,2021-06-19,21123.0,Toilet Assistance Steps
60,2021-06-20,21123.0,Toilet Assistance Steps
61,2021-06-21,20220.0,Toilet Assistance Steps
62,2021-06-22,23980.0,Toilet Assistance Steps
63,2021-06-23,23980.0,Toilet Assistance Steps
64,2021-06-24,28034.0,Toilet Assistance Steps
65,2021-06-25,28034.0,Toilet Assistance Steps
66,2021-06-26,28779.0,Toilet Assistance Steps
67,2021-06-27,26257.0,Toilet Assistance Steps
68,2021-06-28,26257.0,Toilet Assistance Steps
69,2021-06-29,20294.0,Toilet Assistance Steps
70,2021-06-30,20891.0,Toilet Assistance Steps
71,2021-07-01,21797.0,Toilet Assistance Steps
72,2021-07-02,21797.0,Toilet Assistance Steps
73,2021-07-03,21234.0,Toilet Assistance Steps
74,2021-07-04,21234.0,Toilet Assistance Steps
75,2021-07-05,21234.0,Toilet Assistance Steps
76,2021-07-06,19510.0,Toilet Assistance Steps
77,2021-07-07,21886.0,Toilet Assistance Steps
78,2021-07-08,21886.0,Toilet Assistance Steps
79,2021-07-09,27644.0,Toilet Assistance Steps
