,date,value,name_B08N13Z7ZN
0,2020-12-11,38728.0,Drawing & Lettering Aids
1,2020-12-12,38728.0,Drawing & Lettering Aids
2,2020-12-13,38728.0,Drawing & Lettering Aids
3,2020-12-14,68096.0,Drawing & Lettering Aids
4,2020-12-15,68096.0,Drawing & Lettering Aids
5,2020-12-16,68096.0,Drawing & Lettering Aids
6,2020-12-17,68096.0,Drawing & Lettering Aids
7,2020-12-18,68096.0,Drawing & Lettering Aids
8,2020-12-19,68096.0,Drawing & Lettering Aids
9,2020-12-20,68096.0,Drawing & Lettering Aids
10,2020-12-21,120666.0,Drawing & Lettering Aids
11,2020-12-22,120666.0,Drawing & Lettering Aids
12,2020-12-23,120666.0,Drawing & Lettering Aids
13,2020-12-24,120666.0,Drawing & Lettering Aids
14,2020-12-25,120666.0,Drawing & Lettering Aids
15,2020-12-26,35975.0,Drawing & Lettering Aids
16,2020-12-27,35975.0,Drawing & Lettering Aids
17,2020-12-28,35975.0,Drawing & Lettering Aids
18,2020-12-29,87379.0,Drawing & Lettering Aids
19,2020-12-30,86462.0,Drawing & Lettering Aids
20,2020-12-31,86462.0,Drawing & Lettering Aids
21,2021-01-01,86462.0,Drawing & Lettering Aids
22,2021-01-02,86462.0,Drawing & Lettering Aids
23,2021-01-03,86462.0,Drawing & Lettering Aids
24,2021-01-04,86462.0,Drawing & Lettering Aids
25,2021-01-05,24070.0,Drawing & Lettering Aids
26,2021-01-06,24885.0,Drawing & Lettering Aids
27,2021-01-07,24885.0,Drawing & Lettering Aids
28,2021-01-08,10234.0,Drawing & Lettering Aids
29,2021-01-09,10234.0,Drawing & Lettering Aids
30,2021-01-10,10234.0,Drawing & Lettering Aids
31,2021-01-11,28676.0,Drawing & Lettering Aids
32,2021-01-12,28676.0,Drawing & Lettering Aids
33,2021-01-13,28676.0,Drawing & Lettering Aids
34,2021-01-14,43733.0,Drawing & Lettering Aids
35,2021-01-15,43733.0,Drawing & Lettering Aids
36,2021-01-16,43733.0,Drawing & Lettering Aids
37,2021-01-17,43733.0,Drawing & Lettering Aids
38,2021-01-18,43733.0,Drawing & Lettering Aids
39,2021-01-19,16889.0,Drawing & Lettering Aids
40,2021-01-20,15473.0,Drawing & Lettering Aids
