,date,value,name_B08HQVFS5N
0,2020-09-12,42726.0,Shade Cloth
1,2020-09-13,42726.0,Shade Cloth
2,2020-09-14,42726.0,Shade Cloth
3,2020-09-15,42726.0,Shade Cloth
4,2020-09-16,42726.0,Shade Cloth
5,2020-09-17,42726.0,Shade Cloth
6,2020-09-18,42726.0,Shade Cloth
7,2020-09-19,42726.0,Shade Cloth
8,2020-09-20,42726.0,Shade Cloth
9,2020-09-21,42726.0,Shade Cloth
10,2020-09-22,42726.0,Shade Cloth
11,2020-09-23,122683.0,Shade Cloth
12,2020-09-24,122683.0,Shade Cloth
13,2020-09-25,122683.0,Shade Cloth
14,2020-09-26,43827.0,Shade Cloth
15,2020-09-27,43827.0,Shade Cloth
16,2020-09-28,43827.0,Shade Cloth
17,2020-09-29,43827.0,Shade Cloth
18,2020-09-30,43827.0,Shade Cloth
19,2020-10-01,43827.0,Shade Cloth
20,2020-10-02,43827.0,Shade Cloth
21,2020-10-03,43827.0,Shade Cloth
22,2020-10-04,139317.0,Shade Cloth
23,2020-10-05,139317.0,Shade Cloth
24,2020-10-06,139317.0,Shade Cloth
25,2020-10-07,187972.0,Shade Cloth
26,2020-10-08,187972.0,Shade Cloth
27,2020-10-09,187972.0,Shade Cloth
28,2020-10-10,187972.0,Shade Cloth
29,2020-10-11,187972.0,Shade Cloth
30,2020-10-12,187972.0,Shade Cloth
31,2020-10-13,187972.0,Shade Cloth
32,2020-10-14,204514.0,Shade Cloth
33,2020-10-15,204514.0,Shade Cloth
34,2020-10-16,204514.0,Shade Cloth
35,2020-10-17,204514.0,Shade Cloth
36,2020-10-18,204514.0,Shade Cloth
37,2020-10-19,240100.0,Shade Cloth
38,2020-10-20,240100.0,Shade Cloth
39,2020-10-21,240100.0,Shade Cloth
40,2020-10-22,240100.0,Shade Cloth
41,2020-10-23,240100.0,Shade Cloth
42,2020-10-24,240100.0,Shade Cloth
43,2020-10-25,240100.0,Shade Cloth
44,2020-10-26,240100.0,Shade Cloth
45,2020-10-27,240100.0,Shade Cloth
46,2020-10-28,240100.0,Shade Cloth
47,2020-10-29,240100.0,Shade Cloth
48,2020-10-30,240100.0,Shade Cloth
49,2020-10-31,240100.0,Shade Cloth
50,2020-11-01,240100.0,Shade Cloth
51,2020-11-02,240100.0,Shade Cloth
52,2020-11-03,240100.0,Shade Cloth
53,2020-11-04,240100.0,Shade Cloth
54,2020-11-05,240100.0,Shade Cloth
55,2020-11-06,240100.0,Shade Cloth
56,2020-11-07,240100.0,Shade Cloth
57,2020-11-08,240100.0,Shade Cloth
58,2020-11-09,240100.0,Shade Cloth
59,2020-11-10,240100.0,Shade Cloth
60,2020-11-11,240100.0,Shade Cloth
61,2020-11-12,240100.0,Shade Cloth
62,2020-11-13,240100.0,Shade Cloth
63,2020-11-14,240100.0,Shade Cloth
64,2020-11-15,240100.0,Shade Cloth
65,2020-11-16,240100.0,Shade Cloth
66,2020-11-17,94143.0,Shade Cloth
67,2020-11-18,94143.0,Shade Cloth
68,2020-11-19,94143.0,Shade Cloth
69,2020-11-20,94143.0,Shade Cloth
70,2020-11-21,94143.0,Shade Cloth
71,2020-11-22,94143.0,Shade Cloth
72,2020-11-23,94143.0,Shade Cloth
73,2020-11-24,94143.0,Shade Cloth
74,2020-11-25,94143.0,Shade Cloth
75,2020-11-26,94143.0,Shade Cloth
76,2020-11-27,94143.0,Shade Cloth
77,2020-11-28,94143.0,Shade Cloth
78,2020-11-29,94143.0,Shade Cloth
79,2020-11-30,94143.0,Shade Cloth
80,2020-12-01,94143.0,Shade Cloth
81,2020-12-02,94143.0,Shade Cloth
82,2020-12-03,94143.0,Shade Cloth
83,2020-12-04,94143.0,Shade Cloth
84,2020-12-05,94143.0,Shade Cloth
85,2020-12-06,94143.0,Shade Cloth
86,2020-12-07,94143.0,Shade Cloth
87,2020-12-08,94143.0,Shade Cloth
88,2020-12-09,94143.0,Shade Cloth
89,2020-12-10,94143.0,Shade Cloth
90,2020-12-11,94143.0,Shade Cloth
91,2020-12-12,94143.0,Shade Cloth
92,2020-12-13,94143.0,Shade Cloth
93,2020-12-14,48308.0,Shade Cloth
94,2020-12-15,48308.0,Shade Cloth
95,2020-12-16,48308.0,Shade Cloth
96,2020-12-17,48308.0,Shade Cloth
97,2020-12-18,48308.0,Shade Cloth
98,2020-12-19,48308.0,Shade Cloth
99,2020-12-20,48308.0,Shade Cloth
100,2020-12-21,48308.0,Shade Cloth
101,2020-12-22,48308.0,Shade Cloth
102,2020-12-23,48308.0,Shade Cloth
103,2020-12-24,48308.0,Shade Cloth
104,2020-12-25,48308.0,Shade Cloth
105,2020-12-26,48308.0,Shade Cloth
106,2020-12-27,79192.0,Shade Cloth
107,2020-12-28,79192.0,Shade Cloth
108,2020-12-29,79192.0,Shade Cloth
109,2020-12-30,31469.0,Shade Cloth
110,2020-12-31,31469.0,Shade Cloth
111,2021-01-01,31469.0,Shade Cloth
112,2021-01-02,31469.0,Shade Cloth
113,2021-01-03,31469.0,Shade Cloth
114,2021-01-04,31502.0,Shade Cloth
115,2021-01-05,31502.0,Shade Cloth
116,2021-01-06,57935.0,Shade Cloth
117,2021-01-07,57935.0,Shade Cloth
118,2021-01-08,57935.0,Shade Cloth
119,2021-01-09,57935.0,Shade Cloth
120,2021-01-10,57935.0,Shade Cloth
121,2021-01-11,57935.0,Shade Cloth
122,2021-01-12,57935.0,Shade Cloth
123,2021-01-13,57935.0,Shade Cloth
124,2021-01-14,57935.0,Shade Cloth
125,2021-01-15,115372.0,Shade Cloth
126,2021-01-16,115372.0,Shade Cloth
127,2021-01-17,115372.0,Shade Cloth
128,2021-01-18,85866.0,Shade Cloth
129,2021-01-19,85866.0,Shade Cloth
130,2021-01-20,85866.0,Shade Cloth
131,2021-01-21,44906.0,Shade Cloth
132,2021-01-22,70531.0,Shade Cloth
133,2021-01-23,70531.0,Shade Cloth
134,2021-01-24,70531.0,Shade Cloth
135,2021-01-25,71890.0,Shade Cloth
